# ★ODDFPRICE … 部品を 直に 取り出す★（2026-09-17・4回目）
#
# ★考え★ 価格には DFC・A・DSC・N が 全部 混ざって います
#   ⇒★引数を 0 に すると 混ざりが 解けます★
#   ㋐利率0  … 券=0  ⇒ 価格 = 償還 ÷ (1+利回り/f)^((N-1)+DSC)
#   ㋑利回り0 … 割引なし ⇒ 価格 = 償還 + (N-1)×券 + 券×(DFC-A)
#   ㋒両方0  … ★100 の はず★（対照）
#
# ★見込みは 聞く 前に 書いて あります★ … kansuu46/oddf-yonwakume-no-an.md
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型	㆒の 印
㋐利率0 端数1期 (basis=0)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0,0.05,100,2,0)	-2146826252	#NUM!	-2146826252	Other	
㋓利率0で決済を動かす DATE(2009,11,1) (basis=3)	=ODDFPRICE(DATE(2009,11,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0,0.05,100,2,3)	85.520925548157379	85.52093	False	Double	
ODDL f=4 第1期の中(期越えなし) (basis=0)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.731181799811409	99.73118	False	Double	
ODDL f=4 第2期の中(期越えあり) (basis=0)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.765199612696492	99.7652	False	Double	
ODDL f=2 第1期の中(期越えなし) (basis=0)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,0)	99.557260479041915	99.55726	False	Double	
ODDL f=2 第2期の中(期越えあり) (basis=0)	=ODDLPRICE(DATE(2009,7,10),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,0)	99.756811989100825	99.75681	False	Double	
ODDL f=4 第1期の中(期越えなし) (basis=1)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.716504638305835	99.7165	False	Double	
ODDL f=4 第2期の中(期越えあり) (basis=1)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.776476358001872	99.77648	False	Double	
ODDL f=2 第1期の中(期越えなし) (basis=1)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,1)	99.557875048624055	99.55788	False	Double	
ODDL f=2 第2期の中(期越えあり) (basis=1)	=ODDLPRICE(DATE(2009,7,10),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,1)	99.756971305680622	99.75697	False	Double	
ODDL f=4 第1期の中(期越えなし) (basis=2)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,2)	99.716504638305835	99.7165	False	Double	
ODDL f=4 第2期の中(期越えあり) (basis=2)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,2)	99.776476358001872	99.77648	False	Double	
ODDL f=2 第1期の中(期越えなし) (basis=2)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,2)	99.557875048624055	99.55788	False	Double	
ODDL f=2 第2期の中(期越えあり) (basis=2)	=ODDLPRICE(DATE(2009,7,10),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,2)	99.756971305680622	99.75697	False	Double	
ODDL f=4 第1期の中(期越えなし) (basis=3)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,3)	99.716504638305835	99.7165	False	Double	
ODDL f=4 第2期の中(期越えあり) (basis=3)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,3)	99.776476358001872	99.77648	False	Double	
ODDL f=2 第1期の中(期越えなし) (basis=3)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,3)	99.557875048624055	99.55788	False	Double	
ODDL f=2 第2期の中(期越えあり) (basis=3)	=ODDLPRICE(DATE(2009,7,10),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,3)	99.756971305680622	99.75697	False	Double	
ODDL f=4 第1期の中(期越えなし) (basis=4)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,4)	99.705195313967621	99.7052	False	Double	
ODDL f=4 第2期の中(期越えあり) (basis=4)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,4)	99.767345276872959	99.76735	False	Double	
ODDL f=2 第1期の中(期越えなし) (basis=4)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,4)	99.557260479041915	99.55726	False	Double	
ODDL f=2 第2期の中(期越えあり) (basis=4)	=ODDLPRICE(DATE(2009,7,10),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,4)	99.756811989100825	99.75681	False	Double	
ODDL 第1期固定 f=1 (basis=1)	=ODDLPRICE(DATE(2009,1,15),DATE(2010,11,30),DATE(2008,11,30),0.045,0.05,100,1,1)	99.09470035962336	99.0947	False	Double	
ODDL 第1期固定 f=2 (basis=1)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,1)	99.557875048624055	99.55788	False	Double	
ODDL 第1期固定 f=4 (basis=1)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.716504638305835	99.7165	False	Double	
ODDL 第1期固定 f=1 (basis=2)	=ODDLPRICE(DATE(2009,1,15),DATE(2010,11,30),DATE(2008,11,30),0.045,0.05,100,1,2)	99.09470035962336	99.0947	False	Double	
ODDL 第1期固定 f=2 (basis=2)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,2)	99.557875048624055	99.55788	False	Double	
ODDL 第1期固定 f=4 (basis=2)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,2)	99.716504638305835	99.7165	False	Double	
ODDL 第1期固定 f=1 (basis=3)	=ODDLPRICE(DATE(2009,1,15),DATE(2010,11,30),DATE(2008,11,30),0.045,0.05,100,1,3)	99.09470035962336	99.0947	False	Double	
ODDL 第1期固定 f=2 (basis=3)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,11,30),DATE(2008,11,30),0.045,0.05,100,2,3)	99.557875048624055	99.55788	False	Double	
ODDL 第1期固定 f=4 (basis=3)	=ODDLPRICE(DATE(2009,1,15),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,3)	99.716504638305835	99.7165	False	Double	
ODDL 利率0 第2期の中 f=4 (basis=1)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,1)	97.694840834248083	97.69484	False	Double	
ODDL 利回り0 第2期の中 f=4 (basis=1)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0,100,4,1)	102.16028028822666	102.1603	False	Double	
ODDL 利率0 第2期の中 f=4 (basis=2)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,2)	97.694840834248083	97.69484	False	Double	
ODDL 利回り0 第2期の中 f=4 (basis=2)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0,100,4,2)	102.16028028822666	102.1603	False	Double	
ODDL 利率0 第2期の中 f=4 (basis=3)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0,0.05,100,4,3)	97.694840834248083	97.69484	False	Double	
ODDL 利回り0 第2期の中 f=4 (basis=3)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0,100,4,3)	102.16028028822666	102.1603	False	Double	
ODDL 対照(紙に在る・○のはず)	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.0575,0.0625,100,2,0)	99.787198067632858	99.7872	False	Double	
㋔対照1(紙に在る・○のはず)	=ODDFPRICE(DATE(2008,11,11),DATE(2021,3,1),DATE(2008,10,15),DATE(2009,3,1),0.0785,0.0625,100,2,2)	113.59879960832529	113.5988	False	Double	
㋔対照2(紙に在る・○のはず)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double	
㋔対照3(前の枠と同じ・○のはず)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.03027970006697	103.0303	False	Double	
