# ★溢れる 式 全部を ★1つの 盤面★で 取り直した（★中身まで★）★（65）（2026-09-20）
# ★★盤面（★この 紙は 全部 この 1つ★）★★
#   A1:A6 = 1,2,2,3,3,4 ／ B1:B3 = 10,20,30 ／ D1 = abc ／ E1,F1,E2,F2 = 1,2,3,4
#   A20 = 5（数）／A21 = =1+1（★式★）／A22 = abc（字）
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★印（_xlfn. 等）は 外して 打って います★＝実Excel が 自分で 付けます
# ★読む★ ... 頭の マスから 6行 x 6列
#材料	A1	1
#材料	A2	2
#材料	A3	2
#材料	A4	3
#材料	A5	3
#材料	A6	4
#材料	B1	10
#材料	B2	20
#材料	B3	30
#材料	D1	abc
#材料	E1	1
#材料	F1	2
#材料	E2	3
#材料	F2	4
#材料	A20	5
#材料	A22	abc
# ★A21 は 式（=1+1）なので 材料に 書いて いません★＝ISFORMULA の 行は 押されない
# 式	実Excel（今の 道＝Formula2）	埋まった数	中身（|で マス／ / で 行）
=PIVOTBY(A1:A3,A1:A3,A1:A3,SUM)		16	|1|2|合計 / 1|1||1 / 2||4|4 / 合計|1|4|5
=INDIRECT("A1")	1	1	1
=MODE.MULT(A1:A6)	2	2	2 / 3
=CHOOSECOLS(E1:F2,1)	1	2	1 / 3
=CHOOSEROWS(E1:F2,1)	1	2	1|2
=DROP(A1:A6,1)	2	5	2 / 2 / 3 / 3 / 4
=EXPAND(A1:A2,3,1,0)	1	3	1 / 2 / 0
=TAKE(A1:A6,2)	1	2	1 / 2
=TOCOL(E1:F2)	1	4	1 / 2 / 3 / 4
=TOROW(E1:F2)	1	4	1|2|3|4
=ABS(A1:A3)	1	3	1 / 2 / 2
=ACOS(A1:A3)	0	3	0 / #NUM! / #NUM!
=ACOSH(A1:A3)	0	3	0 / 1.3169578969248166 / 1.3169578969248166
=ACOT(A1:A3)	0.78539816339744828	3	0.78539816339744828 / 0.46364760900080609 / 0.46364760900080609
=ACOTH(A1:A3)	#NUM!	3	#NUM! / 0.54930614433405489 / 0.54930614433405489
=ARABIC(A1:A3)	#VALUE!	3	#VALUE! / #VALUE! / #VALUE!
=ASIN(A1:A3)	1.5707963267948966	3	1.5707963267948966 / #NUM! / #NUM!
=ASINH(A1:A3)	0.88137358701954294	3	0.88137358701954294 / 1.4436354751788103 / 1.4436354751788103
=ATAN(A1:A3)	0.78539816339744828	3	0.78539816339744828 / 1.1071487177940904 / 1.1071487177940904
=ATANH(A1:A3)	#NUM!	3	#NUM! / #NUM! / #NUM!
=CHAR(A1:A3)		3	 /  / 
=CLEAN(A1:A3)	1	3	1 / 2 / 2
=CODE(A1:A3)	49	3	49 / 50 / 50
=COLUMN(A1:A3)	1	1	1
=COS(A1:A3)	0.54030230586813977	3	0.54030230586813977 / -0.41614683654714241 / -0.41614683654714241
=COSH(A1:A3)	1.5430806348152437	3	1.5430806348152437 / 3.7621956910836314 / 3.7621956910836314
=COT(A1:A3)	0.64209261593433065	3	0.64209261593433065 / -0.45765755436028577 / -0.45765755436028577
=COTH(A1:A3)	1.3130352854993315	3	1.3130352854993315 / 1.0373147207275479 / 1.0373147207275479
=CSC(A1:A3)	1.1883951057781212	3	1.1883951057781212 / 1.0997501702946164 / 1.0997501702946164
=CSCH(A1:A3)	0.85091812823932156	3	0.85091812823932156 / 0.27572056477178319 / 0.27572056477178319
=DATEVALUE(A1:A3)	#VALUE!	3	#VALUE! / #VALUE! / #VALUE!
=DAY(A1:A3)	1	3	1 / 2 / 2
=DEGREES(A1:A3)	57.295779513082323	3	57.295779513082323 / 114.59155902616465 / 114.59155902616465
=EVEN(A1:A3)	2	3	2 / 2 / 2
=EXP(A1:A3)	2.7182818284590451	3	2.7182818284590451 / 7.38905609893065 / 7.38905609893065
=FACT(A1:A3)	1	3	1 / 2 / 2
=FISHER(A1:A3)	#NUM!	3	#NUM! / #NUM! / #NUM!
=FISHERINV(A1:A3)	0.76159415595576485	3	0.76159415595576485 / 0.9640275800758169 / 0.9640275800758169
=FREQUENCY(A1,A2)	1	2	1 / 0
=GAMMA(A1:A3)	1	3	1 / 1 / 1
=GAMMALN(A1:A3)	0	3	0 / 0 / 0
=GAUSS(A1:A3)	0.34134474606854304	3	0.34134474606854304 / 0.47724986805182079 / 0.47724986805182079
=HOUR(A1:A3)	0	3	0 / 0 / 0
=HSTACK(A1:A3)	1	3	1 / 2 / 2
=HYPERLINK(A1:A3)	1	3	1 / 2 / 2
=IFS(A1,A2)	2	1	2
=INT(A1:A3)	1	3	1 / 2 / 2
=ISBLANK(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ISERR(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ISERROR(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ISFORMULA(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ISLOGICAL(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ISNA(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ISNONTEXT(A1:A3)	TRUE	3	TRUE / TRUE / TRUE
=ISNUMBER(A1:A3)	TRUE	3	TRUE / TRUE / TRUE
=ISOWEEKNUM(A1:A3)	52	3	52 / 1 / 1
=ISTEXT(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=LEFT(A1:A3)	1	3	1 / 2 / 2
=LEN(A1:A3)	1	3	1 / 1 / 1
=LN(A1:A3)	0	3	0 / 0.69314718055994529 / 0.69314718055994529
=LOG(A1:A3)	0	3	0 / 0.3010299956639812 / 0.3010299956639812
=LOG10(A1:A3)	0	3	0 / 0.3010299956639812 / 0.3010299956639812
=LOWER(A1:A3)	1	3	1 / 2 / 2
=MINUTE(A1:A3)	0	3	0 / 0 / 0
=MMULT(A1,A2)	2	1	2
=MONTH(A1:A3)	1	3	1 / 1 / 1
=NORMSDIST(A1:A3)	0.841344746068543	3	0.841344746068543 / 0.97724986805182079 / 0.97724986805182079
=NORMSINV(A1:A3)	#NUM!	3	#NUM! / #NUM! / #NUM!
=NOT(A1:A3)	FALSE	3	FALSE / FALSE / FALSE
=ODD(A1:A3)	1	3	1 / 3 / 3
=PHI(A1:A3)	0.24197072451914337	3	0.24197072451914337 / 0.053990966513188063 / 0.053990966513188063
=PROPER(A1:A3)	1	3	1 / 2 / 2
=RADIANS(A1:A3)	0.017453292519943295	3	0.017453292519943295 / 0.034906585039886591 / 0.034906585039886591
=RIGHT(A1:A3)	1	3	1 / 2 / 2
=ROMAN(A1:A3)	I	3	I / II / II
=ROW(A1:A3)	1	3	1 / 2 / 3
=SEC(A1:A3)	1.8508157176809255	3	1.8508157176809255 / -2.4029979617223809 / -2.4029979617223809
=SECH(A1:A3)	0.64805427366388546	3	0.64805427366388546 / 0.26580222883407972 / 0.26580222883407972
=SECOND(A1:A3)	0	3	0 / 0 / 0
=SIGN(A1:A3)	1	3	1 / 1 / 1
=SIN(A1:A3)	0.8414709848078965	3	0.8414709848078965 / 0.90929742682568171 / 0.90929742682568171
=SINH(A1:A3)	1.1752011936438014	3	1.1752011936438014 / 3.626860407847019 / 3.626860407847019
=SQRT(A1:A3)	1	3	1 / 1.4142135623730951 / 1.4142135623730951
=SWITCH(1,1,1)	1	1	1
=TAN(A1:A3)	1.5574077246549023	3	1.5574077246549023 / -2.1850398632615189 / -2.1850398632615189
=TANH(A1:A3)	0.76159415595576485	3	0.76159415595576485 / 0.964027580075817 / 0.964027580075817
=TIMEVALUE(A1:A3)	#VALUE!	3	#VALUE! / #VALUE! / #VALUE!
=TRIM(A1:A3)	1	3	1 / 2 / 2
=TRUNC(A1:A3)	1	3	1 / 2 / 2
=TYPE(A1:A3)	64	1	64
=UNICHAR(A1:A3)		3	 /  / 
=UNICODE(A1:A3)	49	3	49 / 50 / 50
=UPPER(A1:A3)	1	3	1 / 2 / 2
=VALUE(A1:A3)	1	3	1 / 2 / 2
=VSTACK(A1:A3)	1	3	1 / 2 / 2
=WEEKDAY(A1:A3)	1	3	1 / 2 / 2
=YEAR(A1:A3)	1900	3	1900 / 1900 / 1900
#
# ★★対照★★ SEQUENCE(3) の 3マス目 ... 3（待つ 3）／ SUM(A1:A3) ... 5（待つ 5）
# ★対照 ok ... 2 / 2★
# ★打てた 112 / 112本★ ／ かかった 秒 ... 8.9
