# ★ODDL の DSC の 元を 割る★（2026-09-18・6回目）
#
# ★未知を 1つずつ 直に 取り出します★（★解いて 当てる を やめました★）
#   (ア)利率0   ⇒ DSC ＝ (100÷価格 − 1)×f÷y   （y ＝ 0.05）
#   (イ)利回り0 ⇒ DC − A ＝ (価格 − 100)÷券    （券 ＝ 100×0.06÷f）
#   (ウ)決済＝最終利払日 ＋ 利回り0 ⇒ DC ＝ (価格 − 100)÷券
#
# ★判じ方★ DSC(ア) ＝ DC−A(イ) なら ★DC − A★／小さければ ★NC − A★
#
# ★見込みは 聞く 前に commit 済み★ … kansuu46/oddl-rokuwakume-no-an.md（4520cb0）
#
# ★日付・金額は 全部 作り物の 債券です★（repo が 公開の 為）
#
# ★2つ目の 窓★ =(式)=0 … .Value2 は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
組1(f4 はみ3日 NC3) (イ)DC-A 利回り0 basis=4	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,4)	102.83333333333333	102.8333	False	Double
組1(f4 はみ3日 NC3) (ウ)DC 決済=最終利払 basis=4	=ODDLPRICE(DATE(2008,11,30),DATE(2009,8,31),DATE(2008,11,30),0.06,0,100,4,4)	-2146826252	#NUM!	-2146826252	Other
組2(f2 はみ61日 NC1) (ア)DSC 利率0 basis=0	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0,0.05,100,2,0)	98.253275109170318	98.25328	False	Double
組2(f2 はみ61日 NC1) (イ)DC-A 利回り0 basis=0	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,0)	102.13333333333334	102.1333	False	Double
組2(f2 はみ61日 NC1) (ウ)DC 決済=最終利払 basis=0	=ODDLPRICE(DATE(2007,10,15),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,0)	-2146826252	#NUM!	-2146826252	Other
組2(f2 はみ61日 NC1) (ア)DSC 利率0 basis=1	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0,0.05,100,2,1)	98.268223922674181	98.26822	False	Double
組2(f2 はみ61日 NC1) (イ)DC-A 利回り0 basis=1	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,1)	102.11475409836065	102.1148	False	Double
組2(f2 はみ61日 NC1) (ウ)DC 決済=最終利払 basis=1	=ODDLPRICE(DATE(2007,10,15),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,1)	-2146826252	#NUM!	-2146826252	Other
組2(f2 はみ61日 NC1) (ア)DSC 利率0 basis=2	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0,0.05,100,2,2)	98.268223922674181	98.26822	False	Double
組2(f2 はみ61日 NC1) (イ)DC-A 利回り0 basis=2	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,2)	102.11475409836065	102.1148	False	Double
組2(f2 はみ61日 NC1) (ウ)DC 決済=最終利払 basis=2	=ODDLPRICE(DATE(2007,10,15),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,2)	-2146826252	#NUM!	-2146826252	Other
組2(f2 はみ61日 NC1) (ア)DSC 利率0 basis=3	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0,0.05,100,2,3)	98.268223922674181	98.26822	False	Double
組2(f2 はみ61日 NC1) (イ)DC-A 利回り0 basis=3	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,3)	102.11475409836065	102.1148	False	Double
組2(f2 はみ61日 NC1) (ウ)DC 決済=最終利払 basis=3	=ODDLPRICE(DATE(2007,10,15),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,3)	-2146826252	#NUM!	-2146826252	Other
組2(f2 はみ61日 NC1) (ア)DSC 利率0 basis=4	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0,0.05,100,2,4)	98.253275109170318	98.25328	False	Double
組2(f2 はみ61日 NC1) (イ)DC-A 利回り0 basis=4	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,4)	102.13333333333334	102.1333	False	Double
組2(f2 はみ61日 NC1) (ウ)DC 決済=最終利払 basis=4	=ODDLPRICE(DATE(2007,10,15),DATE(2008,6,15),DATE(2007,10,15),0.06,0,100,2,4)	-2146826252	#NUM!	-2146826252	Other
組3(f2 はみ1日 NC1) (ア)DSC 利率0 basis=0	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0,0.05,100,2,0)	98.159509202453989	98.15951	False	Double
組3(f2 はみ1日 NC1) (イ)DC-A 利回り0 basis=0	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,0)	102.25	102.25	False	Double
組3(f2 はみ1日 NC1) (ウ)DC 決済=最終利払 basis=0	=ODDLPRICE(DATE(2008,11,30),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,0)	-2146826252	#NUM!	-2146826252	Other
組3(f2 はみ1日 NC1) (ア)DSC 利率0 basis=1	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0,0.05,100,2,1)	98.169491525423723	98.16949	False	Double
組3(f2 はみ1日 NC1) (イ)DC-A 利回り0 basis=1	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,1)	102.25414364640883	102.2541	False	Double
組3(f2 はみ1日 NC1) (ウ)DC 決済=最終利払 basis=1	=ODDLPRICE(DATE(2008,11,30),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,1)	-2146826252	#NUM!	-2146826252	Other
組3(f2 はみ1日 NC1) (ア)DSC 利率0 basis=2	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0,0.05,100,2,2)	98.169491525423723	98.16949	False	Double
組3(f2 はみ1日 NC1) (イ)DC-A 利回り0 basis=2	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,2)	102.25414364640883	102.2541	False	Double
組3(f2 はみ1日 NC1) (ウ)DC 決済=最終利払 basis=2	=ODDLPRICE(DATE(2008,11,30),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,2)	-2146826252	#NUM!	-2146826252	Other
組3(f2 はみ1日 NC1) (ア)DSC 利率0 basis=3	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0,0.05,100,2,3)	98.169491525423723	98.16949	False	Double
組3(f2 はみ1日 NC1) (イ)DC-A 利回り0 basis=3	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,3)	102.25414364640883	102.2541	False	Double
組3(f2 はみ1日 NC1) (ウ)DC 決済=最終利払 basis=3	=ODDLPRICE(DATE(2008,11,30),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,3)	-2146826252	#NUM!	-2146826252	Other
組3(f2 はみ1日 NC1) (ア)DSC 利率0 basis=4	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0,0.05,100,2,4)	98.159509202453989	98.15951	False	Double
組3(f2 はみ1日 NC1) (イ)DC-A 利回り0 basis=4	=ODDLPRICE(DATE(2009,1,15),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,4)	102.25	102.25	False	Double
組3(f2 はみ1日 NC1) (ウ)DC 決済=最終利払 basis=4	=ODDLPRICE(DATE(2008,11,30),DATE(2009,5,31),DATE(2008,11,30),0.06,0,100,2,4)	-2146826252	#NUM!	-2146826252	Other
組4(f4 はみ48日 NC2) (ア)DSC 利率0 basis=0	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0,0.05,100,4,0)	97.5609756097561	97.56098	False	Double
組4(f4 はみ48日 NC2) (イ)DC-A 利回り0 basis=0	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,0)	103.03333333333333	103.0333	False	Double
組4(f4 はみ48日 NC2) (ウ)DC 決済=最終利払 basis=0	=ODDLPRICE(DATE(2008,11,30),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,0)	-2146826252	#NUM!	-2146826252	Other
組4(f4 はみ48日 NC2) (ア)DSC 利率0 basis=1	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0,0.05,100,4,1)	97.548332371202022	97.54833	False	Double
組4(f4 はみ48日 NC2) (イ)DC-A 利回り0 basis=1	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,1)	103.01594202898551	103.0159	False	Double
組4(f4 はみ48日 NC2) (ウ)DC 決済=最終利払 basis=1	=ODDLPRICE(DATE(2008,11,30),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,1)	-2146826252	#NUM!	-2146826252	Other
組4(f4 はみ48日 NC2) (ア)DSC 利率0 basis=2	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0,0.05,100,4,2)	97.548332371202022	97.54833	False	Double
組4(f4 はみ48日 NC2) (イ)DC-A 利回り0 basis=2	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,2)	103.01594202898551	103.0159	False	Double
組4(f4 はみ48日 NC2) (ウ)DC 決済=最終利払 basis=2	=ODDLPRICE(DATE(2008,11,30),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,2)	-2146826252	#NUM!	-2146826252	Other
組4(f4 はみ48日 NC2) (ア)DSC 利率0 basis=3	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0,0.05,100,4,3)	97.548332371202022	97.54833	False	Double
組4(f4 はみ48日 NC2) (イ)DC-A 利回り0 basis=3	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,3)	103.01594202898551	103.0159	False	Double
組4(f4 はみ48日 NC2) (ウ)DC 決済=最終利払 basis=3	=ODDLPRICE(DATE(2008,11,30),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,3)	-2146826252	#NUM!	-2146826252	Other
組4(f4 はみ48日 NC2) (ア)DSC 利率0 basis=4	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0,0.05,100,4,4)	97.548058122384617	97.54806	False	Double
組4(f4 はみ48日 NC2) (イ)DC-A 利回り0 basis=4	=ODDLPRICE(DATE(2009,1,15),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,4)	103.01628787878788	103.0163	False	Double
組4(f4 はみ48日 NC2) (ウ)DC 決済=最終利払 basis=4	=ODDLPRICE(DATE(2008,11,30),DATE(2009,7,15),DATE(2008,11,30),0.06,0,100,4,4)	-2146826252	#NUM!	-2146826252	Other
組5(f1 はみ28日 NC1) (ア)DSC 利率0 basis=0	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0,0.05,100,1,0)	96.592433592701909	96.59243	False	Double
組5(f1 はみ28日 NC1) (イ)DC-A 利回り0 basis=0	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,0)	104.25	104.25	False	Double
組5(f1 はみ28日 NC1) (ウ)DC 決済=最終利払 basis=0	=ODDLPRICE(DATE(2009,1,31),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,0)	-2146826252	#NUM!	-2146826252	Other
組5(f1 はみ28日 NC1) (ア)DSC 利率0 basis=1	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0,0.05,100,1,1)	96.586398518126487	96.5864	False	Double
組5(f1 はみ28日 NC1) (イ)DC-A 利回り0 basis=1	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,1)	104.24109589041096	104.2411	False	Double
組5(f1 はみ28日 NC1) (ウ)DC 決済=最終利払 basis=1	=ODDLPRICE(DATE(2009,1,31),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,1)	-2146826252	#NUM!	-2146826252	Other
組5(f1 はみ28日 NC1) (ア)DSC 利率0 basis=2	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0,0.05,100,1,2)	96.586398518126487	96.5864	False	Double
組5(f1 はみ28日 NC1) (イ)DC-A 利回り0 basis=2	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,2)	104.24109589041096	104.2411	False	Double
組5(f1 はみ28日 NC1) (ウ)DC 決済=最終利払 basis=2	=ODDLPRICE(DATE(2009,1,31),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,2)	-2146826252	#NUM!	-2146826252	Other
組5(f1 はみ28日 NC1) (ア)DSC 利率0 basis=3	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0,0.05,100,1,3)	96.586398518126487	96.5864	False	Double
組5(f1 はみ28日 NC1) (イ)DC-A 利回り0 basis=3	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,3)	104.24109589041096	104.2411	False	Double
組5(f1 はみ28日 NC1) (ウ)DC 決済=最終利払 basis=3	=ODDLPRICE(DATE(2009,1,31),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,3)	-2146826252	#NUM!	-2146826252	Other
組5(f1 はみ28日 NC1) (ア)DSC 利率0 basis=4	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0,0.05,100,1,4)	96.605393801153909	96.60539	False	Double
組5(f1 はみ28日 NC1) (イ)DC-A 利回り0 basis=4	=ODDLPRICE(DATE(2009,6,15),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,4)	104.21666666666667	104.2167	False	Double
組5(f1 はみ28日 NC1) (ウ)DC 決済=最終利払 basis=4	=ODDLPRICE(DATE(2009,1,31),DATE(2010,2,28),DATE(2009,1,31),0.06,0,100,1,4)	-2146826252	#NUM!	-2146826252	Other
組6(f2 はみ1日 NC3) (ア)DSC 利率0 basis=0	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0,0.05,100,2,0)	93.567251461988292	93.56725	False	Double
組6(f2 はみ1日 NC3) (イ)DC-A 利回り0 basis=0	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,0)	108.25	108.25	False	Double
組6(f2 はみ1日 NC3) (ウ)DC 決済=最終利払 basis=0	=ODDLPRICE(DATE(2008,11,30),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,0)	-2146826252	#NUM!	-2146826252	Other
組6(f2 はみ1日 NC3) (ア)DSC 利率0 basis=1	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0,0.05,100,2,1)	93.576321571668615	93.57632	False	Double
組6(f2 はみ1日 NC3) (イ)DC-A 利回り0 basis=1	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,1)	108.25414364640885	108.2541	False	Double
組6(f2 はみ1日 NC3) (ウ)DC 決済=最終利払 basis=1	=ODDLPRICE(DATE(2008,11,30),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,1)	-2146826252	#NUM!	-2146826252	Other
組6(f2 はみ1日 NC3) (ア)DSC 利率0 basis=2	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0,0.05,100,2,2)	93.576321571668615	93.57632	False	Double
組6(f2 はみ1日 NC3) (イ)DC-A 利回り0 basis=2	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,2)	108.25414364640885	108.2541	False	Double
組6(f2 はみ1日 NC3) (ウ)DC 決済=最終利払 basis=2	=ODDLPRICE(DATE(2008,11,30),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,2)	-2146826252	#NUM!	-2146826252	Other
組6(f2 はみ1日 NC3) (ア)DSC 利率0 basis=3	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0,0.05,100,2,3)	93.576321571668615	93.57632	False	Double
組6(f2 はみ1日 NC3) (イ)DC-A 利回り0 basis=3	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,3)	108.25414364640885	108.2541	False	Double
組6(f2 はみ1日 NC3) (ウ)DC 決済=最終利払 basis=3	=ODDLPRICE(DATE(2008,11,30),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,3)	-2146826252	#NUM!	-2146826252	Other
組6(f2 はみ1日 NC3) (ア)DSC 利率0 basis=4	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0,0.05,100,2,4)	93.567251461988292	93.56725	False	Double
組6(f2 はみ1日 NC3) (イ)DC-A 利回り0 basis=4	=ODDLPRICE(DATE(2009,1,15),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,4)	108.25	108.25	False	Double
組6(f2 はみ1日 NC3) (ウ)DC 決済=最終利払 basis=4	=ODDLPRICE(DATE(2008,11,30),DATE(2010,5,31),DATE(2008,11,30),0.06,0,100,2,4)	-2146826252	#NUM!	-2146826252	Other
対照1(ODDL f4・紙に在る)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.776476358001872	99.77648	False	Double
対照2(ODDL f2・紙に在る)	=ODDLPRICE(DATE(2008,2,7),DATE(2008,6,15),DATE(2007,10,15),0.0375,0.0405,100,2,1)	99.879167681529111	99.87917	False	Double
対照3(ODDF・前の枠と同じ)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double
