# ★実Excel が 指数を どう 出すかを 実Excel に 聞いた★（2026-09-10）
#
# ★なぜ★ #62 で 打てるようには なったが ★出る 字が まだ 違う★
#   うち `1.64e-14`（小文字 e）／実Excel `1.64E-14`（大文字 E）
#
# ★★見るのは `.Text`＝画面に 出る 字★★（`.Value2` は 中の 数＝別物）
# ★★General は 列の 幅で 出方が 変わる★★ので ★同じ 数を 3つの 幅で★ 打った
#   幅 … 5〜50 を 14通り（8.43 が 実Excel の 既定）★1つずつ 刻んだ★
# ★`#####`（幅が 足りない）も そのまま 書く＝隠さない★
#
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★書式★ … General（★打ち込まず 読んで 確かめた★）
#
# ★★材料（機械が 読む）★★ … `#材料<タブ>札<タブ>打った字`
#材料	普通	1
#材料	普通	1234.5
#材料	★0★	0
#材料	小さい 側	0.1
#材料	小さい 側	0.01
#材料	小さい 側	0.001
#材料	小さい 側	0.0001
#材料	★小さい 側 境目★	0.00001
#材料	★小さい 側 境目★	0.000001
#材料	★小さい 側 境目★	0.0000001
#材料	★小さい 側 境目★	0.00000001
#材料	小さい 側	0.000000001
#材料	小さい 側	0.0000000001
#材料	★とても 小さい★	0.0000000000000164
#材料	大きい 側	100000
#材料	大きい 側	100000000
#材料	大きい 側	1000000000
#材料	★大きい 側 境目★	10000000000
#材料	★大きい 側 境目★	100000000000
#材料	★大きい 側 境目★	1000000000000
#材料	大きい 側	1000000000000000
#材料	★大きい 側 境目★	10000000000000000
#材料	★大きい 側 境目★	100000000000000000
#材料	大きい 側	100000000000000000000
#材料	★仮数 桁★	123456789012345678901
#材料	★仮数 桁★	0.000000333333333333333
#材料	★仮数 桁★	0.00012345678901234
#材料	★短い 物★	150000000000000000000
#材料	★短い 物★	0.0000000000000001
#材料	★負★	-0.0000000000000164
#材料	★負★	-100000000000000000000
#材料	★繰り上がり★	0.000000999999999
#材料	★繰り上がり★	999999999999999999999
#材料	★計算の 答え★	0.30000000000000004
#材料	★計算の 答え★	0.3333333333333333
#材料	★計算の 答え★	3.3333333333333335
#材料	★計算の 答え★	0.10000000009313226
#材料	★計算の 答え★	187999.99999999997
#材料	★計算の 答え★	199.99999999999997
#材料	★計算の 答え★	26718.499999999996
#材料	★計算の 答え★	20.00000000000003
#幅	5,6,7,8,8.43,9,10,11,12,13,15,20,30,50
#
# 札	打った 字	幅	★画面に 出る 字(.Text)★	中の 数(.Value2)	指数か	型	窓２(=(A1)=0)
小さい 側	0.1	20	0.1	0.1	—	Number	—
小さい 側	0.1	30	0.1	0.1	—	Number	—
小さい 側	0.1	50	0.1	0.1	—	Number	—
小さい 側	0.01	5	0.01	0.01	—	Number	—
小さい 側	0.01	6	0.01	0.01	—	Number	—
小さい 側	0.01	7	0.01	0.01	—	Number	—
小さい 側	0.01	8	0.01	0.01	—	Number	—
小さい 側	0.01	8.43	0.01	0.01	—	Number	—
小さい 側	0.01	9	0.01	0.01	—	Number	—
小さい 側	0.01	10	0.01	0.01	—	Number	—
小さい 側	0.01	11	0.01	0.01	—	Number	—
小さい 側	0.01	12	0.01	0.01	—	Number	—
小さい 側	0.01	13	0.01	0.01	—	Number	—
小さい 側	0.01	15	0.01	0.01	—	Number	—
小さい 側	0.01	20	0.01	0.01	—	Number	—
小さい 側	0.01	30	0.01	0.01	—	Number	—
小さい 側	0.01	50	0.01	0.01	—	Number	—
小さい 側	0.001	5	0.001	0.001	—	Number	—
小さい 側	0.001	6	0.001	0.001	—	Number	—
小さい 側	0.001	7	0.001	0.001	—	Number	—
小さい 側	0.001	8	0.001	0.001	—	Number	—
小さい 側	0.001	8.43	0.001	0.001	—	Number	—
小さい 側	0.001	9	0.001	0.001	—	Number	—
小さい 側	0.001	10	0.001	0.001	—	Number	—
小さい 側	0.001	11	0.001	0.001	—	Number	—
小さい 側	0.001	12	0.001	0.001	—	Number	—
小さい 側	0.001	13	0.001	0.001	—	Number	—
小さい 側	0.001	15	0.001	0.001	—	Number	—
小さい 側	0.001	20	0.001	0.001	—	Number	—
小さい 側	0.001	30	0.001	0.001	—	Number	—
小さい 側	0.001	50	0.001	0.001	—	Number	—
小さい 側	0.0001	5	1E-04	0.0001	★指数★	Number	—
小さい 側	0.0001	6	0.0001	0.0001	—	Number	—
小さい 側	0.0001	7	0.0001	0.0001	—	Number	—
小さい 側	0.0001	8	0.0001	0.0001	—	Number	—
小さい 側	0.0001	8.43	0.0001	0.0001	—	Number	—
小さい 側	0.0001	9	0.0001	0.0001	—	Number	—
小さい 側	0.0001	10	0.0001	0.0001	—	Number	—
小さい 側	0.0001	11	0.0001	0.0001	—	Number	—
小さい 側	0.0001	12	0.0001	0.0001	—	Number	—
小さい 側	0.0001	13	0.0001	0.0001	—	Number	—
小さい 側	0.0001	15	0.0001	0.0001	—	Number	—
小さい 側	0.0001	20	0.0001	0.0001	—	Number	—
小さい 側	0.0001	30	0.0001	0.0001	—	Number	—
小さい 側	0.0001	50	0.0001	0.0001	—	Number	—
★小さい 側 境目★	0.00001	5	1E-05	1E-05	★指数★	Number	—
★小さい 側 境目★	0.00001	6	1E-05	1E-05	★指数★	Number	—
★小さい 側 境目★	0.00001	7	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	8	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	8.43	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	9	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	10	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	11	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	12	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	13	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	15	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	20	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	30	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.00001	50	0.00001	1E-05	—	Number	—
★小さい 側 境目★	0.000001	5	1E-06	1E-06	★指数★	Number	—
★小さい 側 境目★	0.000001	6	1E-06	1E-06	★指数★	Number	—
★小さい 側 境目★	0.000001	7	1E-06	1E-06	★指数★	Number	—
★小さい 側 境目★	0.000001	8	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	8.43	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	9	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	10	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	11	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	12	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	13	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	15	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	20	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	30	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.000001	50	0.000001	1E-06	—	Number	—
★小さい 側 境目★	0.0000001	5	1E-07	1E-07	★指数★	Number	—
★小さい 側 境目★	0.0000001	6	1E-07	1E-07	★指数★	Number	—
★小さい 側 境目★	0.0000001	7	1E-07	1E-07	★指数★	Number	—
★小さい 側 境目★	0.0000001	8	1E-07	1E-07	★指数★	Number	—
★小さい 側 境目★	0.0000001	8.43	1E-07	1E-07	★指数★	Number	—
★小さい 側 境目★	0.0000001	9	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	10	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	11	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	12	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	13	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	15	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	20	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	30	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.0000001	50	0.0000001	1E-07	—	Number	—
★小さい 側 境目★	0.00000001	5	1E-08	1E-08	★指数★	Number	—
★小さい 側 境目★	0.00000001	6	1E-08	1E-08	★指数★	Number	—
★小さい 側 境目★	0.00000001	7	1E-08	1E-08	★指数★	Number	—
★小さい 側 境目★	0.00000001	8	1E-08	1E-08	★指数★	Number	—
★小さい 側 境目★	0.00000001	8.43	1E-08	1E-08	★指数★	Number	—
★小さい 側 境目★	0.00000001	9	1E-08	1E-08	★指数★	Number	—
★小さい 側 境目★	0.00000001	10	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	11	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	12	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	13	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	15	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	20	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	30	0.00000001	1E-08	—	Number	—
★小さい 側 境目★	0.00000001	50	0.00000001	1E-08	—	Number	—
小さい 側	0.000000001	5	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	6	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	7	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	8	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	8.43	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	9	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	10	1E-09	1E-09	★指数★	Number	—
小さい 側	0.000000001	11	0.000000001	1E-09	—	Number	—
小さい 側	0.000000001	12	0.000000001	1E-09	—	Number	—
小さい 側	0.000000001	13	0.000000001	1E-09	—	Number	—
小さい 側	0.000000001	15	0.000000001	1E-09	—	Number	—
小さい 側	0.000000001	20	0.000000001	1E-09	—	Number	—
小さい 側	0.000000001	30	0.000000001	1E-09	—	Number	—
小さい 側	0.000000001	50	0.000000001	1E-09	—	Number	—
小さい 側	0.0000000001	5	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	6	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	7	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	8	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	8.43	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	9	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	10	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	11	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	12	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	13	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	15	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	20	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	30	1E-10	1E-10	★指数★	Number	—
小さい 側	0.0000000001	50	1E-10	1E-10	★指数★	Number	—
★とても 小さい★	0.0000000000000164	5	2E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	6	2E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	7	1.6E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	8	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	8.43	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	9	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	10	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	11	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	12	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	13	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	15	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	20	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	30	1.64E-14	1.64E-14	★指数★	Number	—
★とても 小さい★	0.0000000000000164	50	1.64E-14	1.64E-14	★指数★	Number	—
大きい 側	100000	5	####	100000	★#####★	Number	—
大きい 側	100000	6	100000	100000	—	Number	—
大きい 側	100000	7	100000	100000	—	Number	—
大きい 側	100000	8	100000	100000	—	Number	—
大きい 側	100000	8.43	100000	100000	—	Number	—
大きい 側	100000	9	100000	100000	—	Number	—
大きい 側	100000	10	100000	100000	—	Number	—
大きい 側	100000	11	100000	100000	—	Number	—
大きい 側	100000	12	100000	100000	—	Number	—
大きい 側	100000	13	100000	100000	—	Number	—
大きい 側	100000	15	100000	100000	—	Number	—
大きい 側	100000	20	100000	100000	—	Number	—
大きい 側	100000	30	100000	100000	—	Number	—
大きい 側	100000	50	100000	100000	—	Number	—
大きい 側	100000000	5	####	100000000	★#####★	Number	—
大きい 側	100000000	6	1E+08	100000000	★指数★	Number	—
大きい 側	100000000	7	1E+08	100000000	★指数★	Number	—
大きい 側	100000000	8	1E+08	100000000	★指数★	Number	—
大きい 側	100000000	8.43	1E+08	100000000	★指数★	Number	—
大きい 側	100000000	9	100000000	100000000	—	Number	—
大きい 側	100000000	10	100000000	100000000	—	Number	—
大きい 側	100000000	11	100000000	100000000	—	Number	—
大きい 側	100000000	12	100000000	100000000	—	Number	—
大きい 側	100000000	13	100000000	100000000	—	Number	—
大きい 側	100000000	15	100000000	100000000	—	Number	—
大きい 側	100000000	20	100000000	100000000	—	Number	—
大きい 側	100000000	30	100000000	100000000	—	Number	—
大きい 側	100000000	50	100000000	100000000	—	Number	—
大きい 側	1000000000	5	####	1000000000	★#####★	Number	—
大きい 側	1000000000	6	1E+09	1000000000	★指数★	Number	—
大きい 側	1000000000	7	1E+09	1000000000	★指数★	Number	—
大きい 側	1000000000	8	1E+09	1000000000	★指数★	Number	—
大きい 側	1000000000	8.43	1E+09	1000000000	★指数★	Number	—
大きい 側	1000000000	9	1E+09	1000000000	★指数★	Number	—
大きい 側	1000000000	10	1000000000	1000000000	—	Number	—
大きい 側	1000000000	11	1000000000	1000000000	—	Number	—
大きい 側	1000000000	12	1000000000	1000000000	—	Number	—
大きい 側	1000000000	13	1000000000	1000000000	—	Number	—
大きい 側	1000000000	15	1000000000	1000000000	—	Number	—
大きい 側	1000000000	20	1000000000	1000000000	—	Number	—
大きい 側	1000000000	30	1000000000	1000000000	—	Number	—
大きい 側	1000000000	50	1000000000	1000000000	—	Number	—
★大きい 側 境目★	10000000000	5	####	10000000000	★#####★	Number	—
★大きい 側 境目★	10000000000	6	1E+10	10000000000	★指数★	Number	—
★大きい 側 境目★	10000000000	7	1E+10	10000000000	★指数★	Number	—
★大きい 側 境目★	10000000000	8	1E+10	10000000000	★指数★	Number	—
★大きい 側 境目★	10000000000	8.43	1E+10	10000000000	★指数★	Number	—
★大きい 側 境目★	10000000000	9	1E+10	10000000000	★指数★	Number	—
★大きい 側 境目★	10000000000	10	1E+10	10000000000	★指数★	Number	—
★大きい 側 境目★	10000000000	11	10000000000	10000000000	—	Number	—
★大きい 側 境目★	10000000000	12	10000000000	10000000000	—	Number	—
★大きい 側 境目★	10000000000	13	10000000000	10000000000	—	Number	—
★大きい 側 境目★	10000000000	15	10000000000	10000000000	—	Number	—
★大きい 側 境目★	10000000000	20	10000000000	10000000000	—	Number	—
★大きい 側 境目★	10000000000	30	10000000000	10000000000	—	Number	—
★大きい 側 境目★	10000000000	50	10000000000	10000000000	—	Number	—
★大きい 側 境目★	100000000000	5	####	100000000000	★#####★	Number	—
★大きい 側 境目★	100000000000	6	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	7	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	8	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	8.43	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	9	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	10	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	11	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	12	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	13	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	15	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	20	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	30	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	100000000000	50	1E+11	100000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	5	####	1000000000000	★#####★	Number	—
★大きい 側 境目★	1000000000000	6	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	7	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	8	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	8.43	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	9	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	10	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	11	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	12	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	13	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	15	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	20	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	30	1E+12	1000000000000	★指数★	Number	—
★大きい 側 境目★	1000000000000	50	1E+12	1000000000000	★指数★	Number	—
大きい 側	1000000000000000	5	####	1000000000000000	★#####★	Number	—
大きい 側	1000000000000000	6	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	7	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	8	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	8.43	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	9	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	10	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	11	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	12	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	13	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	15	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	20	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	30	1E+15	1000000000000000	★指数★	Number	—
大きい 側	1000000000000000	50	1E+15	1000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	5	####	10000000000000000	★#####★	Number	—
★大きい 側 境目★	10000000000000000	6	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	7	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	8	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	8.43	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	9	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	10	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	11	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	12	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	13	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	15	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	20	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	30	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	10000000000000000	50	1E+16	10000000000000000	★指数★	Number	—
★大きい 側 境目★	100000000000000000	5	####	1E+17	★#####★	Number	—
★大きい 側 境目★	100000000000000000	6	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	7	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	8	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	8.43	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	9	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	10	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	11	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	12	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	13	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	15	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	20	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	30	1E+17	1E+17	★指数★	Number	—
★大きい 側 境目★	100000000000000000	50	1E+17	1E+17	★指数★	Number	—
大きい 側	100000000000000000000	5	####	1E+20	★#####★	Number	—
大きい 側	100000000000000000000	6	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	7	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	8	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	8.43	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	9	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	10	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	11	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	12	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	13	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	15	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	20	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	30	1E+20	1E+20	★指数★	Number	—
大きい 側	100000000000000000000	50	1E+20	1E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	5	####	1.2345678901234568E+20	★#####★	Number	—
★仮数 桁★	123456789012345678901	6	1E+20	1.2345678901234568E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	7	1.2E+20	1.2345678901234568E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	8	1.23E+20	1.2345678901234568E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	8.43	1.23E+20	1.2345678901234568E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	9	1.235E+20	1.2345678901234568E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	10	1.2346E+20	1.2345678901234568E+20	★指数★	Number	—
★仮数 桁★	123456789012345678901	11	1.23457E+20	1.2345678901234568E+20	★指数★	Number	—
