# ★ODDFPRICE の 切り分け 3回目★（2026-09-16）
#
# ★聞く 事は 1つ★ … ODDFPRICE の 中で basis 2・3 の「1期の 長さ」は 何か
# ★見込みは 聞く 前に 書いて あります★ … kansuu46/oddf-kiku-koto-3.md
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 訳	式	答え	出る字	=(式)=0	型
㋑f=4 (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,4,1),0.06,0.05,100,4,2)	-2146826252	#NUM!	-2146826252	Other
㋑f=1 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,1,3)	-2146826252	#NUM!	-2146826252	Other
㋑f=2 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.44235522323493	103.4424	False	Double
㋑f=4 (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,4,1),0.06,0.05,100,4,3)	103.46803975378087	103.468	False	Double
㋒1月始まり(181日) (basis=1)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋒7月始まり(184日) (basis=1)	=ODDFPRICE(DATE(2009,9,1),DATE(2013,1,1),DATE(2009,7,1),DATE(2010,1,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
㋒1月始まり(181日) (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,2)	103.44558827478386	103.4456	False	Double
㋒7月始まり(184日) (basis=2)	=ODDFPRICE(DATE(2009,9,1),DATE(2013,1,1),DATE(2009,7,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.03110698509633	103.0311	False	Double
㋒1月始まり(181日) (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2009,7,1),0.06,0.05,100,2,3)	103.44235522323493	103.4424	False	Double
㋒7月始まり(184日) (basis=3)	=ODDFPRICE(DATE(2009,9,1),DATE(2013,1,1),DATE(2009,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.02780157562202	103.0278	False	Double
COUPDAYS 決済 2009-04-01 満期 2013-01-01 f=2 (basis=1)	=COUPDAYS(DATE(2009,4,1),DATE(2013,1,1),2,1)	181	181	False	Double
COUPDAYBS 決済 2009-04-01 (basis=1)	=COUPDAYBS(DATE(2009,4,1),DATE(2013,1,1),2,1)	90	90	False	Double
COUPDAYSNC 決済 2009-04-01 (basis=1)	=COUPDAYSNC(DATE(2009,4,1),DATE(2013,1,1),2,1)	91	91	False	Double
COUPDAYS f=1 (basis=1)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),1,1)	365	365	False	Double
COUPDAYS f=4 (basis=1)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),4,1)	90	90	False	Double
COUPDAYS 1月始まり (basis=1)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),2,1)	181	181	False	Double
COUPDAYS 7月始まり (basis=1)	=COUPDAYS(DATE(2009,9,1),DATE(2013,1,1),2,1)	184	184	False	Double
COUPDAYS 決済 2009-04-01 満期 2013-01-01 f=2 (basis=2)	=COUPDAYS(DATE(2009,4,1),DATE(2013,1,1),2,2)	180	180	False	Double
COUPDAYBS 決済 2009-04-01 (basis=2)	=COUPDAYBS(DATE(2009,4,1),DATE(2013,1,1),2,2)	90	90	False	Double
COUPDAYSNC 決済 2009-04-01 (basis=2)	=COUPDAYSNC(DATE(2009,4,1),DATE(2013,1,1),2,2)	91	91	False	Double
COUPDAYS f=1 (basis=2)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),1,2)	360	360	False	Double
COUPDAYS f=4 (basis=2)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),4,2)	90	90	False	Double
COUPDAYS 1月始まり (basis=2)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),2,2)	180	180	False	Double
COUPDAYS 7月始まり (basis=2)	=COUPDAYS(DATE(2009,9,1),DATE(2013,1,1),2,2)	180	180	False	Double
COUPDAYS 決済 2009-04-01 満期 2013-01-01 f=2 (basis=3)	=COUPDAYS(DATE(2009,4,1),DATE(2013,1,1),2,3)	182.5	182.5	False	Double
COUPDAYBS 決済 2009-04-01 (basis=3)	=COUPDAYBS(DATE(2009,4,1),DATE(2013,1,1),2,3)	90	90	False	Double
COUPDAYSNC 決済 2009-04-01 (basis=3)	=COUPDAYSNC(DATE(2009,4,1),DATE(2013,1,1),2,3)	91	91	False	Double
COUPDAYS f=1 (basis=3)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),1,3)	365	365	False	Double
COUPDAYS f=4 (basis=3)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),4,3)	91.25	91.25	False	Double
COUPDAYS 1月始まり (basis=3)	=COUPDAYS(DATE(2009,3,1),DATE(2013,1,1),2,3)	182.5	182.5	False	Double
COUPDAYS 7月始まり (basis=3)	=COUPDAYS(DATE(2009,9,1),DATE(2013,1,1),2,3)	182.5	182.5	False	Double
㋓対照1(紙に在る・○のはず)	=ODDFPRICE(DATE(2008,11,11),DATE(2021,3,1),DATE(2008,10,15),DATE(2009,3,1),0.0785,0.0625,100,2,2)	113.59879960832529	113.5988	False	Double
㋓対照2(紙に在る・○のはず)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double
㋓対照3(前の枠と同じ・○のはず)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2008,7,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.03027970006697	103.0303	False	Double
