# ★319個を 実Excel に 打たせた＝どのマスに 何を 打ったか★（61）（2026-09-20）
# ★分母★ ... docs/measured/dai-namae-zenbu-2026-09-20.txt の 「まだ」
# ★式の 形★ ... 梯子を 上から 試して ★最初に 通った 物★
# ★#NAME? ＝ 実Excel が その 名前を 知らない★（うちの 台には 在る）
# マス	名前	打った式	値	出る字
H921	GAMMALN	=GAMMALN(A1:A3)	0	0
H929	GAUSS	=GAUSS(A1:A3)	0.34134474606854304	0.341345
H937	GCD	=GCD(A1:A3)	1	1
H945	GEOMEAN	=GEOMEAN(A1:A3)	1.5874010519681994	1.587401
H953	GESTEP	=GESTEP(A1:A3)	-2146826273	#VALUE!
H961	HARMEAN	=HARMEAN(A1:A3)	1.5	1.5
H969	HEX2BIN	=HEX2BIN(A1:A3)	-2146826273	#VALUE!
H977	HEX2DEC	=HEX2DEC(A1:A3)	-2146826273	#VALUE!
H985	HEX2OCT	=HEX2OCT(A1:A3)	-2146826273	#VALUE!
H993	HLOOKUP	=HLOOKUP(1,1,1)	-2146826246	#N/A
H1001	HOUR	=HOUR(A1:A3)	0	0
H1009	HSTACK	=HSTACK(A1:A3)	1	1
H1017	HYPERLINK	=HYPERLINK(A1:A3)	1	1
H1025	HYPGEOMDIST	=HYPGEOMDIST(1,1,1,1)	1	1
H1033	IF	=IF(A1,A2)	2	2
H1041	IFERROR	=IFERROR(A1,A2)	1	1
H1049	IFNA	=IFNA(A1,A2)	1	1
H1057	IFS	=IFS(A1,A2)	2	2
H1065	IMABS	=IMABS(A1:A3)	-2146826273	#VALUE!
H1073	IMAGINARY	=IMAGINARY(A1:A3)	-2146826273	#VALUE!
H1081	IMARGUMENT	=IMARGUMENT(A1:A3)	-2146826273	#VALUE!
H1089	IMCONJUGATE	=IMCONJUGATE(A1:A3)	-2146826273	#VALUE!
H1097	IMCOS	=IMCOS(A1:A3)	-2146826273	#VALUE!
H1105	IMCOSH	=IMCOSH(A1:A3)	-2146826273	#VALUE!
H1113	IMCOT	=IMCOT(A1:A3)	-2146826273	#VALUE!
H1121	IMCSC	=IMCSC(A1:A3)	-2146826273	#VALUE!
H1129	IMCSCH	=IMCSCH(A1:A3)	-2146826273	#VALUE!
H1137	IMDIV	=IMDIV(A1,A2)	0.5	0.5
H1145	IMEXP	=IMEXP(A1:A3)	-2146826273	#VALUE!
H1153	IMLN	=IMLN(A1:A3)	-2146826273	#VALUE!
H1161	IMLOG10	=IMLOG10(A1:A3)	-2146826273	#VALUE!
H1169	IMLOG2	=IMLOG2(A1:A3)	-2146826273	#VALUE!
H1177	IMPOWER	=IMPOWER(A1,A2)	1	1
H1185	IMPRODUCT	=IMPRODUCT(A1:A3)	4	4
H1193	IMREAL	=IMREAL(A1:A3)	-2146826273	#VALUE!
H1201	IMSEC	=IMSEC(A1:A3)	-2146826273	#VALUE!
H1209	IMSECH	=IMSECH(A1:A3)	-2146826273	#VALUE!
H1217	IMSIN	=IMSIN(A1:A3)	-2146826273	#VALUE!
H1225	IMSINH	=IMSINH(A1:A3)	-2146826273	#VALUE!
H1233	IMSQRT	=IMSQRT(A1:A3)	-2146826273	#VALUE!
H1241	IMSUB	=IMSUB(A1,A2)	-1	-1
H1249	IMSUM	=IMSUM(A1:A3)	5	5
H1257	IMTAN	=IMTAN(A1:A3)	-2146826273	#VALUE!
H1265	INDEX	=INDEX(A1,A2)	-2146826265	#REF!
H1273	INT	=INT(A1:A3)	1	1
H1281	INTERCEPT	=INTERCEPT(A1,A2)	-2146826281	#DIV/0!
H1289	IPMT	=IPMT(1,1,1,1)	-1	¥-1.00
H1297	IRR	=IRR(A1:A3)	-2146826252	#NUM!
H1305	ISBLANK	=ISBLANK(A1:A3)	False	FALSE
H1313	ISERR	=ISERR(A1:A3)	False	FALSE
H1321	ISERROR	=ISERROR(A1:A3)	False	FALSE
H1329	ISEVEN	=ISEVEN(A1:A3)	-2146826273	#VALUE!
H1337	ISFORMULA	=ISFORMULA(A1:A3)	False	FALSE
H1345	ISLOGICAL	=ISLOGICAL(A1:A3)	False	FALSE
H1353	ISNA	=ISNA(A1:A3)	False	FALSE
H1361	ISNONTEXT	=ISNONTEXT(A1:A3)	True	TRUE
H1369	ISNUMBER	=ISNUMBER(A1:A3)	True	TRUE
H1377	ISODD	=ISODD(A1:A3)	-2146826273	#VALUE!
H1385	ISOMITTED	=ISOMITTED(A1:A3)	False	FALSE
H1393	ISOWEEKNUM	=ISOWEEKNUM(A1:A3)	52	52
H1401	ISPMT	=ISPMT(1,1,1,1)	0	0
H1409	ISREF	=ISREF(A1:A3)	True	TRUE
H1417	ISTEXT	=ISTEXT(A1:A3)	False	FALSE
H1425	LARGE	=LARGE(A1,A2)	-2146826252	#NUM!
H1433	LCM	=LCM(A1:A3)	2	2
H1441	LEFT	=LEFT(A1:A3)	1	1
H1449	LEN	=LEN(A1:A3)	1	1
H1457	LN	=LN(A1:A3)	0	0
H1465	LOG	=LOG(A1:A3)	0	0
H1473	LOG10	=LOG10(A1:A3)	0	0
H1481	LOGINV	=LOGINV(1,1,1)	-2146826252	#NUM!
H1489	LOGNORMDIST	=LOGNORMDIST(1,1,1)	0.158655253931457	0.158655
H1497	LOWER	=LOWER(A1:A3)	1	1
H1505	MATCH	=MATCH(A1,A2)	-2146826246	#N/A
H1513	MAX	=MAX(A1:A3)	2	2
H1521	MAXA	=MAXA(A1:A3)	2	2
H1529	MAXIFS	(★打てません★)		
H1537	MEDIAN	=MEDIAN(A1:A3)	2	2
H1545	MID	=MID(1,1,1)	1	1
H1553	MIN	=MIN(A1:A3)	1	1
H1561	MINA	=MINA(A1:A3)	1	1
H1569	MINIFS	(★打てません★)		
H1577	MINUTE	=MINUTE(A1:A3)	0	0
H1585	MIRR	=MIRR(1,1,1)	-2146826281	#DIV/0!
H1593	MMULT	=MMULT(A1,A2)	2	2
H1601	MOD	=MOD(A1,A2)	1	1
H1609	MODE	=MODE(A1:A3)	2	2
H1617	MONTH	=MONTH(A1:A3)	1	1
H1625	MROUND	=MROUND(A1,A2)	2	2
H1633	MULTINOMIAL	=MULTINOMIAL(A1:A3)	29.999999999999989	30
H1641	NA	=NA()	-2146826246	#N/A
H1649	NEGBINOMDIST	=NEGBINOMDIST(1,1,1)	-2146826252	#NUM!
H1657	NETWORKDAYS	=NETWORKDAYS(A1,A2)	1	1
H1665	NOMINAL	=NOMINAL(A1,A2)	0.82842712474619029	0.828427
H1673	NORMDIST	=NORMDIST(1,1,1,1)	0.5	0.5
H1681	NORMINV	=NORMINV(1,1,1)	-2146826252	#NUM!
H1689	NORMSDIST	=NORMSDIST(A1:A3)	0.841344746068543	0.841345
H1697	NORMSINV	=NORMSINV(A1:A3)	-2146826252	#NUM!
H1705	NOT	=NOT(A1:A3)	False	FALSE
H1713	NOW	=NOW()	46285.3076630787	#######
H1721	NPER	=NPER(1,1,1)	-1	-1
H1729	NPV	=NPV(A1,A2)	1	¥1.00
H1737	OCT2BIN	=OCT2BIN(A1:A3)	-2146826273	#VALUE!
H1745	OCT2DEC	=OCT2DEC(A1:A3)	-2146826273	#VALUE!
H1753	OCT2HEX	=OCT2HEX(A1:A3)	-2146826273	#VALUE!
H1761	ODD	=ODD(A1:A3)	1	1
H1769	OR	=OR(A1:A3)	True	TRUE
H1777	PDURATION	=PDURATION(1,1,1)	0	0
H1785	PEARSON	=PEARSON(A1,A2)	-2146826281	#DIV/0!
H1793	PERCENTILE	=PERCENTILE(A1,A2)	-2146826252	#NUM!
H1801	PHI	=PHI(A1:A3)	0.24197072451914337	0.241971
H1809	PI	=PI()	3.1415926535897931	3.141593
H1817	PMT	=PMT(1,1,1)	-2	¥-2.00
H1825	POISSON	=POISSON(1,1,1)	0.73575888234288478	0.735759
H1833	POWER	=POWER(A1,A2)	1	1
H1841	PPMT	=PPMT(1,1,1,1)	-1	¥-1.00
H1849	PRODUCT	=PRODUCT(A1:A3)	4	4
H1857	PROPER	=PROPER(A1:A3)	1	1
H1865	PV	=PV(1,1,1)	-0.5	¥-0.50
H1873	QUARTILE	=QUARTILE(A1,A2)	1	1
H1881	QUOTIENT	=QUOTIENT(A1,A2)	0	0
H1889	RADIANS	=RADIANS(A1:A3)	0.017453292519943295	0.017453
H1897	RAND	=RAND()	0.94361912557187588	0.943619
H1905	RANDBETWEEN	=RANDBETWEEN(A1,A2)	1	1
H1913	RANK	=RANK(A1,A2)	-2146826246	#N/A
H1921	RATE	=RATE(1,1,1)	-2146826252	#NUM!
H1929	REPLACE	=REPLACE(1,1,1,1)	1	1
H1937	REPT	=REPT(A1,A2)	11	11
H1945	RIGHT	=RIGHT(A1:A3)	1	1
H1953	ROMAN	=ROMAN(A1:A3)	I	I
H1961	ROUND	=ROUND(A1,A2)	1	1
H1969	ROUNDDOWN	=ROUNDDOWN(A1,A2)	1	1
H1977	ROUNDUP	=ROUNDUP(A1,A2)	1	1
H1985	ROW	=ROW(A1:A3)	1	1
H1993	ROWS	=ROWS(A1:A3)	3	3
H2001	RRI	=RRI(1,1,1)	0	0
H2009	RSQ	=RSQ(A1,A2)	-2146826281	#DIV/0!
H2017	SEARCH	=SEARCH(A1,A2)	-2146826273	#VALUE!
H2025	SEC	=SEC(A1:A3)	1.8508157176809255	1.850816
H2033	SECH	=SECH(A1:A3)	0.64805427366388546	0.648054
H2041	SECOND	=SECOND(A1:A3)	0	0
H2049	SERIESSUM	=SERIESSUM(1,1,1,1)	1	1
H2057	SHEETS	=SHEETS(A1:A3)	1	1
H2065	SIGN	=SIGN(A1:A3)	1	1
H2073	SIN	=SIN(A1:A3)	0.8414709848078965	0.841471
H2081	SINH	=SINH(A1:A3)	1.1752011936438014	1.175201
H2089	SKEW	=SKEW(A1:A3)	-1.732050807568879	-1.73205
H2097	SLN	=SLN(1,1,1)	0	¥0.00
H2105	SLOPE	=SLOPE(A1,A2)	-2146826281	#DIV/0!
H2113	SMALL	=SMALL(A1,A2)	-2146826252	#NUM!
H2121	SQRT	=SQRT(A1:A3)	1	1
H2129	SQRTPI	=SQRTPI(A1:A3)	-2146826273	#VALUE!
H2137	STANDARDIZE	=STANDARDIZE(1,1,1)	0	0
H2145	STDEV	=STDEV(A1:A3)	0.57735026918962551	0.57735
H2153	STDEVA	=STDEVA(A1:A3)	0.57735026918962551	0.57735
H2161	STDEVP	=STDEVP(A1:A3)	0.47140452079103168	0.471405
H2169	STDEVPA	=STDEVPA(A1:A3)	0.47140452079103168	0.471405
H2177	STEYX	=STEYX(A1,A2)	-2146826281	#DIV/0!
H2185	SUBSTITUTE	=SUBSTITUTE(1,1,1)	1	1
H2193	SUBTOTAL	=SUBTOTAL(A1,A2)	2	2
H2201	SUMIF	=SUMIF(A1,A2)	0	0
H2209	SUMIFS	(★打てません★)		
H2217	SUMSQ	=SUMSQ(A1:A3)	9	9
H2225	SUMX2MY2	=SUMX2MY2(A1,A2)	-3	-3
H2233	SUMX2PY2	=SUMX2PY2(A1,A2)	5	5
H2241	SUMXMY2	=SUMXMY2(A1,A2)	1	1
H2249	SWITCH	=SWITCH(1,1,1)	1	1
H2257	SYD	=SYD(1,1,1,1)	0	¥0.00
H2265	TAN	=TAN(A1:A3)	1.5574077246549023	1.557408
H2273	TANH	=TANH(A1:A3)	0.76159415595576485	0.761594
H2281	TBILLEQ	=TBILLEQ(1,1,1)	-2146826252	#NUM!
H2289	TBILLPRICE	=TBILLPRICE(1,1,1)	-2146826252	#NUM!
H2297	TBILLYIELD	=TBILLYIELD(1,1,1)	-2146826252	#NUM!
H2305	TDIST	=TDIST(1,1,1)	0.25000000000000006	0.25
H2313	TEXT	=TEXT(A1,A2)	2	2
H2321	TEXTJOIN	=TEXTJOIN(1,1,1)	1	1
H2329	TIME	=TIME(1,1,1)	0.042372685185185187	1:01 AM
H2337	TIMEVALUE	=TIMEVALUE(A1:A3)	-2146826273	#VALUE!
H2345	TINV	=TINV(A1,A2)	0	0
H2353	TODAY	=TODAY()	46285	#######
H2361	TRIM	=TRIM(A1:A3)	1	1
H2369	TRUE	=TRUE()	True	TRUE
H2377	TRUNC	=TRUNC(A1:A3)	1	1
H2385	TTEST	=TTEST(1,1,1,1)	-2146826281	#DIV/0!
H2393	TYPE	=TYPE(A1:A3)	64	64
H2401	UNICHAR	=UNICHAR(A1:A3)		
H2409	UNICODE	=UNICODE(A1:A3)	49	49
H2417	UPPER	=UPPER(A1:A3)	1	1
H2425	VALUE	=VALUE(A1:A3)	1	1
H2433	VAR	=VAR(A1:A3)	0.33333333333333304	0.333333
H2441	VARA	=VARA(A1:A3)	0.33333333333333304	0.333333
H2449	VARP	=VARP(A1:A3)	0.22222222222222221	0.222222
H2457	VARPA	=VARPA(A1:A3)	0.22222222222222221	0.222222
H2465	VLOOKUP	=VLOOKUP(1,1,1)	-2146826246	#N/A
H2473	VSTACK	=VSTACK(A1:A3)	1	1
H2481	WEEKDAY	=WEEKDAY(A1:A3)	1	1
H2489	WEEKNUM	=WEEKNUM(A1:A3)	-2146826273	#VALUE!
H2497	WEIBULL	=WEIBULL(1,1,1,1)	0.63212055882855767	0.632121
H2505	WORKDAY	=WORKDAY(A1,A2)	3	3
H2513	XIRR	=XIRR(A1,A2)	-2146826246	#N/A
H2521	XNPV	=XNPV(1,1,1)	1	1
H2529	YEAR	=YEAR(A1:A3)	1900	1900
H2537	YEARFRAC	=YEARFRAC(A1,A2)	0.0027777777777777779	0.002778
H2545	ZTEST	=ZTEST(A1,A2)	-2146826281	#DIV/0!
# ★打てた 314個 ／ 打てない 5個 ／ その うち #NAME? 0個★
# ★かかった 秒 ... 2.4★
