# ★古い 紙（2026-09-08）を 今の 道（Formula2）で 打ち直した★（67）（2026-09-21）
# ★元の 紙★ ... docs/measured/kansuu46/golden-346-2026-09-08.tsv
# ★★元の 紙は `.Formula`（昔の 道＝溢れない）で 取られて います★★（kansuu46 の 道具 21本とも）
# ★盤面★ A1:A5=1,2,3,4,5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★置き場★ H列・行1 から 10行 おき
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# 名前	式	昔の 答え	実Excel（今の 道＝Formula2）	埋まった数	判じ
AVERAGEA	=AVERAGEA(A1:A5,2)	2.8333333333333335	2.8333333333333335	1	onaji
AVERAGEA	=AVERAGEA(A1:A5,2,3)	2.8571428571428572	2.8571428571428572	1	onaji
AVERAGEA	=AVERAGEA(A1:B5,2,FALSE)	3.9166666666666665	3.9166666666666665	1	onaji
AVERAGEA	=AVERAGEA(A1:A5,A1)	2.6666666666666665	2.6666666666666665	1	onaji
AVERAGEA	=AVERAGEA(A1:A5,1,B1:B5,1)	3.9166666666666665	3.9166666666666665	1	onaji
AVERAGEA	=AVERAGEA(A1:A5,B1:B5,1)	4.1818181818181817	4.1818181818181817	1	onaji
AVERAGEIF	=AVERAGEIF(A1:A5,B1:B5)	2	2	5	onaji
AVERAGEIF	=AVERAGEIF(A1:A5,2)	2	2	1	onaji
AVERAGEIF	=AVERAGEIF(A1:A5,A1)	1	1	1	onaji
AVERAGEIF	=AVERAGEIF(A1:A5,"<3")	1.5	1.5	1	onaji
AVERAGEIF	=AVERAGEIF(A1:A5,"<3",B1:B5)	3	3	1	onaji
BASE	=BASE(A1:A5,B1:B5)	1	1	5	onaji
BASE	=BASE(A1:A5,2)	1	1	5	onaji
BASE	=BASE(A1:A5,2,3)	001	001	5	onaji
BASE	=BASE(A1:A5,B1:B5,1)	1	1	5	onaji
BETA.DIST	=BETA.DIST(A1:A5,1,B1:B5,1)	1	1	5	onaji
BETADIST	=BETADIST(A1:A5,2,3)	1	1	5	onaji
BETADIST	=BETADIST(A1:A5,B1:B5,1)	1	1	5	onaji
BITAND	=BITAND(A1:A5,B1:B5)	0	0	5	onaji
BITAND	=BITAND(A1:A5,2)	0	0	5	onaji
BITAND	=BITAND(A1:A5,A1)	1	1	5	onaji
BITLSHIFT	=BITLSHIFT(A1:A5,B1:B5)	4	4	5	onaji
BITLSHIFT	=BITLSHIFT(A1:A5,2)	4	4	5	onaji
BITLSHIFT	=BITLSHIFT(A1:A5,A1)	2	2	5	onaji
BITOR	=BITOR(A1:A5,B1:B5)	3	3	5	onaji
BITOR	=BITOR(A1:A5,2)	3	3	5	onaji
BITOR	=BITOR(A1:A5,A1)	1	1	5	onaji
BITRSHIFT	=BITRSHIFT(A1:A5,B1:B5)	0	0	5	onaji
BITRSHIFT	=BITRSHIFT(A1:A5,2)	0	0	5	onaji
BITRSHIFT	=BITRSHIFT(A1:A5,A1)	0	0	5	onaji
BITXOR	=BITXOR(A1:A5,B1:B5)	3	3	5	onaji
BITXOR	=BITXOR(A1:A5,2)	3	3	5	onaji
BITXOR	=BITXOR(A1:A5,A1)	0	0	5	onaji
CEILING	=CEILING(A1:A5,B1:B5)	2	2	5	onaji
CEILING	=CEILING(A1:A5,2)	2	2	5	onaji
CEILING	=CEILING(A1:A5,A1)	1	1	5	onaji
CEILING.MATH	=CEILING.MATH(A1:A5)	1	1	5	onaji
CEILING.MATH	=CEILING.MATH(B1:B5)	2	2	5	onaji
CEILING.MATH	=CEILING.MATH(A1:A5,B1:B5)	2	2	5	onaji
CEILING.MATH	=CEILING.MATH(A1:A5,2)	2	2	5	onaji
CEILING.MATH	=CEILING.MATH(A1:A5,2,3)	2	2	5	onaji
CEILING.MATH	=CEILING.MATH(A1:A5,A1)	1	1	5	onaji
CEILING.MATH	=CEILING.MATH(A1:A5,B1:B5,1)	2	2	5	onaji
CEILING.PRECISE	=CEILING.PRECISE(A1:A5)	1	1	5	onaji
CEILING.PRECISE	=CEILING.PRECISE(B1:B5)	2	2	5	onaji
CEILING.PRECISE	=CEILING.PRECISE(A1:A5,B1:B5)	2	2	5	onaji
CEILING.PRECISE	=CEILING.PRECISE(A1:A5,2)	2	2	5	onaji
CEILING.PRECISE	=CEILING.PRECISE(A1:A5,A1)	1	1	5	onaji
CHAR	=CHAR(A1:A5)			5	onaji
CHAR	=CHAR(B1:B5)			5	onaji
CHIDIST	=CHIDIST(A1:A5,B1:B5)	0.60653065971263342	0.60653065971263342	5	onaji
CHIDIST	=CHIDIST(A1:A5,2)	0.60653065971263342	0.60653065971263342	5	onaji
CHIDIST	=CHIDIST(A1:A5,A1)	0.317310507862914	0.317310507862914	5	onaji
CHIINV	=CHIINV(A1:A5,B1:B5)	0	0	5	onaji
CHIINV	=CHIINV(A1:A5,2)	0	0	5	onaji
CHIINV	=CHIINV(A1:A5,A1)	0	0	5	onaji
CHISQ.DIST	=CHISQ.DIST(A1:A5,2,3)	0.39346934028736658	0.39346934028736658	5	onaji
CHISQ.DIST	=CHISQ.DIST(A1:A5,B1:B5,1)	0.39346934028736658	0.39346934028736658	5	onaji
CHISQ.DIST.RT	=CHISQ.DIST.RT(A1:A5,B1:B5)	0.60653065971263342	0.60653065971263342	5	onaji
CHISQ.DIST.RT	=CHISQ.DIST.RT(A1:A5,2)	0.60653065971263342	0.60653065971263342	5	onaji
CHISQ.DIST.RT	=CHISQ.DIST.RT(A1:A5,A1)	0.317310507862914	0.317310507862914	5	onaji
CHISQ.INV.RT	=CHISQ.INV.RT(A1:A5,B1:B5)	0	0	5	onaji
CHISQ.INV.RT	=CHISQ.INV.RT(A1:A5,2)	0	0	5	onaji
CHISQ.INV.RT	=CHISQ.INV.RT(A1:A5,A1)	0	0	5	onaji
CHISQ.TEST	=CHISQ.TEST(A1:A5,B1:B5)	0.11170929281604326	0.11170929281604326	1	onaji
CHITEST	=CHITEST(A1:A5,B1:B5)	0.11170929281604326	0.11170929281604326	1	onaji
CLEAN	=CLEAN(A1:A5)	1	1	5	onaji
CLEAN	=CLEAN(B1:B5)	2	2	5	onaji
CODE	=CODE(A1:A5)	49	49	5	onaji
CODE	=CODE(B1:B5)	50	50	5	onaji
COLUMN	=COLUMN(A1:A5)	1	1	1	onaji
COLUMN	=COLUMN(B1:B5)	2	2	1	onaji
COLUMN	=COLUMN(A1:B5)	1	1	2	onaji
COMBIN	=COMBIN(A1:A5,A1)	1	1	5	onaji
COMBINA	=COMBINA(A1:A5,B1:B5)	1	1	5	onaji
COMBINA	=COMBINA(A1:A5,2)	1	1	5	onaji
COMBINA	=COMBINA(A1:A5,A1)	1	1	5	onaji
CORREL	=CORREL(A1:A5,B1:B5)	0.99999999999999978	0.99999999999999978	1	onaji
COS	=COS(A1:A5)	0.54030230586813977	0.54030230586813977	5	onaji
COS	=COS(B1:B5)	-0.41614683654714241	-0.41614683654714241	5	onaji
COSH	=COSH(A1:A5)	1.5430806348152437	1.5430806348152437	5	onaji
COSH	=COSH(B1:B5)	3.7621956910836314	3.7621956910836314	5	onaji
COT	=COT(A1:A5)	0.64209261593433065	0.64209261593433065	5	onaji
COT	=COT(B1:B5)	-0.45765755436028577	-0.45765755436028577	5	onaji
COTH	=COTH(A1:A5)	1.3130352854993315	1.3130352854993315	5	onaji
COTH	=COTH(B1:B5)	1.0373147207275479	1.0373147207275479	5	onaji
COUNTBLANK	=COUNTBLANK(A1:A5)	0	0	1	onaji
COUNTBLANK	=COUNTBLANK(B1:B5)	0	0	1	onaji
COUNTBLANK	=COUNTBLANK(A1:B5)	0	0	1	onaji
COUNTIFS	=COUNTIFS(A1:A5,B1:B5)	1	1	5	onaji
COUNTIFS	=COUNTIFS(A1:A5,2)	1	1	1	onaji
COUNTIFS	=COUNTIFS(A1:A5,A1)	1	1	1	onaji
COUNTIFS	=COUNTIFS(A1:A5,"<3")	2	2	1	onaji
COUNTIFS	=COUNTIFS(A1:A5,1,B1:B5,1)	0	0	1	onaji
COVAR	=COVAR(A1:A5,B1:B5)	4	4	1	onaji
COVARIANCE.P	=COVARIANCE.P(A1:A5,B1:B5)	4	4	1	onaji
COVARIANCE.S	=COVARIANCE.S(A1:A5,B1:B5)	5	5	1	onaji
CSC	=CSC(A1:A5)	1.1883951057781212	1.1883951057781212	5	onaji
CSC	=CSC(B1:B5)	1.0997501702946164	1.0997501702946164	5	onaji
CSCH	=CSCH(A1:A5)	0.85091812823932156	0.85091812823932156	5	onaji
CSCH	=CSCH(B1:B5)	0.27572056477178319	0.27572056477178319	5	onaji
DAYS	=DAYS(A1:A5,B1:B5)	-1	-1	5	onaji
DAYS	=DAYS(A1:A5,2)	-1	-1	5	onaji
DAYS	=DAYS(A1:A5,A1)	0	0	5	onaji
DAYS360	=DAYS360(A1:A5,B1:B5)	1	1	5	onaji
DAYS360	=DAYS360(A1:A5,2)	1	1	5	onaji
DAYS360	=DAYS360(A1:A5,2,3)	1	1	5	onaji
DAYS360	=DAYS360(A1:A5,A1)	0	0	5	onaji
DAYS360	=DAYS360(A1:A5,B1:B5,1)	1	1	5	onaji
DB	=DB(A1:A5,1,B1:B5,1)	0	0	5	onaji
DDB	=DDB(A1:A5,1,B1:B5,1)	0	0	5	onaji
DECIMAL	=DECIMAL(A1:A5,B1:B5)	1	1	5	onaji
DECIMAL	=DECIMAL(A1:A5,2)	1	1	5	onaji
DEGREES	=DEGREES(A1:A5)	57.295779513082323	57.295779513082323	5	onaji
DEGREES	=DEGREES(B1:B5)	114.59155902616465	114.59155902616465	5	onaji
DEVSQ	=DEVSQ(A1:A5)	10	10	1	onaji
DEVSQ	=DEVSQ(B1:B5)	40	40	1	onaji
DEVSQ	=DEVSQ(A1:B5)	72.5	72.5	1	onaji
DEVSQ	=DEVSQ(A1:A5,B1:B5)	72.5	72.5	1	onaji
DEVSQ	=DEVSQ(A1:A5,2)	10.833333333333334	10.833333333333334	1	onaji
DEVSQ	=DEVSQ(A1:A5,2,3)	10.857142857142856	10.857142857142856	1	onaji
DEVSQ	=DEVSQ(A1:B5,2,FALSE)	94.916666666666671	94.916666666666671	1	onaji
DEVSQ	=DEVSQ(A1:A5,A1)	13.333333333333334	13.333333333333334	1	onaji
DEVSQ	=DEVSQ(A1:A5,1,B1:B5,1)	92.916666666666671	92.916666666666671	1	onaji
DEVSQ	=DEVSQ(A1:A5,B1:B5,1)	83.636363636363626	83.636363636363626	1	onaji
EVEN	=EVEN(A1:A5)	2	2	5	onaji
EVEN	=EVEN(B1:B5)	2	2	5	onaji
EXACT	=EXACT(A1:A5,B1:B5)	False	False	5	onaji
EXACT	=EXACT(A1:A5,2)	False	False	5	onaji
EXACT	=EXACT(A1:A5,A1)	True	True	5	onaji
EXACT	=EXACT(A1:A5,"<3")	False	False	5	onaji
EXP	=EXP(A1:A5)	2.7182818284590451	2.7182818284590451	5	onaji
EXP	=EXP(B1:B5)	7.38905609893065	7.38905609893065	5	onaji
EXPON.DIST	=EXPON.DIST(A1:A5,2,3)	0.8646647167633873	0.8646647167633873	5	onaji
EXPON.DIST	=EXPON.DIST(A1:A5,B1:B5,1)	0.8646647167633873	0.8646647167633873	5	onaji
EXPONDIST	=EXPONDIST(A1:A5,2,3)	0.8646647167633873	0.8646647167633873	5	onaji
EXPONDIST	=EXPONDIST(A1:A5,B1:B5,1)	0.8646647167633873	0.8646647167633873	5	onaji
F.DIST	=F.DIST(A1:A5,1,B1:B5,1)	0.57735026918962573	0.57735026918962573	5	onaji
F.DIST.RT	=F.DIST.RT(A1:A5,2,3)	0.46475800154489	0.46475800154489	5	onaji
F.DIST.RT	=F.DIST.RT(A1:A5,B1:B5,1)	0.57735026918962573	0.57735026918962573	5	onaji
F.INV.RT	=F.INV.RT(A1:A5,2,3)	0	0	5	onaji
F.INV.RT	=F.INV.RT(A1:A5,B1:B5,1)	0	0	5	onaji
F.TEST	=F.TEST(A1:A5,B1:B5)	0.20800000000000005	0.20800000000000005	1	onaji
FACT	=FACT(A1:A5)	1	1	5	onaji
FACT	=FACT(B1:B5)	2	2	5	onaji
FDIST	=FDIST(A1:A5,2,3)	0.46475800154489	0.46475800154489	5	onaji
FDIST	=FDIST(A1:A5,B1:B5,1)	0.57735026918962573	0.57735026918962573	5	onaji
FIND	=FIND(A1:A5,A1)	1	1	5	onaji
FINV	=FINV(A1:A5,2,3)	0	0	5	onaji
FINV	=FINV(A1:A5,B1:B5,1)	0	0	5	onaji
FISHERINV	=FISHERINV(A1:A5)	0.76159415595576485	0.76159415595576485	5	onaji
FISHERINV	=FISHERINV(B1:B5)	0.9640275800758169	0.9640275800758169	5	onaji
FLOOR	=FLOOR(A1:A5,B1:B5)	0	0	5	onaji
FLOOR	=FLOOR(A1:A5,2)	0	0	5	onaji
FLOOR	=FLOOR(A1:A5,A1)	1	1	5	onaji
FLOOR.MATH	=FLOOR.MATH(A1:A5)	1	1	5	onaji
FLOOR.MATH	=FLOOR.MATH(B1:B5)	2	2	5	onaji
FLOOR.MATH	=FLOOR.MATH(A1:A5,B1:B5)	0	0	5	onaji
FLOOR.MATH	=FLOOR.MATH(A1:A5,2)	0	0	5	onaji
FLOOR.MATH	=FLOOR.MATH(A1:A5,2,3)	0	0	5	onaji
FLOOR.MATH	=FLOOR.MATH(A1:A5,A1)	1	1	5	onaji
FLOOR.MATH	=FLOOR.MATH(A1:A5,B1:B5,1)	0	0	5	onaji
FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5)	1	1	5	onaji
FLOOR.PRECISE	=FLOOR.PRECISE(B1:B5)	2	2	5	onaji
FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5,B1:B5)	0	0	5	onaji
FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5,2)	0	0	5	onaji
FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5,A1)	1	1	5	onaji
FTEST	=FTEST(A1:A5,B1:B5)	0.20800000000000005	0.20800000000000005	1	onaji
FV	=FV(A1:A5,2,3)	-9	-9	5	onaji
FV	=FV(A1:A5,1,B1:B5,1)	-4	-4	5	onaji
FV	=FV(A1:A5,B1:B5,1)	-3	-3	5	onaji
GAMMA	=GAMMA(A1:A5)	1	1	5	onaji
GAMMA	=GAMMA(B1:B5)	1	1	5	onaji
GAMMA.DIST	=GAMMA.DIST(A1:A5,1,B1:B5,1)	0.39346934028736658	0.39346934028736658	5	onaji
GAMMADIST	=GAMMADIST(A1:A5,1,B1:B5,1)	0.39346934028736658	0.39346934028736658	5	onaji
GAMMALN	=GAMMALN(A1:A5)	0	0	5	onaji
GAMMALN	=GAMMALN(B1:B5)	0	0	5	onaji
GAMMALN.PRECISE	=GAMMALN.PRECISE(A1:A5)	0	0	5	onaji
GAMMALN.PRECISE	=GAMMALN.PRECISE(B1:B5)	0	0	5	onaji
GAUSS	=GAUSS(A1:A5)	0.34134474606854304	0.34134474606854304	5	onaji
GAUSS	=GAUSS(B1:B5)	0.47724986805182079	0.47724986805182079	5	onaji
GCD	=GCD(A1:A5)	1	1	1	onaji
GCD	=GCD(B1:B5)	2	2	1	onaji
GCD	=GCD(A1:B5)	1	1	1	onaji
GCD	=GCD(A1:A5,B1:B5)	1	1	1	onaji
GCD	=GCD(A1:A5,2)	1	1	1	onaji
GCD	=GCD(A1:A5,2,3)	1	1	1	onaji
GCD	=GCD(A1:A5,A1)	1	1	1	onaji
GCD	=GCD(A1:A5,1,B1:B5,1)	1	1	1	onaji
GCD	=GCD(A1:A5,B1:B5,1)	1	1	1	onaji
GEOMEAN	=GEOMEAN(A1:A5)	2.6051710846973521	2.6051710846973521	1	onaji
GEOMEAN	=GEOMEAN(B1:B5)	5.2103421693947043	5.2103421693947043	1	onaji
GEOMEAN	=GEOMEAN(A1:B5)	3.6842682802812221	3.6842682802812221	1	onaji
GEOMEAN	=GEOMEAN(A1:A5,B1:B5)	3.6842682802812221	3.6842682802812221	1	onaji
GEOMEAN	=GEOMEAN(A1:A5,2)	2.4928828716784346	2.4928828716784346	1	onaji
GEOMEAN	=GEOMEAN(A1:A5,2,3)	2.5597075924978667	2.5597075924978667	1	onaji
GEOMEAN	=GEOMEAN(A1:A5,A1)	2.220906154852325	2.220906154852325	1	onaji
GEOMEAN	=GEOMEAN(A1:A5,1,B1:B5,1)	2.9645540478684094	2.9645540478684094	1	onaji
GEOMEAN	=GEOMEAN(A1:A5,B1:B5,1)	3.2723878389310976	3.2723878389310976	1	onaji
HARMEAN	=HARMEAN(A1:A5)	2.18978102189781	2.18978102189781	1	onaji
HARMEAN	=HARMEAN(B1:B5)	4.37956204379562	4.37956204379562	1	onaji
HARMEAN	=HARMEAN(A1:B5)	2.9197080291970803	2.9197080291970803	1	onaji
HARMEAN	=HARMEAN(A1:A5,B1:B5)	2.9197080291970807	2.9197080291970807	1	onaji
HARMEAN	=HARMEAN(A1:A5,2)	2.1556886227544911	2.1556886227544911	1	onaji
HARMEAN	=HARMEAN(A1:A5,2,3)	2.2459893048128339	2.2459893048128339	1	onaji
HARMEAN	=HARMEAN(A1:A5,A1)	1.8274111675126905	1.8274111675126905	1	onaji
HARMEAN	=HARMEAN(A1:A5,1,B1:B5,1)	2.2119815668202767	2.2119815668202767	1	onaji
HARMEAN	=HARMEAN(A1:A5,B1:B5,1)	2.485875706214689	2.485875706214689	1	onaji
HOUR	=HOUR(A1:A5)	0	0	5	onaji
HOUR	=HOUR(B1:B5)	0	0	5	onaji
HSTACK	=HSTACK(A1:A5)	1	1	5	onaji
HSTACK	=HSTACK(B1:B5)	2	2	5	onaji
HSTACK	=HSTACK(A1:B5)	1	1	10	onaji
HSTACK	=HSTACK(A1:A5,B1:B5)	1	1	10	onaji
HSTACK	=HSTACK(A1:A5,2)	1	1	10	onaji
HSTACK	=HSTACK(A1:A5,2,3)	1	1	15	onaji
HSTACK	=HSTACK(A1:B5,2,FALSE)	1	1	15	onaji
HSTACK	=HSTACK(A1:A5,A1)	1	1	10	onaji
HSTACK	=HSTACK(A1:A5,"<3")	1	1	10	onaji
HSTACK	=HSTACK(A1:A5,"<3",B1:B5)	1	1	15	onaji
HSTACK	=HSTACK(A1:A5,1,B1:B5,1)	1	1	15	onaji
HSTACK	=HSTACK(A1:A5,B1:B5,1)	1	1	15	onaji
HYPERLINK	=HYPERLINK(A1:A5)	1	1	5	onaji
HYPERLINK	=HYPERLINK(B1:B5)	2	2	5	onaji
HYPERLINK	=HYPERLINK(A1:A5,B1:B5)	2	2	5	onaji
HYPERLINK	=HYPERLINK(A1:A5,2)	2	2	5	onaji
HYPERLINK	=HYPERLINK(A1:A5,A1)	1	1	5	onaji
HYPERLINK	=HYPERLINK(A1:A5,"<3")	<3	<3	5	onaji
IMPRODUCT	=IMPRODUCT(A1:A5)	120	120	1	onaji
IMPRODUCT	=IMPRODUCT(B1:B5)	3840	3840	1	onaji
IMPRODUCT	=IMPRODUCT(A1:B5)	460800	460800	1	onaji
IMPRODUCT	=IMPRODUCT(A1:A5,B1:B5)	460800	460800	1	onaji
IMPRODUCT	=IMPRODUCT(A1:A5,2)	240	240	1	onaji
IMPRODUCT	=IMPRODUCT(A1:A5,2,3)	720	720	1	onaji
IMPRODUCT	=IMPRODUCT(A1:A5,A1)	120	120	1	onaji
IMPRODUCT	=IMPRODUCT(A1:A5,1,B1:B5,1)	460800	460800	1	onaji
IMPRODUCT	=IMPRODUCT(A1:A5,B1:B5,1)	460800	460800	1	onaji
IMSUM	=IMSUM(A1:A5)	15	15	1	onaji
IMSUM	=IMSUM(B1:B5)	30	30	1	onaji
IMSUM	=IMSUM(A1:B5)	45	45	1	onaji
IMSUM	=IMSUM(A1:A5,B1:B5)	45	45	1	onaji
IMSUM	=IMSUM(A1:A5,2)	17	17	1	onaji
IMSUM	=IMSUM(A1:A5,2,3)	20	20	1	onaji
IMSUM	=IMSUM(A1:A5,A1)	16	16	1	onaji
IMSUM	=IMSUM(A1:A5,1,B1:B5,1)	47	47	1	onaji
IMSUM	=IMSUM(A1:A5,B1:B5,1)	46	46	1	onaji
INT	=INT(A1:A5)	1	1	5	onaji
INT	=INT(B1:B5)	2	2	5	onaji
IPMT	=IPMT(A1:A5,1,B1:B5,1)	-1	-1	5	onaji
ISBLANK	=ISBLANK(A1:A5)	False	False	5	onaji
ISBLANK	=ISBLANK(B1:B5)	False	False	5	onaji
ISBLANK	=ISBLANK(A1:B5)	False	False	10	onaji
ISERR	=ISERR(A1:A5)	False	False	5	onaji
ISERR	=ISERR(B1:B5)	False	False	5	onaji
ISERR	=ISERR(A1:B5)	True	False	10	★chigau★
ISERROR	=ISERROR(A1:A5)	False	False	5	onaji
ISERROR	=ISERROR(B1:B5)	False	False	5	onaji
ISERROR	=ISERROR(A1:B5)	True	False	10	★chigau★
ISFORMULA	=ISFORMULA(A1:A5)	False	False	5	onaji
ISFORMULA	=ISFORMULA(B1:B5)	False	False	5	onaji
ISFORMULA	=ISFORMULA(A1:B5)	False	False	10	onaji
ISLOGICAL	=ISLOGICAL(A1:A5)	False	False	5	onaji
ISLOGICAL	=ISLOGICAL(B1:B5)	False	False	5	onaji
ISLOGICAL	=ISLOGICAL(A1:B5)	False	False	10	onaji
ISNA	=ISNA(A1:A5)	False	False	5	onaji
ISNA	=ISNA(B1:B5)	False	False	5	onaji
ISNA	=ISNA(A1:B5)	False	False	10	onaji
ISNONTEXT	=ISNONTEXT(A1:A5)	True	True	5	onaji
ISNONTEXT	=ISNONTEXT(B1:B5)	True	True	5	onaji
ISNONTEXT	=ISNONTEXT(A1:B5)	True	True	10	onaji
ISNUMBER	=ISNUMBER(A1:A5)	True	True	5	onaji
ISNUMBER	=ISNUMBER(B1:B5)	True	True	5	onaji
ISNUMBER	=ISNUMBER(A1:B5)	False	True	10	★chigau★
ISO.CEILING	=ISO.CEILING(A1:A5)	1	1	5	onaji
ISO.CEILING	=ISO.CEILING(B1:B5)	2	2	5	onaji
ISO.CEILING	=ISO.CEILING(A1:A5,B1:B5)	2	2	5	onaji
ISO.CEILING	=ISO.CEILING(A1:A5,2)	2	2	5	onaji
ISO.CEILING	=ISO.CEILING(A1:A5,A1)	1	1	5	onaji
ISOMITTED	=ISOMITTED(A1:A5)	False	False	1	onaji
ISOMITTED	=ISOMITTED(B1:B5)	False	False	1	onaji
ISOMITTED	=ISOMITTED(A1:B5)	False	False	1	onaji
ISOWEEKNUM	=ISOWEEKNUM(A1:A5)	52	52	5	onaji
ISOWEEKNUM	=ISOWEEKNUM(B1:B5)	1	1	5	onaji
ISPMT	=ISPMT(A1:A5,1,B1:B5,1)	-0.5	-0.5	5	onaji
ISREF	=ISREF(A1:A5)	True	True	1	onaji
ISREF	=ISREF(B1:B5)	True	True	1	onaji
ISREF	=ISREF(A1:B5)	True	True	1	onaji
ISTEXT	=ISTEXT(A1:A5)	False	False	5	onaji
ISTEXT	=ISTEXT(B1:B5)	False	False	5	onaji
ISTEXT	=ISTEXT(A1:B5)	False	False	10	onaji
LARGE	=LARGE(A1:A5,B1:B5)	4	4	5	onaji
LARGE	=LARGE(A1:A5,2)	4	4	1	onaji
LARGE	=LARGE(A1:A5,A1)	5	5	1	onaji
LCM	=LCM(A1:A5)	60	60	1	onaji
