# ★ODDFPRICE の 切り分け ＋ 台に 無い 46個★（2026-09-16）
#
# ★見込みは 先に 書いて あります★ … docs/measured/kansuu46/oddf-kiku-koto.md
#   ⇒★後から 答えに 寄せられません★
#
# ★外へ 出る 6個は 打って いません★
#   WEBSERVICE / STOCKHISTORY / TRANSLATE / DETECTLANGUAGE / IMAGE / RTD
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 種	訳	式	答え	出る字	=(式)=0	型
ODDF	㋑決済を動かす DATE(2009,2,1) (basis=2)	=ODDFPRICE(DATE(2009,2,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.43982650679452	103.4398	False	Double
ODDF	㋑決済を動かす DATE(2009,2,1) (basis=3)	=ODDFPRICE(DATE(2009,2,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.43670511991871	103.4367	False	Double
ODDF	㋑決済を動かす DATE(2009,3,1) (basis=2)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.37323218814522	103.3732	False	Double
ODDF	㋑決済を動かす DATE(2009,3,1) (basis=3)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.37097395274969	103.371	False	Double
ODDF	㋑決済を動かす DATE(2009,4,1) (basis=2)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.30129895582327	103.3013	False	Double
ODDF	㋑決済を動かす DATE(2009,4,1) (basis=3)	=ODDFPRICE(DATE(2009,4,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.29994721204399	103.2999	False	Double
ODDF	㋑決済を動かす DATE(2009,7,1) (basis=2)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	103.04290458344613	103.0429	False	Double
ODDF	㋑決済を動かす DATE(2009,7,1) (basis=3)	=ODDFPRICE(DATE(2009,7,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	103.08059941606115	103.0806	False	Double
ODDF	㋑決済を動かす DATE(2009,10,1) (basis=2)	=ODDFPRICE(DATE(2009,10,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	102.85659625531997	102.8566	False	Double
ODDF	㋑決済を動かす DATE(2009,10,1) (basis=3)	=ODDFPRICE(DATE(2009,10,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	102.89668271622556	102.8967	False	Double
ODDF	㋒発行日=決済日(basis=0)	=ODDFPRICE(DATE(2009,1,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,0)	-2146826252	#NUM!	-2146826252	Other
ODDF	㋒発行日=決済日(basis=1)	=ODDFPRICE(DATE(2009,1,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	-2146826252	#NUM!	-2146826252	Other
ODDF	㋒発行日=決済日(basis=2)	=ODDFPRICE(DATE(2009,1,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,2)	-2146826252	#NUM!	-2146826252	Other
ODDF	㋒発行日=決済日(basis=3)	=ODDFPRICE(DATE(2009,1,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,3)	-2146826252	#NUM!	-2146826252	Other
ODDF	㋒発行日=決済日(basis=4)	=ODDFPRICE(DATE(2009,1,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,4)	-2146826252	#NUM!	-2146826252	Other
ODDF	㋓対照(紙に在る・○のはず)	=ODDFPRICE(DATE(2008,11,11),DATE(2021,3,1),DATE(2008,10,15),DATE(2009,3,1),0.0785,0.0625,100,2,2)	113.59879960832529	113.5988	False	Double
ODDF	㋓対照(紙に在る・○のはず)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.3723	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,2,27) (basis=0)	=ODDLPRICE(DATE(2009,2,27),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.776881520119233	99.77688	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,2,27) (basis=1)	=ODDLPRICE(DATE(2009,2,27),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.763279763552717	99.76328	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,2,28) (basis=0)	=ODDLPRICE(DATE(2009,2,28),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.778048780487822	99.77805	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,2,28) (basis=1)	=ODDLPRICE(DATE(2009,2,28),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.764448568398734	99.76445	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,3,1) (basis=0)	=ODDLPRICE(DATE(2009,3,1),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.7542464011214	99.75425	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,3,1) (basis=1)	=ODDLPRICE(DATE(2009,3,1),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.765634273348411	99.76563	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,3,10) (basis=0)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.765199612696492	99.7652	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,3,10) (basis=1)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.776476358001872	99.77648	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,5,30) (basis=0)	=ODDLPRICE(DATE(2009,5,30),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.87648188803513	99.87648	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,5,30) (basis=1)	=ODDLPRICE(DATE(2009,5,30),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.887959585643415	99.88796	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,5,31) (basis=0)	=ODDLPRICE(DATE(2009,5,31),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.863981888035141	99.86398	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,5,31) (basis=1)	=ODDLPRICE(DATE(2009,5,31),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.889446241689853	99.88945	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,6,1) (basis=0)	=ODDLPRICE(DATE(2009,6,1),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,0)	99.878000205846021	99.878	False	Double
ODDF	㆖ODDLPRICE 決済 DATE(2009,6,1) (basis=1)	=ODDLPRICE(DATE(2009,6,1),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.890936580581879	99.89094	False	Double
ODDF	㆗対照 ODDLPRICE(紙に在る・○のはず)	=ODDLPRICE(DATE(2008,11,11),DATE(2021,3,1),DATE(2020,10,15),0.0785,0.0625,100,2,0)	-2146826252	#NUM!	-2146826252	Other
46個	AGGREGATE	=AGGREGATE(1,0,A1:A5)	3	3	False	Double
46個	ASC	=ASC("ABC")	ABC	ABC	False	String
46個	BYCOL	=BYCOL(A1:B2,LAMBDA(c,SUM(c)))	3	3	False	Double
46個	BYROW	=BYROW(A1:B2,LAMBDA(r,SUM(r)))	3	3	False	Double
46個	CALL	=CALL("x")	(★打てません★)	★Excel が 式を 受け付けません★ HRESULT からの例外:0x800A03EC	(★打てません★)	(★打てません★)
46個	CUBEKPIMEMBER	=CUBEKPIMEMBER("x","y",1)	-2146826246	#N/A	-2146826246	Other
46個	CUBEMEMBER	=CUBEMEMBER("x","y")	-2146826246	#N/A	-2146826246	Other
46個	CUBEMEMBERPROPERTY	=CUBEMEMBERPROPERTY("x","y","z")	-2146826246	#N/A	-2146826246	Other
46個	CUBERANKEDMEMBER	=CUBERANKEDMEMBER("x","y",1)	-2146826246	#N/A	-2146826246	Other
46個	CUBESET	=CUBESET("x","y")	-2146826246	#N/A	-2146826246	Other
46個	CUBESETCOUNT	=CUBESETCOUNT(A1)	-2146826246	#N/A	-2146826246	Other
46個	CUBEVALUE	=CUBEVALUE("x","y")	-2146826246	#N/A	-2146826246	Other
46個	DBCS	=DBCS("ABC")	ＡＢＣ	ＡＢＣ	False	String
46個	DOLLAR	=DOLLAR(1234.567,2)	¥1,234.57	¥1,234.57	False	String
46個	ENCODEURL	=ENCODEURL("a b")	a%20b	a%20b	False	String
46個	FIXED	=FIXED(1234.567,2)	1,234.57	1,234.57	False	String
46個	FORECAST	=FORECAST(6,B1:B5,A1:A5)	12	12	False	Double
46個	FORECAST.LINEAR	=FORECAST.LINEAR(6,B1:B5,A1:A5)	12	12	False	Double
46個	GETPIVOTDATA	=GETPIVOTDATA("x",A1)	-2146826265	#REF!	-2146826265	Other
46個	GROUPBY	=GROUPBY(A1:A5,B1:B5,SUM)	1	1	False	Double
46個	INDIRECT	=INDIRECT("A1")	1	1	False	Double
46個	KURT	=KURT(A1:A5)	-1.1999999999999984	-1.2	False	Double
46個	LEFTB	=LEFTB("ABC",2)	AB	AB	False	String
46個	LENB	=LENB("ABC")	3	3	False	Double
46個	LOOKUP	=LOOKUP(3,A1:A5,B1:B5)	6	6	False	Double
46個	MAKEARRAY	=MAKEARRAY(2,2,LAMBDA(r,c,r*c))	1	1	False	Double
46個	MAP	=MAP(A1:A5,LAMBDA(x,x*2))	2	2	False	Double
46個	MDETERM	=MDETERM(A1:B2)	0	0	True	Double
46個	MIDB	=MIDB("ABC",2,1)	B	B	False	String
46個	NUMBERVALUE	=NUMBERVALUE("1.5")	1.5	1.5	False	Double
46個	OFFSET	=OFFSET(A1,1,0)	2	2	False	Double
46個	PERCENTRANK	=PERCENTRANK(A1:A5,3)	0.5	0.5	False	Double
46個	PERMUT	=PERMUT(5,2)	20	20	False	Double
46個	PERMUTATIONA	=PERMUTATIONA(5,2)	25	25	False	Double
46個	PHONETIC	=PHONETIC(A1)			False	String
46個	PIVOTBY	=PIVOTBY(A1:A5,B1:B5,B1:B5,SUM)			False	String
46個	REDUCE	=REDUCE(0,A1:A5,LAMBDA(a,b,a+b))	15	15	False	Double
46個	REGISTER.ID	=REGISTER.ID("x","y")	(★打てません★)	★Excel が 式を 受け付けません★ HRESULT からの例外:0x800A03EC	(★打てません★)	(★打てません★)
46個	RIGHTB	=RIGHTB("ABC",2)	BC	BC	False	String
46個	SCAN	=SCAN(0,A1:A5,LAMBDA(a,b,a+b))	1	1	False	Double
46個	TEXTAFTER	=TEXTAFTER("a-b","-")	b	b	False	String
46個	TEXTBEFORE	=TEXTBEFORE("a-b","-")	a	a	False	String
46個	TRIMMEAN	=TRIMMEAN(A1:A5,0.2)	3	3	False	Double
46個	TRIMRANGE	=TRIMRANGE(A1:A5)	-2146826273	#VALUE!	-2146826273	Other
46個	VALUETOTEXT	=VALUETOTEXT(A1)	1	1	False	String
46個	XMATCH	=XMATCH(3,A1:A5)	3	3	False	Double
