# ★台が 持つ 名前の 全部★（2026-09-20）
# ★何を★ ... lib/shiki-kansuu.js の `NAME: function` ＋ lib/shiki-tsunagi.js の `'NAME': function`
# ★どこを★ ... この 2本だけ（★皮 lib/formula-extra-plug.js は 数えて いません★）
# ★全部で 376個★
# 欄 ... 名前 / 名簿(XLFN)に在るか / 紙で聞いたか / LAMBDAの一族か
#
名前	名簿	聞いた	LAMBDA族
INDIRECT	無い	聞いた	
INT	無い	まだ	
INTERCEPT	無い	まだ	
IPMT	無い	まだ	
IRR	無い	まだ	
ISBLANK	無い	まだ	
ISERR	無い	まだ	
ISERROR	無い	まだ	
ISEVEN	無い	まだ	
ISFORMULA	無い	まだ	
ISLOGICAL	無い	まだ	
ISNA	無い	まだ	
ISNONTEXT	無い	まだ	
ISNUMBER	無い	まだ	
ISODD	無い	まだ	
ISOMITTED	在る	まだ	
ISOWEEKNUM	在る	まだ	
ISPMT	無い	まだ	
ISREF	無い	まだ	
ISTEXT	無い	まだ	
KURT	無い	聞いた	
LARGE	無い	まだ	
LCM	無い	まだ	
LEFT	無い	まだ	
LEFTB	無い	聞いた	
LEN	無い	まだ	
LENB	無い	聞いた	
LN	無い	まだ	
LOG	無い	まだ	
LOG10	無い	まだ	
LOGINV	無い	まだ	
LOGNORMDIST	無い	まだ	
LOOKUP	無い	聞いた	
LOWER	無い	まだ	
MAKEARRAY	無い	聞いた	そう
MAP	無い	聞いた	そう
MATCH	無い	まだ	
MAX	無い	まだ	
MAXA	無い	まだ	
MAXIFS	在る	まだ	
MDETERM	無い	聞いた	
MEDIAN	無い	まだ	
MID	無い	まだ	
MIDB	無い	聞いた	
MIN	無い	まだ	
MINA	無い	まだ	
MINIFS	在る	まだ	
MINUTE	無い	まだ	
MIRR	無い	まだ	
MMULT	無い	まだ	
MOD	無い	まだ	
MODE	無い	まだ	
MODE.MULT	在る	聞いた	
MONTH	無い	まだ	
MROUND	無い	まだ	
MULTINOMIAL	無い	まだ	
NA	無い	まだ	
NEGBINOMDIST	無い	まだ	
NETWORKDAYS	無い	まだ	
NOMINAL	無い	まだ	
NORMDIST	無い	まだ	
NORMINV	無い	まだ	
NORMSDIST	無い	まだ	
NORMSINV	無い	まだ	
NOT	無い	まだ	
NOW	無い	まだ	
NPER	無い	まだ	
NPV	無い	まだ	
NUMBERVALUE	在る	聞いた	
OCT2BIN	無い	まだ	
OCT2DEC	無い	まだ	
OCT2HEX	無い	まだ	
ODD	無い	まだ	
OFFSET	無い	聞いた	
OR	無い	まだ	
PDURATION	在る	まだ	
PEARSON	無い	まだ	
PERCENTILE	無い	まだ	
PERCENTRANK	無い	聞いた	
PERMUT	無い	聞いた	
PERMUTATIONA	在る	聞いた	
PHI	在る	まだ	
PHONETIC	無い	聞いた	
PI	無い	まだ	
PMT	無い	まだ	
POISSON	無い	まだ	
POWER	無い	まだ	
PPMT	無い	まだ	
PRODUCT	無い	まだ	
PROPER	無い	まだ	
PV	無い	まだ	
QUARTILE	無い	まだ	
QUOTIENT	無い	まだ	
RADIANS	無い	まだ	
RAND	無い	まだ	
RANDBETWEEN	無い	まだ	
RANK	無い	まだ	
RATE	無い	まだ	
REDUCE	無い	聞いた	そう
REPLACE	無い	まだ	
REPT	無い	まだ	
RIGHT	無い	まだ	
RIGHTB	無い	聞いた	
ROMAN	無い	まだ	
ROUND	無い	まだ	
ROUNDDOWN	無い	まだ	
ROUNDUP	無い	まだ	
ROW	無い	まだ	
ROWS	無い	まだ	
RRI	在る	まだ	
RSQ	無い	まだ	
SCAN	無い	聞いた	そう
SEARCH	無い	まだ	
SEC	在る	まだ	
SECH	在る	まだ	
SECOND	無い	まだ	
SEQUENCE	在る	聞いた	
SERIESSUM	無い	まだ	
SHEET	在る	聞いた	
SHEETS	在る	まだ	
SIGN	無い	まだ	
SIN	無い	まだ	
SINH	無い	まだ	
SKEW	無い	まだ	
SLN	無い	まだ	
SLOPE	無い	まだ	
SMALL	無い	まだ	
SORT	在る	聞いた	
SQRT	無い	まだ	
SQRTPI	無い	まだ	
STANDARDIZE	無い	まだ	
STDEV	無い	まだ	
STDEVA	無い	まだ	
STDEVP	無い	まだ	
STDEVPA	無い	まだ	
STEYX	無い	まだ	
SUBSTITUTE	無い	まだ	
SUBTOTAL	無い	まだ	
SUM	無い	聞いた	
SUMIF	無い	まだ	
SUMIFS	無い	まだ	
SUMPRODUCT	無い	聞いた	
SUMSQ	無い	まだ	
SUMX2MY2	無い	まだ	
SUMX2PY2	無い	まだ	
SUMXMY2	無い	まだ	
SWITCH	在る	まだ	
SYD	無い	まだ	
TAKE	在る	聞いた	
TAN	無い	まだ	
TANH	無い	まだ	
TBILLEQ	無い	まだ	
TBILLPRICE	無い	まだ	
TBILLYIELD	無い	まだ	
TDIST	無い	まだ	
TEXT	無い	まだ	
TEXTAFTER	在る	聞いた	
TEXTBEFORE	在る	聞いた	
TEXTJOIN	在る	まだ	
TIME	無い	まだ	
TIMEVALUE	無い	まだ	
TINV	無い	まだ	
TOCOL	在る	聞いた	
TODAY	無い	まだ	
TOROW	在る	聞いた	
TRANSPOSE	無い	聞いた	
TRIM	無い	まだ	
TRIMMEAN	無い	聞いた	
TRUE	無い	まだ	
TRUNC	無い	まだ	
TTEST	無い	まだ	
TYPE	無い	まだ	
UNICHAR	在る	まだ	
UNICODE	在る	まだ	
UNIQUE	在る	聞いた	
UPPER	無い	まだ	
VALUE	無い	まだ	
VALUETOTEXT	在る	聞いた	
VAR	無い	まだ	
VARA	無い	まだ	
VARP	無い	まだ	
VARPA	無い	まだ	
VLOOKUP	無い	まだ	
VSTACK	在る	まだ	
WEEKDAY	無い	まだ	
WEEKNUM	無い	まだ	
WEIBULL	無い	まだ	
WORKDAY	無い	まだ	
WRAPCOLS	在る	聞いた	
WRAPROWS	在る	聞いた	
XIRR	無い	まだ	
XLOOKUP	在る	聞いた	
XMATCH	在る	聞いた	
XNPV	無い	まだ	
XOR	在る	聞いた	
YEAR	無い	まだ	
YEARFRAC	無い	まだ	
ZTEST	無い	まだ	
