# ★実Excel に「つなぎ」を 打って 読んだ 紙★（2026-09-11）
# ★D1 は 空マス★／★列の 幅を 60に 広げて 字が 切れないように して 在る★
# ★型★と★本当にゼロか★も 取って います（「0」を 1つの 窓だけで 取らない）
# 打った字	出た字	中の値	型	本当にゼロか
=10^-13&""	0.0000000000001	0.0000000000001	String	—
=10^-14&""	0.00000000000001	0.00000000000001	String	—
=10^-15&""	0.000000000000001	0.000000000000001	String	—
=10^-16&""	0.0000000000000001	0.0000000000000001	String	—
=10^-17&""	0.00000000000000001	0.00000000000000001	String	—
=10^-18&""	0.000000000000000001	0.000000000000000001	String	—
=10^-19&""	1E-19	1E-19	String	—
=1E-20&""	1E-20	1E-20	String	—
=1.5*10^-9&""	0.0000000015	0.0000000015	String	—
=1.23456789012345E+21&""	1.23456789012345E+21	1.23456789012345E+21	String	—
=1.5E+20&""	1.5E+20	1.5E+20	String	—
=1.23456789E-20&""	1.23456789E-20	1.23456789E-20	String	—
=-1.5E+20&""	-1.5E+20	-1.5E+20	String	—
=1E+300&""	1E+300	1E+300	String	—
=1.5E-25&""	1.5E-25	1.5E-25	String	—
=(2/3*3-2)*1E16&""	0	0	String	FALSE
=2/3*3&""	2	2	String	—
=(2/3*3)-2&""	0	0	String	FALSE
=(1/3*3-1)*1E16&""	0	0	String	FALSE
=2/3*3=2	TRUE	True	Boolean	—
=2/3*3-2=0	TRUE	True	Boolean	—
=(2/3*3)*1E16&""	20000000000000000	20000000000000000	String	—
=2/3*3*1E16-2E16&""	0	0	String	FALSE
="1,0000"+0	10000	10000	Number	—
="1,000,000"+0	1000000	1000000	Number	—
="1,00000"+0	100000	100000	Number	—
="1234,567"+0	1234567	1234567	Number	—
="1,000,0000"+0	10000000	10000000	Number	—
="1,00,0"+0	#VALUE!	-2146826273	Number	—
=",100"+0	#VALUE!	-2146826273	Number	—
="1,"+0	#VALUE!	-2146826273	Number	—
="12,34"+0	#VALUE!	-2146826273	Number	—
=D1=0	TRUE	True	Boolean	—
=""=0	FALSE	False	Boolean	—
=D1+1	1	1	Number	—
=""+1	#VALUE!	-2146826273	Number	—
=D1=""	TRUE	True	Boolean	—
=D1&"x"	x	x	String	—
