# ★指数の 見た目を うちの 本番の 道で 押して 突き合わせた★（2026-09-10）
#
# ★正★ golden-shisuu-mitame-2026-09-10.tsv（実Excel の 実測）
# ★押す 道★ `book.html` の `forDisplay` を ★切り出して★ 押す（★写しを 置かない★）
# ★★この 台の 数は 画面の 数では ありません★★＝★絵は ブラウザで 押す★
# ★材料は 紙から 読んだ★（41本）★手で 写して いません★
#
# ★★うちは 列の 幅を 見て いません★★＝どの 幅でも 同じ 字を 出す
#   ⇒ 実Excel は ★幅で 出方が 変わる★ので ★幅ごとに 並べる★
#
# 札	打った 字	幅	実Excel	うち	判じ
★小さい 側 境目★	0.0000001	30	0.0000001	0.0000001	合った
★小さい 側 境目★	0.0000001	50	0.0000001	0.0000001	合った
★小さい 側 境目★	0.00000001	5	1E-08	0.00000001	★違う★
★小さい 側 境目★	0.00000001	6	1E-08	0.00000001	★違う★
★小さい 側 境目★	0.00000001	7	1E-08	0.00000001	★違う★
★小さい 側 境目★	0.00000001	8	1E-08	0.00000001	★違う★
★小さい 側 境目★	0.00000001	8.43	1E-08	0.00000001	★違う★
★小さい 側 境目★	0.00000001	9	1E-08	0.00000001	★違う★
★小さい 側 境目★	0.00000001	10	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	11	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	12	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	13	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	15	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	20	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	30	0.00000001	0.00000001	合った
★小さい 側 境目★	0.00000001	50	0.00000001	0.00000001	合った
小さい 側	0.000000001	5	1E-09	0.000000001	★違う★
小さい 側	0.000000001	6	1E-09	0.000000001	★違う★
小さい 側	0.000000001	7	1E-09	0.000000001	★違う★
小さい 側	0.000000001	8	1E-09	0.000000001	★違う★
小さい 側	0.000000001	8.43	1E-09	0.000000001	★違う★
小さい 側	0.000000001	9	1E-09	0.000000001	★違う★
小さい 側	0.000000001	10	1E-09	0.000000001	★違う★
小さい 側	0.000000001	11	0.000000001	0.000000001	合った
小さい 側	0.000000001	12	0.000000001	0.000000001	合った
小さい 側	0.000000001	13	0.000000001	0.000000001	合った
小さい 側	0.000000001	15	0.000000001	0.000000001	合った
小さい 側	0.000000001	20	0.000000001	0.000000001	合った
小さい 側	0.000000001	30	0.000000001	0.000000001	合った
小さい 側	0.000000001	50	0.000000001	0.000000001	合った
小さい 側	0.0000000001	5	1E-10	1E-10	合った
小さい 側	0.0000000001	6	1E-10	1E-10	合った
小さい 側	0.0000000001	7	1E-10	1E-10	合った
小さい 側	0.0000000001	8	1E-10	1E-10	合った
小さい 側	0.0000000001	8.43	1E-10	1E-10	合った
小さい 側	0.0000000001	9	1E-10	1E-10	合った
小さい 側	0.0000000001	10	1E-10	1E-10	合った
小さい 側	0.0000000001	11	1E-10	1E-10	合った
小さい 側	0.0000000001	12	1E-10	1E-10	合った
小さい 側	0.0000000001	13	1E-10	1E-10	合った
小さい 側	0.0000000001	15	1E-10	1E-10	合った
小さい 側	0.0000000001	20	1E-10	1E-10	合った
小さい 側	0.0000000001	30	1E-10	1E-10	合った
小さい 側	0.0000000001	50	1E-10	1E-10	合った
★とても 小さい★	0.0000000000000164	5	2E-14	1.64E-14	★違う★
★とても 小さい★	0.0000000000000164	6	2E-14	1.64E-14	★違う★
★とても 小さい★	0.0000000000000164	7	1.6E-14	1.64E-14	★違う★
★とても 小さい★	0.0000000000000164	8	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	8.43	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	9	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	10	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	11	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	12	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	13	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	15	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	20	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	30	1.64E-14	1.64E-14	合った
★とても 小さい★	0.0000000000000164	50	1.64E-14	1.64E-14	合った
大きい 側	100000	5	####	100000	★違う★
大きい 側	100000	6	100000	100000	合った
大きい 側	100000	7	100000	100000	合った
大きい 側	100000	8	100000	100000	合った
大きい 側	100000	8.43	100000	100000	合った
大きい 側	100000	9	100000	100000	合った
大きい 側	100000	10	100000	100000	合った
大きい 側	100000	11	100000	100000	合った
大きい 側	100000	12	100000	100000	合った
大きい 側	100000	13	100000	100000	合った
大きい 側	100000	15	100000	100000	合った
大きい 側	100000	20	100000	100000	合った
大きい 側	100000	30	100000	100000	合った
大きい 側	100000	50	100000	100000	合った
大きい 側	100000000	5	####	100000000	★違う★
大きい 側	100000000	6	1E+08	100000000	★違う★
大きい 側	100000000	7	1E+08	100000000	★違う★
大きい 側	100000000	8	1E+08	100000000	★違う★
大きい 側	100000000	8.43	1E+08	100000000	★違う★
大きい 側	100000000	9	100000000	100000000	合った
大きい 側	100000000	10	100000000	100000000	合った
大きい 側	100000000	11	100000000	100000000	合った
大きい 側	100000000	12	100000000	100000000	合った
大きい 側	100000000	13	100000000	100000000	合った
大きい 側	100000000	15	100000000	100000000	合った
大きい 側	100000000	20	100000000	100000000	合った
大きい 側	100000000	30	100000000	100000000	合った
大きい 側	100000000	50	100000000	100000000	合った
大きい 側	1000000000	5	####	1000000000	★違う★
大きい 側	1000000000	6	1E+09	1000000000	★違う★
大きい 側	1000000000	7	1E+09	1000000000	★違う★
大きい 側	1000000000	8	1E+09	1000000000	★違う★
大きい 側	1000000000	8.43	1E+09	1000000000	★違う★
大きい 側	1000000000	9	1E+09	1000000000	★違う★
大きい 側	1000000000	10	1000000000	1000000000	合った
大きい 側	1000000000	11	1000000000	1000000000	合った
大きい 側	1000000000	12	1000000000	1000000000	合った
大きい 側	1000000000	13	1000000000	1000000000	合った
大きい 側	1000000000	15	1000000000	1000000000	合った
大きい 側	1000000000	20	1000000000	1000000000	合った
大きい 側	1000000000	30	1000000000	1000000000	合った
大きい 側	1000000000	50	1000000000	1000000000	合った
★大きい 側 境目★	10000000000	5	####	10000000000	★違う★
★大きい 側 境目★	10000000000	6	1E+10	10000000000	★違う★
★大きい 側 境目★	10000000000	7	1E+10	10000000000	★違う★
★大きい 側 境目★	10000000000	8	1E+10	10000000000	★違う★
★大きい 側 境目★	10000000000	8.43	1E+10	10000000000	★違う★
★大きい 側 境目★	10000000000	9	1E+10	10000000000	★違う★
★大きい 側 境目★	10000000000	10	1E+10	10000000000	★違う★
★大きい 側 境目★	10000000000	11	10000000000	10000000000	合った
★大きい 側 境目★	10000000000	12	10000000000	10000000000	合った
★大きい 側 境目★	10000000000	13	10000000000	10000000000	合った
★大きい 側 境目★	10000000000	15	10000000000	10000000000	合った
★大きい 側 境目★	10000000000	20	10000000000	10000000000	合った
★大きい 側 境目★	10000000000	30	10000000000	10000000000	合った
★大きい 側 境目★	10000000000	50	10000000000	10000000000	合った
★大きい 側 境目★	100000000000	5	####	1E+11	★違う★
★大きい 側 境目★	100000000000	6	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	7	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	8	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	8.43	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	9	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	10	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	11	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	12	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	13	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	15	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	20	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	30	1E+11	1E+11	合った
★大きい 側 境目★	100000000000	50	1E+11	1E+11	合った
★大きい 側 境目★	1000000000000	5	####	1E+12	★違う★
★大きい 側 境目★	1000000000000	6	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	7	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	8	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	8.43	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	9	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	10	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	11	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	12	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	13	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	15	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	20	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	30	1E+12	1E+12	合った
★大きい 側 境目★	1000000000000	50	1E+12	1E+12	合った
大きい 側	1000000000000000	5	####	1E+15	★違う★
大きい 側	1000000000000000	6	1E+15	1E+15	合った
大きい 側	1000000000000000	7	1E+15	1E+15	合った
大きい 側	1000000000000000	8	1E+15	1E+15	合った
大きい 側	1000000000000000	8.43	1E+15	1E+15	合った
大きい 側	1000000000000000	9	1E+15	1E+15	合った
大きい 側	1000000000000000	10	1E+15	1E+15	合った
大きい 側	1000000000000000	11	1E+15	1E+15	合った
大きい 側	1000000000000000	12	1E+15	1E+15	合った
大きい 側	1000000000000000	13	1E+15	1E+15	合った
大きい 側	1000000000000000	15	1E+15	1E+15	合った
大きい 側	1000000000000000	20	1E+15	1E+15	合った
大きい 側	1000000000000000	30	1E+15	1E+15	合った
大きい 側	1000000000000000	50	1E+15	1E+15	合った
★大きい 側 境目★	10000000000000000	5	####	1E+16	★違う★
★大きい 側 境目★	10000000000000000	6	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	7	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	8	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	8.43	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	9	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	10	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	11	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	12	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	13	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	15	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	20	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	30	1E+16	1E+16	合った
★大きい 側 境目★	10000000000000000	50	1E+16	1E+16	合った
★大きい 側 境目★	100000000000000000	5	####	1E+17	★違う★
★大きい 側 境目★	100000000000000000	6	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	7	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	8	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	8.43	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	9	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	10	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	11	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	12	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	13	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	15	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	20	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	30	1E+17	1E+17	合った
★大きい 側 境目★	100000000000000000	50	1E+17	1E+17	合った
大きい 側	100000000000000000000	5	####	1E+20	★違う★
大きい 側	100000000000000000000	6	1E+20	1E+20	合った
大きい 側	100000000000000000000	7	1E+20	1E+20	合った
大きい 側	100000000000000000000	8	1E+20	1E+20	合った
大きい 側	100000000000000000000	8.43	1E+20	1E+20	合った
大きい 側	100000000000000000000	9	1E+20	1E+20	合った
大きい 側	100000000000000000000	10	1E+20	1E+20	合った
大きい 側	100000000000000000000	11	1E+20	1E+20	合った
大きい 側	100000000000000000000	12	1E+20	1E+20	合った
大きい 側	100000000000000000000	13	1E+20	1E+20	合った
大きい 側	100000000000000000000	15	1E+20	1E+20	合った
大きい 側	100000000000000000000	20	1E+20	1E+20	合った
大きい 側	100000000000000000000	30	1E+20	1E+20	合った
大きい 側	100000000000000000000	50	1E+20	1E+20	合った
★仮数 桁★	123456789012345678901	5	####	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	6	1E+20	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	7	1.2E+20	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	8	1.23E+20	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	8.43	1.23E+20	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	9	1.235E+20	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	10	1.2346E+20	1.23457E+20	★違う★
★仮数 桁★	123456789012345678901	11	1.23457E+20	1.23457E+20	合った
★仮数 桁★	123456789012345678901	12	1.23457E+20	1.23457E+20	合った
★仮数 桁★	123456789012345678901	13	1.23457E+20	1.23457E+20	合った
★仮数 桁★	123456789012345678901	15	1.23457E+20	1.23457E+20	合った
★仮数 桁★	123456789012345678901	20	1.23457E+20	1.23457E+20	合った
★仮数 桁★	123456789012345678901	30	1.23457E+20	1.23457E+20	合った
★仮数 桁★	123456789012345678901	50	1.23457E+20	1.23457E+20	合った
★仮数 桁★	0.000000333333333333333	5	3E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	6	3E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	7	3.3E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	8	3.33E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	8.43	3.33E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	9	3.333E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	10	3.3333E-07	3.33333E-07	★違う★
★仮数 桁★	0.000000333333333333333	11	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.000000333333333333333	12	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.000000333333333333333	13	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.000000333333333333333	15	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.000000333333333333333	20	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.000000333333333333333	30	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.000000333333333333333	50	3.33333E-07	3.33333E-07	合った
★仮数 桁★	0.00012345678901234	5	1E-04	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	6	0.0001	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	7	0.00012	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	8	0.000123	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	8.43	0.000123	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	9	0.0001235	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	10	0.00012346	0.000123457	★違う★
★仮数 桁★	0.00012345678901234	11	0.000123457	0.000123457	合った
★仮数 桁★	0.00012345678901234	12	0.000123457	0.000123457	合った
★仮数 桁★	0.00012345678901234	13	0.000123457	0.000123457	合った
★仮数 桁★	0.00012345678901234	15	0.000123457	0.000123457	合った
★仮数 桁★	0.00012345678901234	20	0.000123457	0.000123457	合った
★仮数 桁★	0.00012345678901234	30	0.000123457	0.000123457	合った
★仮数 桁★	0.00012345678901234	50	0.000123457	0.000123457	合った
★短い 物★	150000000000000000000	5	####	1.5E+20	★違う★
★短い 物★	150000000000000000000	6	2E+20	1.5E+20	★違う★
★短い 物★	150000000000000000000	7	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	8	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	8.43	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	9	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	10	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	11	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	12	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	13	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	15	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	20	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	30	1.5E+20	1.5E+20	合った
★短い 物★	150000000000000000000	50	1.5E+20	1.5E+20	合った
★短い 物★	0.0000000000000001	5	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	6	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	7	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	8	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	8.43	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	9	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	10	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	11	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	12	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	13	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	15	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	20	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	30	1E-16	1E-16	合った
★短い 物★	0.0000000000000001	50	1E-16	1E-16	合った
★負★	-0.0000000000000164	5	-0	-1.64E-14	★違う★
★負★	-0.0000000000000164	6	-2E-14	-1.64E-14	★違う★
★負★	-0.0000000000000164	7	-2E-14	-1.64E-14	★違う★
★負★	-0.0000000000000164	8	-1.6E-14	-1.64E-14	★違う★
★負★	-0.0000000000000164	8.43	-1.6E-14	-1.64E-14	★違う★
★負★	-0.0000000000000164	9	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	10	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	11	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	12	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	13	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	15	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	20	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	30	-1.64E-14	-1.64E-14	合った
★負★	-0.0000000000000164	50	-1.64E-14	-1.64E-14	合った
★負★	-100000000000000000000	5	####	-1E+20	★違う★
★負★	-100000000000000000000	6	#####	-1E+20	★違う★
★負★	-100000000000000000000	7	-1E+20	-1E+20	合った
★負★	-100000000000000000000	8	-1E+20	-1E+20	合った
★負★	-100000000000000000000	8.43	-1E+20	-1E+20	合った
★負★	-100000000000000000000	9	-1E+20	-1E+20	合った
★負★	-100000000000000000000	10	-1E+20	-1E+20	合った
★負★	-100000000000000000000	11	-1E+20	-1E+20	合った
★負★	-100000000000000000000	12	-1E+20	-1E+20	合った
★負★	-100000000000000000000	13	-1E+20	-1E+20	合った
★負★	-100000000000000000000	15	-1E+20	-1E+20	合った
★負★	-100000000000000000000	20	-1E+20	-1E+20	合った
★負★	-100000000000000000000	30	-1E+20	-1E+20	合った
★負★	-100000000000000000000	50	-1E+20	-1E+20	合った
★繰り上がり★	0.000000999999999	5	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	6	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	7	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	8	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	8.43	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	9	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	10	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	11	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	12	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	13	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	15	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	20	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	30	1E-06	1E-06	合った
★繰り上がり★	0.000000999999999	50	1E-06	1E-06	合った
★繰り上がり★	999999999999999999999	5	####	1E+21	★違う★
★繰り上がり★	999999999999999999999	6	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	7	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	8	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	8.43	1E+21	1E+21	合った
★繰り上がり★	999999999999999999999	9	1E+21	1E+21	合った
