# ★古い 紙（2026-09-08）を 今の 道（Formula2）で 打ち直した★（67）（2026-09-21）
# ★元の 紙★ ... docs/measured/kansuu46 の tsv を ★全部★（自分で 作った 紙は 除く）
# ★★元の 紙は `.Formula`（むかしの みち＝溢れない）で 取られて います★★（kansuu46 の 道具 21本とも）
# ★★盤面★★ ... ★紙ごとに その 紙の `#材料` を 使います★（1つの 盤面では 打ちません）
#   ＝`golden-tana-12-13` は C1:C4=10,8,6,4 を 使う＝★1つの 盤面だと 偽の 違いが 出ます★
# ★置き場★ H列・行1 から 10行 おき
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
#材料	A1	1
#材料	A2	2
#材料	A3	3
#材料	A4	4
#材料	A5	5
#材料	B1	2
#材料	B2	4
#材料	B3	6
#材料	B4	8
#材料	B5	10
#材料	D1	
#材料	D2	
# 紙	名前	式	昔の 答え	今の 道（Formula2・まだ 信じられない）	埋まった数	判じ
golden-346-2026-09-08.tsv	ASINH	=ASINH(A1:A5)	0.88137358701954294	0.88137358701954294	5	onaji
golden-346-2026-09-08.tsv	ASINH	=ASINH(B1:B5)	1.4436354751788103	1.4436354751788103	5	onaji
golden-346-2026-09-08.tsv	ATAN	=ATAN(A1:A5)	0.78539816339744828	0.78539816339744828	5	onaji
golden-346-2026-09-08.tsv	ATAN	=ATAN(B1:B5)	1.1071487177940904	1.1071487177940904	5	onaji
golden-346-2026-09-08.tsv	ATAN2	=ATAN2(A1:A5,B1:B5)	1.1071487177940904	1.1071487177940904	5	onaji
golden-346-2026-09-08.tsv	ATAN2	=ATAN2(A1:A5,2)	1.1071487177940904	1.1071487177940904	5	onaji
golden-346-2026-09-08.tsv	ATAN2	=ATAN2(A1:A5,A1)	0.78539816339744828	0.78539816339744828	5	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5)	1.2	1.2	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(B1:B5)	2.4	2.4	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:B5)	2.2	2.2	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5,B1:B5)	2.2	2.2	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5,2)	1.1666666666666667	1.1666666666666667	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5,2,3)	1.0204081632653061	1.0204081632653061	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:B5,2,FALSE)	2.2500000000000004	2.2500000000000004	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5,A1)	1.3333333333333333	1.3333333333333333	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5,1,B1:B5,1)	2.2500000000000004	2.2500000000000004	1	onaji
golden-346-2026-09-08.tsv	AVEDEV	=AVEDEV(A1:A5,B1:B5,1)	2.2314049586776861	2.2314049586776861	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5)	3	3	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(B1:B5)	6	6	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:B5)	4.5	4.5	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5,B1:B5)	4.5	4.5	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5,2)	2.8333333333333335	2.8333333333333335	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5,2,3)	2.8571428571428572	2.8571428571428572	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:B5,2,FALSE)	3.9166666666666665	3.9166666666666665	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5,A1)	2.6666666666666665	2.6666666666666665	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5,1,B1:B5,1)	3.9166666666666665	3.9166666666666665	1	onaji
golden-346-2026-09-08.tsv	AVERAGE	=AVERAGE(A1:A5,B1:B5,1)	4.1818181818181817	4.1818181818181817	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5)	3	3	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(B1:B5)	6	6	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:B5)	4.5	4.5	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5,B1:B5)	4.5	4.5	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5,2)	2.8333333333333335	2.8333333333333335	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5,2,3)	2.8571428571428572	2.8571428571428572	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:B5,2,FALSE)	3.9166666666666665	3.9166666666666665	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5,A1)	2.6666666666666665	2.6666666666666665	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5,1,B1:B5,1)	3.9166666666666665	3.9166666666666665	1	onaji
golden-346-2026-09-08.tsv	AVERAGEA	=AVERAGEA(A1:A5,B1:B5,1)	4.1818181818181817	4.1818181818181817	1	onaji
golden-346-2026-09-08.tsv	AVERAGEIF	=AVERAGEIF(A1:A5,B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	AVERAGEIF	=AVERAGEIF(A1:A5,2)	2	2	1	onaji
golden-346-2026-09-08.tsv	AVERAGEIF	=AVERAGEIF(A1:A5,A1)	1	1	1	onaji
golden-346-2026-09-08.tsv	AVERAGEIF	=AVERAGEIF(A1:A5,"<3")	1.5	1.5	1	onaji
golden-346-2026-09-08.tsv	AVERAGEIF	=AVERAGEIF(A1:A5,"<3",B1:B5)	3	3	1	onaji
golden-346-2026-09-08.tsv	BASE	=BASE(A1:A5,B1:B5)	1	1	5	onaji
golden-346-2026-09-08.tsv	BASE	=BASE(A1:A5,2)	1	1	5	onaji
golden-346-2026-09-08.tsv	BASE	=BASE(A1:A5,2,3)	001	001	5	onaji
golden-346-2026-09-08.tsv	BASE	=BASE(A1:A5,B1:B5,1)	1	1	5	onaji
golden-346-2026-09-08.tsv	BETA.DIST	=BETA.DIST(A1:A5,1,B1:B5,1)	1	1	5	onaji
golden-346-2026-09-08.tsv	BETADIST	=BETADIST(A1:A5,2,3)	1	1	5	onaji
golden-346-2026-09-08.tsv	BETADIST	=BETADIST(A1:A5,B1:B5,1)	1	1	5	onaji
golden-346-2026-09-08.tsv	BITAND	=BITAND(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	BITAND	=BITAND(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	BITAND	=BITAND(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	BITLSHIFT	=BITLSHIFT(A1:A5,B1:B5)	4	4	5	onaji
golden-346-2026-09-08.tsv	BITLSHIFT	=BITLSHIFT(A1:A5,2)	4	4	5	onaji
golden-346-2026-09-08.tsv	BITLSHIFT	=BITLSHIFT(A1:A5,A1)	2	2	5	onaji
golden-346-2026-09-08.tsv	BITOR	=BITOR(A1:A5,B1:B5)	3	3	5	onaji
golden-346-2026-09-08.tsv	BITOR	=BITOR(A1:A5,2)	3	3	5	onaji
golden-346-2026-09-08.tsv	BITOR	=BITOR(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	BITRSHIFT	=BITRSHIFT(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	BITRSHIFT	=BITRSHIFT(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	BITRSHIFT	=BITRSHIFT(A1:A5,A1)	0	0	5	onaji
golden-346-2026-09-08.tsv	BITXOR	=BITXOR(A1:A5,B1:B5)	3	3	5	onaji
golden-346-2026-09-08.tsv	BITXOR	=BITXOR(A1:A5,2)	3	3	5	onaji
golden-346-2026-09-08.tsv	BITXOR	=BITXOR(A1:A5,A1)	0	0	5	onaji
golden-346-2026-09-08.tsv	CEILING	=CEILING(A1:A5,B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING	=CEILING(A1:A5,2)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING	=CEILING(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(A1:A5,B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(A1:A5,2)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(A1:A5,2,3)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	CEILING.MATH	=CEILING.MATH(A1:A5,B1:B5,1)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.PRECISE	=CEILING.PRECISE(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	CEILING.PRECISE	=CEILING.PRECISE(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.PRECISE	=CEILING.PRECISE(A1:A5,B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.PRECISE	=CEILING.PRECISE(A1:A5,2)	2	2	5	onaji
golden-346-2026-09-08.tsv	CEILING.PRECISE	=CEILING.PRECISE(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	CHAR	=CHAR(A1:A5)			5	onaji
golden-346-2026-09-08.tsv	CHAR	=CHAR(B1:B5)			5	onaji
golden-346-2026-09-08.tsv	CHIDIST	=CHIDIST(A1:A5,B1:B5)	0.60653065971263342	0.60653065971263342	5	onaji
golden-346-2026-09-08.tsv	CHIDIST	=CHIDIST(A1:A5,2)	0.60653065971263342	0.60653065971263342	5	onaji
golden-346-2026-09-08.tsv	CHIDIST	=CHIDIST(A1:A5,A1)	0.317310507862914	0.317310507862914	5	onaji
golden-346-2026-09-08.tsv	CHIINV	=CHIINV(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	CHIINV	=CHIINV(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	CHIINV	=CHIINV(A1:A5,A1)	0	0	5	onaji
golden-346-2026-09-08.tsv	CHISQ.DIST	=CHISQ.DIST(A1:A5,2,3)	0.39346934028736658	0.39346934028736658	5	onaji
golden-346-2026-09-08.tsv	CHISQ.DIST	=CHISQ.DIST(A1:A5,B1:B5,1)	0.39346934028736658	0.39346934028736658	5	onaji
golden-346-2026-09-08.tsv	CHISQ.DIST.RT	=CHISQ.DIST.RT(A1:A5,B1:B5)	0.60653065971263342	0.60653065971263342	5	onaji
golden-346-2026-09-08.tsv	CHISQ.DIST.RT	=CHISQ.DIST.RT(A1:A5,2)	0.60653065971263342	0.60653065971263342	5	onaji
golden-346-2026-09-08.tsv	CHISQ.DIST.RT	=CHISQ.DIST.RT(A1:A5,A1)	0.317310507862914	0.317310507862914	5	onaji
golden-346-2026-09-08.tsv	CHISQ.INV.RT	=CHISQ.INV.RT(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	CHISQ.INV.RT	=CHISQ.INV.RT(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	CHISQ.INV.RT	=CHISQ.INV.RT(A1:A5,A1)	0	0	5	onaji
golden-346-2026-09-08.tsv	CHISQ.TEST	=CHISQ.TEST(A1:A5,B1:B5)	0.11170929281604326	0.11170929281604326	1	onaji
golden-346-2026-09-08.tsv	CHITEST	=CHITEST(A1:A5,B1:B5)	0.11170929281604326	0.11170929281604326	1	onaji
golden-346-2026-09-08.tsv	CLEAN	=CLEAN(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	CLEAN	=CLEAN(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	CODE	=CODE(A1:A5)	49	49	5	onaji
golden-346-2026-09-08.tsv	CODE	=CODE(B1:B5)	50	50	5	onaji
golden-346-2026-09-08.tsv	COLUMN	=COLUMN(A1:A5)	1	1	1	onaji
golden-346-2026-09-08.tsv	COLUMN	=COLUMN(B1:B5)	2	2	1	onaji
golden-346-2026-09-08.tsv	COLUMN	=COLUMN(A1:B5)	1	1	2	onaji
golden-346-2026-09-08.tsv	COMBIN	=COMBIN(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	COMBINA	=COMBINA(A1:A5,B1:B5)	1	1	5	onaji
golden-346-2026-09-08.tsv	COMBINA	=COMBINA(A1:A5,2)	1	1	5	onaji
golden-346-2026-09-08.tsv	COMBINA	=COMBINA(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	CORREL	=CORREL(A1:A5,B1:B5)	0.99999999999999978	0.99999999999999978	1	onaji
golden-346-2026-09-08.tsv	COS	=COS(A1:A5)	0.54030230586813977	0.54030230586813977	5	onaji
golden-346-2026-09-08.tsv	COS	=COS(B1:B5)	-0.41614683654714241	-0.41614683654714241	5	onaji
golden-346-2026-09-08.tsv	COSH	=COSH(A1:A5)	1.5430806348152437	1.5430806348152437	5	onaji
golden-346-2026-09-08.tsv	COSH	=COSH(B1:B5)	3.7621956910836314	3.7621956910836314	5	onaji
golden-346-2026-09-08.tsv	COT	=COT(A1:A5)	0.64209261593433065	0.64209261593433065	5	onaji
golden-346-2026-09-08.tsv	COT	=COT(B1:B5)	-0.45765755436028577	-0.45765755436028577	5	onaji
golden-346-2026-09-08.tsv	COTH	=COTH(A1:A5)	1.3130352854993315	1.3130352854993315	5	onaji
golden-346-2026-09-08.tsv	COTH	=COTH(B1:B5)	1.0373147207275479	1.0373147207275479	5	onaji
golden-346-2026-09-08.tsv	COUNTBLANK	=COUNTBLANK(A1:A5)	0	0	1	onaji
golden-346-2026-09-08.tsv	COUNTBLANK	=COUNTBLANK(B1:B5)	0	0	1	onaji
golden-346-2026-09-08.tsv	COUNTBLANK	=COUNTBLANK(A1:B5)	0	0	1	onaji
golden-346-2026-09-08.tsv	COUNTIFS	=COUNTIFS(A1:A5,B1:B5)	1	1	5	onaji
golden-346-2026-09-08.tsv	COUNTIFS	=COUNTIFS(A1:A5,2)	1	1	1	onaji
golden-346-2026-09-08.tsv	COUNTIFS	=COUNTIFS(A1:A5,A1)	1	1	1	onaji
golden-346-2026-09-08.tsv	COUNTIFS	=COUNTIFS(A1:A5,"<3")	2	2	1	onaji
golden-346-2026-09-08.tsv	COUNTIFS	=COUNTIFS(A1:A5,1,B1:B5,1)	0	0	1	onaji
golden-346-2026-09-08.tsv	COVAR	=COVAR(A1:A5,B1:B5)	4	4	1	onaji
golden-346-2026-09-08.tsv	COVARIANCE.P	=COVARIANCE.P(A1:A5,B1:B5)	4	4	1	onaji
golden-346-2026-09-08.tsv	COVARIANCE.S	=COVARIANCE.S(A1:A5,B1:B5)	5	5	1	onaji
golden-346-2026-09-08.tsv	CSC	=CSC(A1:A5)	1.1883951057781212	1.1883951057781212	5	onaji
golden-346-2026-09-08.tsv	CSC	=CSC(B1:B5)	1.0997501702946164	1.0997501702946164	5	onaji
golden-346-2026-09-08.tsv	CSCH	=CSCH(A1:A5)	0.85091812823932156	0.85091812823932156	5	onaji
golden-346-2026-09-08.tsv	CSCH	=CSCH(B1:B5)	0.27572056477178319	0.27572056477178319	5	onaji
golden-346-2026-09-08.tsv	DAYS	=DAYS(A1:A5,B1:B5)	-1	-1	5	onaji
golden-346-2026-09-08.tsv	DAYS	=DAYS(A1:A5,2)	-1	-1	5	onaji
golden-346-2026-09-08.tsv	DAYS	=DAYS(A1:A5,A1)	0	0	5	onaji
golden-346-2026-09-08.tsv	DAYS360	=DAYS360(A1:A5,B1:B5)	1	1	5	onaji
golden-346-2026-09-08.tsv	DAYS360	=DAYS360(A1:A5,2)	1	1	5	onaji
golden-346-2026-09-08.tsv	DAYS360	=DAYS360(A1:A5,2,3)	1	1	5	onaji
golden-346-2026-09-08.tsv	DAYS360	=DAYS360(A1:A5,A1)	0	0	5	onaji
golden-346-2026-09-08.tsv	DAYS360	=DAYS360(A1:A5,B1:B5,1)	1	1	5	onaji
golden-346-2026-09-08.tsv	DB	=DB(A1:A5,1,B1:B5,1)	0	0	5	onaji
golden-346-2026-09-08.tsv	DDB	=DDB(A1:A5,1,B1:B5,1)	0	0	5	onaji
golden-346-2026-09-08.tsv	DECIMAL	=DECIMAL(A1:A5,B1:B5)	1	1	5	onaji
golden-346-2026-09-08.tsv	DECIMAL	=DECIMAL(A1:A5,2)	1	1	5	onaji
golden-346-2026-09-08.tsv	DEGREES	=DEGREES(A1:A5)	57.295779513082323	57.295779513082323	5	onaji
golden-346-2026-09-08.tsv	DEGREES	=DEGREES(B1:B5)	114.59155902616465	114.59155902616465	5	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5)	10	10	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(B1:B5)	40	40	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:B5)	72.5	72.5	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5,B1:B5)	72.5	72.5	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5,2)	10.833333333333334	10.833333333333334	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5,2,3)	10.857142857142856	10.857142857142856	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:B5,2,FALSE)	94.916666666666671	94.916666666666671	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5,A1)	13.333333333333334	13.333333333333334	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5,1,B1:B5,1)	92.916666666666671	92.916666666666671	1	onaji
golden-346-2026-09-08.tsv	DEVSQ	=DEVSQ(A1:A5,B1:B5,1)	83.636363636363626	83.636363636363626	1	onaji
golden-346-2026-09-08.tsv	EVEN	=EVEN(A1:A5)	2	2	5	onaji
golden-346-2026-09-08.tsv	EVEN	=EVEN(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	EXACT	=EXACT(A1:A5,B1:B5)	False	False	5	onaji
golden-346-2026-09-08.tsv	EXACT	=EXACT(A1:A5,2)	False	False	5	onaji
golden-346-2026-09-08.tsv	EXACT	=EXACT(A1:A5,A1)	True	True	5	onaji
golden-346-2026-09-08.tsv	EXACT	=EXACT(A1:A5,"<3")	False	False	5	onaji
golden-346-2026-09-08.tsv	EXP	=EXP(A1:A5)	2.7182818284590451	2.7182818284590451	5	onaji
golden-346-2026-09-08.tsv	EXP	=EXP(B1:B5)	7.38905609893065	7.38905609893065	5	onaji
golden-346-2026-09-08.tsv	EXPON.DIST	=EXPON.DIST(A1:A5,2,3)	0.8646647167633873	0.8646647167633873	5	onaji
golden-346-2026-09-08.tsv	EXPON.DIST	=EXPON.DIST(A1:A5,B1:B5,1)	0.8646647167633873	0.8646647167633873	5	onaji
golden-346-2026-09-08.tsv	EXPONDIST	=EXPONDIST(A1:A5,2,3)	0.8646647167633873	0.8646647167633873	5	onaji
golden-346-2026-09-08.tsv	EXPONDIST	=EXPONDIST(A1:A5,B1:B5,1)	0.8646647167633873	0.8646647167633873	5	onaji
golden-346-2026-09-08.tsv	F.DIST	=F.DIST(A1:A5,1,B1:B5,1)	0.57735026918962573	0.57735026918962573	5	onaji
golden-346-2026-09-08.tsv	F.DIST.RT	=F.DIST.RT(A1:A5,2,3)	0.46475800154489	0.46475800154489	5	onaji
golden-346-2026-09-08.tsv	F.DIST.RT	=F.DIST.RT(A1:A5,B1:B5,1)	0.57735026918962573	0.57735026918962573	5	onaji
golden-346-2026-09-08.tsv	F.INV.RT	=F.INV.RT(A1:A5,2,3)	0	0	5	onaji
golden-346-2026-09-08.tsv	F.INV.RT	=F.INV.RT(A1:A5,B1:B5,1)	0	0	5	onaji
golden-346-2026-09-08.tsv	F.TEST	=F.TEST(A1:A5,B1:B5)	0.20800000000000005	0.20800000000000005	1	onaji
golden-346-2026-09-08.tsv	FACT	=FACT(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	FACT	=FACT(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	FDIST	=FDIST(A1:A5,2,3)	0.46475800154489	0.46475800154489	5	onaji
golden-346-2026-09-08.tsv	FDIST	=FDIST(A1:A5,B1:B5,1)	0.57735026918962573	0.57735026918962573	5	onaji
golden-346-2026-09-08.tsv	FIND	=FIND(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	FINV	=FINV(A1:A5,2,3)	0	0	5	onaji
golden-346-2026-09-08.tsv	FINV	=FINV(A1:A5,B1:B5,1)	0	0	5	onaji
golden-346-2026-09-08.tsv	FISHERINV	=FISHERINV(A1:A5)	0.76159415595576485	0.76159415595576485	5	onaji
golden-346-2026-09-08.tsv	FISHERINV	=FISHERINV(B1:B5)	0.9640275800758169	0.9640275800758169	5	onaji
golden-346-2026-09-08.tsv	FLOOR	=FLOOR(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR	=FLOOR(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR	=FLOOR(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(A1:A5,2,3)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	FLOOR.MATH	=FLOOR.MATH(A1:A5,B1:B5,1)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	FLOOR.PRECISE	=FLOOR.PRECISE(B1:B5)	2	2	5	onaji
golden-346-2026-09-08.tsv	FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5,B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5,2)	0	0	5	onaji
golden-346-2026-09-08.tsv	FLOOR.PRECISE	=FLOOR.PRECISE(A1:A5,A1)	1	1	5	onaji
golden-346-2026-09-08.tsv	FTEST	=FTEST(A1:A5,B1:B5)	0.20800000000000005	0.20800000000000005	1	onaji
golden-346-2026-09-08.tsv	FV	=FV(A1:A5,2,3)	-9	-9	5	onaji
golden-346-2026-09-08.tsv	FV	=FV(A1:A5,1,B1:B5,1)	-4	-4	5	onaji
golden-346-2026-09-08.tsv	FV	=FV(A1:A5,B1:B5,1)	-3	-3	5	onaji
golden-346-2026-09-08.tsv	GAMMA	=GAMMA(A1:A5)	1	1	5	onaji
golden-346-2026-09-08.tsv	GAMMA	=GAMMA(B1:B5)	1	1	5	onaji
golden-346-2026-09-08.tsv	GAMMA.DIST	=GAMMA.DIST(A1:A5,1,B1:B5,1)	0.39346934028736658	0.39346934028736658	5	onaji
golden-346-2026-09-08.tsv	GAMMADIST	=GAMMADIST(A1:A5,1,B1:B5,1)	0.39346934028736658	0.39346934028736658	5	onaji
golden-346-2026-09-08.tsv	GAMMALN	=GAMMALN(A1:A5)	0	0	5	onaji
golden-346-2026-09-08.tsv	GAMMALN	=GAMMALN(B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	GAMMALN.PRECISE	=GAMMALN.PRECISE(A1:A5)	0	0	5	onaji
golden-346-2026-09-08.tsv	GAMMALN.PRECISE	=GAMMALN.PRECISE(B1:B5)	0	0	5	onaji
golden-346-2026-09-08.tsv	GAUSS	=GAUSS(A1:A5)	0.34134474606854304	0.34134474606854304	5	onaji
golden-346-2026-09-08.tsv	GAUSS	=GAUSS(B1:B5)	0.47724986805182079	0.47724986805182079	5	onaji
golden-346-2026-09-08.tsv	GCD	=GCD(A1:A5)	1	1	1	onaji
golden-346-2026-09-08.tsv	GCD	=GCD(B1:B5)	2	2	1	onaji
golden-346-2026-09-08.tsv	GCD	=GCD(A1:B5)	1	1	1	onaji
golden-346-2026-09-08.tsv	GCD	=GCD(A1:A5,B1:B5)	1	1	1	onaji
