# ★9枠目＝溜まった 問いを 1枠に★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/kyuwakume-no-kiku-koto.md
# ★見込みも 一緒に 並べて あります★（★聞く 前に 書いた 物★）
#
# ★材料★ A1:A5 = 1,2,3,4,5 ／ B1:B5 = 1,2,(=1/0),4,5
#        C1:C5 = 1,3,5,7,9（昇順）／ D1:D5 = 9,7,5,3,1（降順）
#        ★F1:G2 = 1,2／10,20★（★行ごと 3・30 ／ 列ごと 11・22＝分かれる★）
#
# ★2つ目の 窓★ =(式)=0 ... .Value2 は 0 で ない 値に 0 を 返す
# ★外へ 出る 6個★ ... ★0件★（門で 数えました）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278（★5.1 に 揃える 決め★）
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	訳	式	見込み	答え	出る字	=(式)=0	型	合ったか
18	負	=FIXED(-1234.567,2)	`-1,234.57`	-1,234.57	-1,234.57	False	String	○
19	左へ 丸める	=FIXED(1234.567,-2)	`1,200`	1,200	1,200	False	String	○
20	区切らない	=FIXED(1234.567,2,TRUE)	`1234.57`	1234.57	1234.57	False	String	○
21	★★一番 大事★★ ... 丸括弧かも しれない	=DOLLAR(-1234.567,2)	★`-¥1,234.57`★	¥-1,234.57	¥-1,234.57	False	String	×
22	左へ 丸める	=DOLLAR(1234.567,-2)	`¥1,200`	¥1,200	¥1,200	False	String	○
23	きっちり＝引用符	=VALUETOTEXT("a",1)	`"a"`	"a"	"a"	False	String	○
24	真偽	=VALUETOTEXT(TRUE)	`TRUE`	TRUE	TRUE	False	String	○
25	★誤りを 字に する★	=VALUETOTEXT(1/0)	`#DIV/0!`	#DIV/0!	#DIV/0!	False	String	○
26	一番 小さい 物より 下	=LOOKUP(0,C1:C5,D1:D5)	#N/A	-2146826246	#N/A	-2146826246	Other	○
27	一番 大きい 物	=LOOKUP(99,C1:C5,D1:D5)	1	1	1	False	Double	○
28	★四角の 形（1列）★	=LOOKUP(4,C1:C5)	3	3	3	False	Double	○
29	★昇順で ない＝決まって いない★	=LOOKUP(4,D1:D5)	★分かりません★	-2146826246	#N/A	-2146826246	Other	?
30	★R1C1 の 書き方★	=INDIRECT("R1C1",FALSE)	1	1	1	False	Double	○
31	四角の 左上	=INDIRECT("A1:B2")	1	-2146826273	#VALUE!	-2146826273	Other	×
32	高さ 0	=OFFSET(A1,0,0,0,1)	#REF!	-2146826265	#REF!	-2146826265	Other	○
33	板の 外	=OFFSET(A1,-1,0)	#REF!	-2146826265	#REF!	-2146826265	Other	○
34	負の 高さは 上へ	=SUM(OFFSET(A1,1,0,-2,1))	3	3	3	False	Double	○
35	★そのまま 打つと 何に なるか★	=LAMBDA(x,x*2)	#CALC!	-2146826238	#CALC!	-2146826273	Other	○
36	★`式(引数)` の 形★	=LAMBDA(x,x*2)(3)	6	6	6	False	Double	○
37	★名の台★	=LET(x,1,x+1)	2	2	2	False	Double	○
38	★★名の台と マスの どちらが 勝つか★★	=LET(A1,5,A1)	★5★	5	5	False	Double	○
39	★名を 2つ★	=LET(x,1,y,2,x+y)	3	3	3	False	Double	○
40	★最後は 式で ないと いけない★	=LET(x,1)	#VALUE!	(★打てません★)	★Excel が 式を 受け付けません★ HRESULT からの例外:0x800A03EC	(★打てません★)	(★打てません★)	×
41	溢れの 左上	=MAP(A1:A5,LAMBDA(x,x*2))	2	2	2	False	Double	○
42	★溢れの 形★	=ROWS(MAP(A1:A5,LAMBDA(x,x*2)))	5	5	5	False	Double	○
43	★溢れの 形★	=COLUMNS(MAP(A1:A5,LAMBDA(x,x*2)))	1	1	1	False	Double	○
44	まるごと	=SUM(MAP(A1:A5,LAMBDA(x,x*2)))	30	30	30	False	Double	○
45	★引数の 順★	=REDUCE(0,A1:A5,LAMBDA(a,b,a+b))	15	15	15	False	Double	○
46	★a が 溜め・b が 次★の 裏取り	=REDUCE(100,A1:A5,LAMBDA(a,b,a-b))	85	85	85	False	Double	○
47	★0 を 含むか＝5 か 6 か★	=ROWS(SCAN(0,A1:A5,LAMBDA(a,b,a+b)))	★5★	5	5	False	Double	○
48	1+3+6+10+15	=SUM(SCAN(0,A1:A5,LAMBDA(a,b,a+b)))	35	35	35	False	Double	○
53	左上	=MAKEARRAY(2,3,LAMBDA(r,c,r*c))	1	1	1	False	Double	○
54	(1+2)×(1+2+3)	=SUM(MAKEARRAY(2,3,LAMBDA(r,c,r*c)))	18	18	18	False	Double	○
55	★引数の 数違い★	=MAP(A1:A5,LAMBDA(x,y,x))	#VALUE!	-2146826273	#VALUE!	-2146826273	Other	○
56	★引数の 数違い★	=REDUCE(0,A1:A5,LAMBDA(a,a))	#VALUE!	-2146826273	#VALUE!	-2146826273	Other	○
57	★ラムダを 名に 入れて 呼ぶ★	=LET(f,LAMBDA(x,x*2),f(3))	6	6	6	False	Double	○
58	★★閉じ込め★★	=LET(a,2,SUM(MAP(A1:A5,LAMBDA(x,x*a))))	30	30	30	False	Double	○
対1	対照(PERMUT)	=PERMUT(5,2)	20	20	20	False	Double	○
対2	対照(ODDL f4)	=ODDLPRICE(DATE(2009,3,10),DATE(2009,8,31),DATE(2008,11,30),0.045,0.05,100,4,1)	99.776476358001872	99.776476358001872	99.77648	False	Double	○
対3	対照(ODDF)	=ODDFPRICE(DATE(2009,3,1),DATE(2013,1,1),DATE(2009,1,1),DATE(2010,1,1),0.06,0.05,100,2,1)	103.37232293583249	103.37232293583249	103.3723	False	Double	○
# ★★見込みが 当たった 40 ／ 外れた 20★★（★字で 見比べた 数＝目安★）
# ★★押すのに かかった 秒 ... 0.35★★
