# ★ODDFPRICE の 部品を 実Excel に 直に 聞いた★（2026-09-16）
#
# ★なぜ★ 答えを 当てて 6通り 試して 全部 悪く なった（棚63）
#   ⇒★答えでは なく 部品（日数の 数え方）を 聞く★
#
# ★聞く 部品★
#   COUPDAYBS  … 前の 利払日から 決済までの 日数
#   COUPDAYS   … 決済が 入って いる 利払期間の 日数
#   COUPDAYSNC … 決済から 次の 利払日までの 日数
#   COUPNUM    … 決済から 満期までの 利払回数
#   YEARFRAC   … 2つの 日の 間の 年数（basis ごと）
#
# ★2つ目の 窓★ `=(式)=0` … `.Value2` は 0 で ない 値に 0 を 返す
#
# ★どの Excel か★ … 版 16.0 ／ build 20326
#
# 組	basis	部品	式	答え	=(式)=0	型
A	4	COUPDAYBS	=COUPDAYBS(DATE(2008,11,11),DATE(2021,3,1),2,4)	70	False	Double
A	4	COUPDAYS	=COUPDAYS(DATE(2008,11,11),DATE(2021,3,1),2,4)	180	False	Double
A	4	COUPDAYSNC	=COUPDAYSNC(DATE(2008,11,11),DATE(2021,3,1),2,4)	110	False	Double
A	4	COUPNUM	=COUPNUM(DATE(2008,11,11),DATE(2021,3,1),2,4)	25	False	Double
A	4	YF_発初	=YEARFRAC(DATE(2008,10,15),DATE(2009,3,1),4)	0.37777777777777777	False	Double
A	4	YF_発決	=YEARFRAC(DATE(2008,10,15),DATE(2008,11,11),4)	0.072222222222222215	False	Double
A	4	YF_決初	=YEARFRAC(DATE(2008,11,11),DATE(2009,3,1),4)	0.30555555555555558	False	Double
B	0	COUPDAYBS	=COUPDAYBS(DATE(2008,1,15),DATE(2012,6,30),2,0)	15	False	Double
B	0	COUPDAYS	=COUPDAYS(DATE(2008,1,15),DATE(2012,6,30),2,0)	180	False	Double
B	0	COUPDAYSNC	=COUPDAYSNC(DATE(2008,1,15),DATE(2012,6,30),2,0)	165	False	Double
B	0	COUPNUM	=COUPNUM(DATE(2008,1,15),DATE(2012,6,30),2,0)	9	False	Double
B	0	YF_発初	=YEARFRAC(DATE(2007,11,20),DATE(2008,6,30),0)	0.61111111111111116	False	Double
B	0	YF_発決	=YEARFRAC(DATE(2007,11,20),DATE(2008,1,15),0)	0.15277777777777779	False	Double
B	0	YF_決初	=YEARFRAC(DATE(2008,1,15),DATE(2008,6,30),0)	0.45833333333333331	False	Double
B	1	COUPDAYBS	=COUPDAYBS(DATE(2008,1,15),DATE(2012,6,30),2,1)	15	False	Double
B	1	COUPDAYS	=COUPDAYS(DATE(2008,1,15),DATE(2012,6,30),2,1)	182	False	Double
B	1	COUPDAYSNC	=COUPDAYSNC(DATE(2008,1,15),DATE(2012,6,30),2,1)	167	False	Double
B	1	COUPNUM	=COUPNUM(DATE(2008,1,15),DATE(2012,6,30),2,1)	9	False	Double
B	1	YF_発初	=YEARFRAC(DATE(2007,11,20),DATE(2008,6,30),1)	0.60928961748633881	False	Double
B	1	YF_発決	=YEARFRAC(DATE(2007,11,20),DATE(2008,1,15),1)	0.15342465753424658	False	Double
B	1	YF_決初	=YEARFRAC(DATE(2008,1,15),DATE(2008,6,30),1)	0.45628415300546449	False	Double
B	2	COUPDAYBS	=COUPDAYBS(DATE(2008,1,15),DATE(2012,6,30),2,2)	15	False	Double
B	2	COUPDAYS	=COUPDAYS(DATE(2008,1,15),DATE(2012,6,30),2,2)	180	False	Double
B	2	COUPDAYSNC	=COUPDAYSNC(DATE(2008,1,15),DATE(2012,6,30),2,2)	167	False	Double
B	2	COUPNUM	=COUPNUM(DATE(2008,1,15),DATE(2012,6,30),2,2)	9	False	Double
B	2	YF_発初	=YEARFRAC(DATE(2007,11,20),DATE(2008,6,30),2)	0.61944444444444446	False	Double
B	2	YF_発決	=YEARFRAC(DATE(2007,11,20),DATE(2008,1,15),2)	0.15555555555555556	False	Double
B	2	YF_決初	=YEARFRAC(DATE(2008,1,15),DATE(2008,6,30),2)	0.46388888888888891	False	Double
B	3	COUPDAYBS	=COUPDAYBS(DATE(2008,1,15),DATE(2012,6,30),2,3)	15	False	Double
B	3	COUPDAYS	=COUPDAYS(DATE(2008,1,15),DATE(2012,6,30),2,3)	182.5	False	Double
B	3	COUPDAYSNC	=COUPDAYSNC(DATE(2008,1,15),DATE(2012,6,30),2,3)	167	False	Double
B	3	COUPNUM	=COUPNUM(DATE(2008,1,15),DATE(2012,6,30),2,3)	9	False	Double
B	3	YF_発初	=YEARFRAC(DATE(2007,11,20),DATE(2008,6,30),3)	0.61095890410958908	False	Double
B	3	YF_発決	=YEARFRAC(DATE(2007,11,20),DATE(2008,1,15),3)	0.15342465753424658	False	Double
B	3	YF_決初	=YEARFRAC(DATE(2008,1,15),DATE(2008,6,30),3)	0.45753424657534247	False	Double
B	4	COUPDAYBS	=COUPDAYBS(DATE(2008,1,15),DATE(2012,6,30),2,4)	15	False	Double
B	4	COUPDAYS	=COUPDAYS(DATE(2008,1,15),DATE(2012,6,30),2,4)	180	False	Double
B	4	COUPDAYSNC	=COUPDAYSNC(DATE(2008,1,15),DATE(2012,6,30),2,4)	165	False	Double
B	4	COUPNUM	=COUPNUM(DATE(2008,1,15),DATE(2012,6,30),2,4)	9	False	Double
B	4	YF_発初	=YEARFRAC(DATE(2007,11,20),DATE(2008,6,30),4)	0.61111111111111116	False	Double
B	4	YF_発決	=YEARFRAC(DATE(2007,11,20),DATE(2008,1,15),4)	0.15277777777777779	False	Double
B	4	YF_決初	=YEARFRAC(DATE(2008,1,15),DATE(2008,6,30),4)	0.45833333333333331	False	Double
C	0	COUPDAYBS	=COUPDAYBS(DATE(2009,3,10),DATE(2012,8,31),4,0)	10	False	Double
C	0	COUPDAYS	=COUPDAYS(DATE(2009,3,10),DATE(2012,8,31),4,0)	90	False	Double
C	0	COUPDAYSNC	=COUPDAYSNC(DATE(2009,3,10),DATE(2012,8,31),4,0)	80	False	Double
C	0	COUPNUM	=COUPNUM(DATE(2009,3,10),DATE(2012,8,31),4,0)	14	False	Double
C	0	YF_発初	=YEARFRAC(DATE(2008,12,5),DATE(2009,8,31),0)	0.73888888888888893	False	Double
C	0	YF_発決	=YEARFRAC(DATE(2008,12,5),DATE(2009,3,10),0)	0.2638888888888889	False	Double
C	0	YF_決初	=YEARFRAC(DATE(2009,3,10),DATE(2009,8,31),0)	0.475	False	Double
C	1	COUPDAYBS	=COUPDAYBS(DATE(2009,3,10),DATE(2012,8,31),4,1)	10	False	Double
C	1	COUPDAYS	=COUPDAYS(DATE(2009,3,10),DATE(2012,8,31),4,1)	89	False	Double
C	1	COUPDAYSNC	=COUPDAYSNC(DATE(2009,3,10),DATE(2012,8,31),4,1)	82	False	Double
C	1	COUPNUM	=COUPNUM(DATE(2009,3,10),DATE(2012,8,31),4,1)	14	False	Double
C	1	YF_発初	=YEARFRAC(DATE(2008,12,5),DATE(2009,8,31),1)	0.736986301369863	False	Double
C	1	YF_発決	=YEARFRAC(DATE(2008,12,5),DATE(2009,3,10),1)	0.26027397260273971	False	Double
C	1	YF_決初	=YEARFRAC(DATE(2009,3,10),DATE(2009,8,31),1)	0.47671232876712327	False	Double
C	2	COUPDAYBS	=COUPDAYBS(DATE(2009,3,10),DATE(2012,8,31),4,2)	10	False	Double
C	2	COUPDAYS	=COUPDAYS(DATE(2009,3,10),DATE(2012,8,31),4,2)	90	False	Double
C	2	COUPDAYSNC	=COUPDAYSNC(DATE(2009,3,10),DATE(2012,8,31),4,2)	82	False	Double
C	2	COUPNUM	=COUPNUM(DATE(2009,3,10),DATE(2012,8,31),4,2)	14	False	Double
C	2	YF_発初	=YEARFRAC(DATE(2008,12,5),DATE(2009,8,31),2)	0.74722222222222223	False	Double
C	2	YF_発決	=YEARFRAC(DATE(2008,12,5),DATE(2009,3,10),2)	0.2638888888888889	False	Double
C	2	YF_決初	=YEARFRAC(DATE(2009,3,10),DATE(2009,8,31),2)	0.48333333333333334	False	Double
C	3	COUPDAYBS	=COUPDAYBS(DATE(2009,3,10),DATE(2012,8,31),4,3)	10	False	Double
C	3	COUPDAYS	=COUPDAYS(DATE(2009,3,10),DATE(2012,8,31),4,3)	91.25	False	Double
C	3	COUPDAYSNC	=COUPDAYSNC(DATE(2009,3,10),DATE(2012,8,31),4,3)	82	False	Double
C	3	COUPNUM	=COUPNUM(DATE(2009,3,10),DATE(2012,8,31),4,3)	14	False	Double
C	3	YF_発初	=YEARFRAC(DATE(2008,12,5),DATE(2009,8,31),3)	0.736986301369863	False	Double
C	3	YF_発決	=YEARFRAC(DATE(2008,12,5),DATE(2009,3,10),3)	0.26027397260273971	False	Double
C	3	YF_決初	=YEARFRAC(DATE(2009,3,10),DATE(2009,8,31),3)	0.47671232876712327	False	Double
C	4	COUPDAYBS	=COUPDAYBS(DATE(2009,3,10),DATE(2012,8,31),4,4)	12	False	Double
C	4	COUPDAYS	=COUPDAYS(DATE(2009,3,10),DATE(2012,8,31),4,4)	90	False	Double
C	4	COUPDAYSNC	=COUPDAYSNC(DATE(2009,3,10),DATE(2012,8,31),4,4)	80	False	Double
C	4	COUPNUM	=COUPNUM(DATE(2009,3,10),DATE(2012,8,31),4,4)	14	False	Double
C	4	YF_発初	=YEARFRAC(DATE(2008,12,5),DATE(2009,8,31),4)	0.73611111111111116	False	Double
C	4	YF_発決	=YEARFRAC(DATE(2008,12,5),DATE(2009,3,10),4)	0.2638888888888889	False	Double
C	4	YF_決初	=YEARFRAC(DATE(2009,3,10),DATE(2009,8,31),4)	0.47222222222222221	False	Double
D	0	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,0)	150	False	Double
D	0	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,0)	180	False	Double
D	0	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,0)	30	False	Double
D	0	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,0)	6	False	Double
D	0	YF_発初	=YEARFRAC(DATE(2009,1,1),DATE(2010,1,1),0)	1	False	Double
D	0	YF_発決	=YEARFRAC(DATE(2009,1,1),DATE(2009,6,1),0)	0.41666666666666669	False	Double
D	0	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),0)	0.58333333333333337	False	Double
D	1	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,1)	151	False	Double
D	1	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,1)	181	False	Double
D	1	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,1)	30	False	Double
D	1	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,1)	6	False	Double
D	1	YF_発初	=YEARFRAC(DATE(2009,1,1),DATE(2010,1,1),1)	1	False	Double
D	1	YF_発決	=YEARFRAC(DATE(2009,1,1),DATE(2009,6,1),1)	0.41369863013698632	False	Double
D	1	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),1)	0.58630136986301373	False	Double
D	2	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,2)	151	False	Double
D	2	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,2)	180	False	Double
D	2	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,2)	30	False	Double
D	2	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,2)	6	False	Double
D	2	YF_発初	=YEARFRAC(DATE(2009,1,1),DATE(2010,1,1),2)	1.0138888888888888	False	Double
D	2	YF_発決	=YEARFRAC(DATE(2009,1,1),DATE(2009,6,1),2)	0.41944444444444445	False	Double
D	2	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),2)	0.59444444444444444	False	Double
D	3	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,3)	151	False	Double
D	3	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,3)	182.5	False	Double
D	3	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,3)	30	False	Double
D	3	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,3)	6	False	Double
D	3	YF_発初	=YEARFRAC(DATE(2009,1,1),DATE(2010,1,1),3)	1	False	Double
D	3	YF_発決	=YEARFRAC(DATE(2009,1,1),DATE(2009,6,1),3)	0.41369863013698632	False	Double
D	3	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),3)	0.58630136986301373	False	Double
D	4	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,4)	150	False	Double
D	4	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,4)	180	False	Double
D	4	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,4)	30	False	Double
D	4	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,4)	6	False	Double
D	4	YF_発初	=YEARFRAC(DATE(2009,1,1),DATE(2010,1,1),4)	1	False	Double
D	4	YF_発決	=YEARFRAC(DATE(2009,1,1),DATE(2009,6,1),4)	0.41666666666666669	False	Double
D	4	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),4)	0.58333333333333337	False	Double
E	0	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,0)	150	False	Double
E	0	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,0)	180	False	Double
E	0	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,0)	30	False	Double
E	0	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,0)	6	False	Double
E	0	YF_発初	=YEARFRAC(DATE(2008,7,1),DATE(2010,1,1),0)	1.5	False	Double
E	0	YF_発決	=YEARFRAC(DATE(2008,7,1),DATE(2009,6,1),0)	0.91666666666666663	False	Double
E	0	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),0)	0.58333333333333337	False	Double
E	1	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,1)	151	False	Double
E	1	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,1)	181	False	Double
E	1	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,1)	30	False	Double
E	1	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,1)	6	False	Double
E	1	YF_発初	=YEARFRAC(DATE(2008,7,1),DATE(2010,1,1),1)	1.5027372262773724	False	Double
E	1	YF_発決	=YEARFRAC(DATE(2008,7,1),DATE(2009,6,1),1)	0.9178082191780822	False	Double
E	1	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),1)	0.58630136986301373	False	Double
E	2	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,2)	151	False	Double
E	2	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,2)	180	False	Double
E	2	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,2)	30	False	Double
E	2	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,2)	6	False	Double
E	2	YF_発初	=YEARFRAC(DATE(2008,7,1),DATE(2010,1,1),2)	1.525	False	Double
E	2	YF_発決	=YEARFRAC(DATE(2008,7,1),DATE(2009,6,1),2)	0.93055555555555558	False	Double
E	2	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),2)	0.59444444444444444	False	Double
E	3	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,3)	151	False	Double
E	3	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,3)	182.5	False	Double
E	3	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,3)	30	False	Double
E	3	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,3)	6	False	Double
E	3	YF_発初	=YEARFRAC(DATE(2008,7,1),DATE(2010,1,1),3)	1.5041095890410958	False	Double
E	3	YF_発決	=YEARFRAC(DATE(2008,7,1),DATE(2009,6,1),3)	0.9178082191780822	False	Double
E	3	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),3)	0.58630136986301373	False	Double
E	4	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,4)	150	False	Double
E	4	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,4)	180	False	Double
E	4	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,4)	30	False	Double
E	4	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,4)	6	False	Double
E	4	YF_発初	=YEARFRAC(DATE(2008,7,1),DATE(2010,1,1),4)	1.5	False	Double
E	4	YF_発決	=YEARFRAC(DATE(2008,7,1),DATE(2009,6,1),4)	0.91666666666666663	False	Double
E	4	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),4)	0.58333333333333337	False	Double
F	0	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,0)	150	False	Double
F	0	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,0)	180	False	Double
F	0	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,0)	30	False	Double
F	0	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,0)	6	False	Double
F	0	YF_発初	=YEARFRAC(DATE(2009,4,1),DATE(2010,1,1),0)	0.75	False	Double
F	0	YF_発決	=YEARFRAC(DATE(2009,4,1),DATE(2009,6,1),0)	0.16666666666666666	False	Double
F	0	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),0)	0.58333333333333337	False	Double
F	1	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,1)	151	False	Double
F	1	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,1)	181	False	Double
F	1	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,1)	30	False	Double
F	1	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,1)	6	False	Double
F	1	YF_発初	=YEARFRAC(DATE(2009,4,1),DATE(2010,1,1),1)	0.75342465753424659	False	Double
F	1	YF_発決	=YEARFRAC(DATE(2009,4,1),DATE(2009,6,1),1)	0.16712328767123288	False	Double
F	1	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),1)	0.58630136986301373	False	Double
F	2	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,2)	151	False	Double
F	2	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,2)	180	False	Double
F	2	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,2)	30	False	Double
F	2	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,2)	6	False	Double
F	2	YF_発初	=YEARFRAC(DATE(2009,4,1),DATE(2010,1,1),2)	0.76388888888888884	False	Double
F	2	YF_発決	=YEARFRAC(DATE(2009,4,1),DATE(2009,6,1),2)	0.16944444444444445	False	Double
F	2	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),2)	0.59444444444444444	False	Double
F	3	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,3)	151	False	Double
F	3	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,3)	182.5	False	Double
F	3	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,3)	30	False	Double
F	3	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,3)	6	False	Double
F	3	YF_発初	=YEARFRAC(DATE(2009,4,1),DATE(2010,1,1),3)	0.75342465753424659	False	Double
F	3	YF_発決	=YEARFRAC(DATE(2009,4,1),DATE(2009,6,1),3)	0.16712328767123288	False	Double
F	3	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),3)	0.58630136986301373	False	Double
F	4	COUPDAYBS	=COUPDAYBS(DATE(2009,6,1),DATE(2012,1,1),2,4)	150	False	Double
F	4	COUPDAYS	=COUPDAYS(DATE(2009,6,1),DATE(2012,1,1),2,4)	180	False	Double
F	4	COUPDAYSNC	=COUPDAYSNC(DATE(2009,6,1),DATE(2012,1,1),2,4)	30	False	Double
F	4	COUPNUM	=COUPNUM(DATE(2009,6,1),DATE(2012,1,1),2,4)	6	False	Double
F	4	YF_発初	=YEARFRAC(DATE(2009,4,1),DATE(2010,1,1),4)	0.75	False	Double
F	4	YF_発決	=YEARFRAC(DATE(2009,4,1),DATE(2009,6,1),4)	0.16666666666666666	False	Double
F	4	YF_決初	=YEARFRAC(DATE(2009,6,1),DATE(2010,1,1),4)	0.58333333333333337	False	Double
