# ★引数の 見張りの 境目を 実Excel に 聞いた★（2026-09-08）
# ★どこから 断るかは ★私が 決めない＝実Excel の 答えの 通り★
# ★境目の 前後を 必ず 両方★ … -2 -1 -0.5 0 0.5 1 1.5 2 2.5 3 3.5 4 5 6 45294
# ★物差し★ 表を 返す 式は =INDEX(式,1,1)（★溢れさせない★）
# ★土台★ A1:A5=1..5 / B1:B5=2,4,6,8,10
# 関数	式	実Excel の 答え	型	渡した数	どの引数
TOROW	=TOROW(A1:B5,2.5)	1	Double	2.5	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,3)	1	Double	3	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,3.5)	1	Double	3.5	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,4)	#VALUE!	Error	4	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,5)	#VALUE!	Error	5	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,6)	#VALUE!	Error	6	TOROW の 2番目（無視する 印）
TOROW	=TOROW(A1:B5,45294)	#VALUE!	Error	45294	TOROW の 2番目（無視する 印）
FINDB	=FINDB("b","abc",-2)	#VALUE!	Error	-2	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",-1)	#VALUE!	Error	-1	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",-0.5)	#VALUE!	Error	-0.5	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",0)	#VALUE!	Error	0	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",0.5)	#VALUE!	Error	0.5	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",1)	2	Double	1	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",1.5)	2	Double	1.5	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",2)	2	Double	2	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",2.5)	2	Double	2.5	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",3)	#VALUE!	Error	3	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",3.5)	#VALUE!	Error	3.5	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",4)	#VALUE!	Error	4	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",5)	#VALUE!	Error	5	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",6)	#VALUE!	Error	6	FINDB の 3番目（何文字目から）
FINDB	=FINDB("b","abc",45294)	#VALUE!	Error	45294	FINDB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",-2)	#VALUE!	Error	-2	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",-1)	#VALUE!	Error	-1	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",-0.5)	#VALUE!	Error	-0.5	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",0)	#VALUE!	Error	0	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",0.5)	#VALUE!	Error	0.5	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",1)	2	Double	1	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",1.5)	2	Double	1.5	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",2)	2	Double	2	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",2.5)	2	Double	2.5	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",3)	#VALUE!	Error	3	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",3.5)	#VALUE!	Error	3.5	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",4)	#VALUE!	Error	4	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",5)	#VALUE!	Error	5	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",6)	#VALUE!	Error	6	SEARCHB の 3番目（何文字目から）
SEARCHB	=SEARCHB("b","abc",45294)	#VALUE!	Error	45294	SEARCHB の 3番目（何文字目から）
REPLACEB	=REPLACEB("abcde",-2,1,"x")	#VALUE!	Error	-2	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",-1,1,"x")	#VALUE!	Error	-1	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",-0.5,1,"x")	#VALUE!	Error	-0.5	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",0,1,"x")	#VALUE!	Error	0	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",0.5,1,"x")	#VALUE!	Error	0.5	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",1,1,"x")	xbcde	String	1	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",1.5,1,"x")	xbcde	String	1.5	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",2,1,"x")	axcde	String	2	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",2.5,1,"x")	axcde	String	2.5	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",3,1,"x")	abxde	String	3	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",3.5,1,"x")	abxde	String	3.5	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",4,1,"x")	abcxe	String	4	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",5,1,"x")	abcdx	String	5	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",6,1,"x")	abcdex	String	6	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",45294,1,"x")	#VALUE!	Error	45294	REPLACEB の 2番目（何文字目から）
REPLACEB	=REPLACEB("abcde",1,-2,"x")	#VALUE!	Error	-2	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,-1,"x")	#VALUE!	Error	-1	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,-0.5,"x")	#VALUE!	Error	-0.5	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,0,"x")	xabcde	String	0	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,0.5,"x")	xabcde	String	0.5	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,1,"x")	xbcde	String	1	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,1.5,"x")	xbcde	String	1.5	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,2,"x")	xcde	String	2	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,2.5,"x")	xcde	String	2.5	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,3,"x")	xde	String	3	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,3.5,"x")	xde	String	3.5	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,4,"x")	xe	String	4	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,5,"x")	x	String	5	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,6,"x")	x	String	6	REPLACEB の 3番目（何文字ぶん）
REPLACEB	=REPLACEB("abcde",1,45294,"x")	#VALUE!	Error	45294	REPLACEB の 3番目（何文字ぶん）
CHOOSEROWS	=CHOOSEROWS(A1:A5,-2)	4	Double	-2	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,-1)	5	Double	-1	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,-0.5)	#VALUE!	Error	-0.5	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,0)	#VALUE!	Error	0	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,0.5)	#VALUE!	Error	0.5	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,1)	1	Double	1	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,1.5)	1	Double	1.5	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,2)	2	Double	2	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,2.5)	2	Double	2.5	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,3)	3	Double	3	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,3.5)	3	Double	3.5	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,4)	4	Double	4	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,5)	5	Double	5	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,6)	#VALUE!	Error	6	CHOOSEROWS の 2番目（何行目）
CHOOSEROWS	=CHOOSEROWS(A1:A5,45294)	#VALUE!	Error	45294	CHOOSEROWS の 2番目（何行目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,-2)	1	Double	-2	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,-1)	2	Double	-1	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,-0.5)	#VALUE!	Error	-0.5	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,0)	#VALUE!	Error	0	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,0.5)	#VALUE!	Error	0.5	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,1)	1	Double	1	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,1.5)	1	Double	1.5	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,2)	2	Double	2	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,2.5)	2	Double	2.5	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,3)	#VALUE!	Error	3	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,3.5)	#VALUE!	Error	3.5	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,4)	#VALUE!	Error	4	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,5)	#VALUE!	Error	5	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,6)	#VALUE!	Error	6	CHOOSECOLS の 2番目（何列目）
CHOOSECOLS	=CHOOSECOLS(A1:B5,45294)	#VALUE!	Error	45294	CHOOSECOLS の 2番目（何列目）
TAKE	=TAKE(A1:A5,-2)	4	Double	-2	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,-1)	5	Double	-1	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,-0.5)	#CALC!	Error	-0.5	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,0)	#CALC!	Error	0	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,0.5)	#CALC!	Error	0.5	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,1)	1	Double	1	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,1.5)	1	Double	1.5	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,2)	1	Double	2	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,2.5)	1	Double	2.5	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,3)	1	Double	3	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,3.5)	1	Double	3.5	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,4)	1	Double	4	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,5)	1	Double	5	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,6)	1	Double	6	TAKE の 2番目（何行）
TAKE	=TAKE(A1:A5,45294)	1	Double	45294	TAKE の 2番目（何行）
DROP	=DROP(A1:A5,-2)	1	Double	-2	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,-1)	1	Double	-1	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,-0.5)	1	Double	-0.5	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,0)	1	Double	0	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,0.5)	1	Double	0.5	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,1)	2	Double	1	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,1.5)	2	Double	1.5	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,2)	3	Double	2	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,2.5)	3	Double	2.5	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,3)	4	Double	3	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,3.5)	4	Double	3.5	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,4)	5	Double	4	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,5)	#CALC!	Error	5	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,6)	#CALC!	Error	6	DROP の 2番目（何行 落とす）
DROP	=DROP(A1:A5,45294)	#CALC!	Error	45294	DROP の 2番目（何行 落とす）
WRAPROWS	=WRAPROWS(A1:A5,-2)	#NUM!	Error	-2	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,-1)	#NUM!	Error	-1	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,-0.5)	#NUM!	Error	-0.5	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,0)	#NUM!	Error	0	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,0.5)	#NUM!	Error	0.5	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,1)	1	Double	1	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,1.5)	1	Double	1.5	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,2)	1	Double	2	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,2.5)	1	Double	2.5	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,3)	1	Double	3	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,3.5)	1	Double	3.5	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,4)	1	Double	4	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,5)	1	Double	5	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,6)	1	Double	6	WRAPROWS の 2番目（何個で 折る）
WRAPROWS	=WRAPROWS(A1:A5,45294)	1	Double	45294	WRAPROWS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,-2)	#NUM!	Error	-2	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,-1)	#NUM!	Error	-1	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,-0.5)	#NUM!	Error	-0.5	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,0)	#NUM!	Error	0	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,0.5)	#NUM!	Error	0.5	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,1)	1	Double	1	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,1.5)	1	Double	1.5	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,2)	1	Double	2	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,2.5)	1	Double	2.5	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,3)	1	Double	3	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,3.5)	1	Double	3.5	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,4)	1	Double	4	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,5)	1	Double	5	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,6)	1	Double	6	WRAPCOLS の 2番目（何個で 折る）
WRAPCOLS	=WRAPCOLS(A1:A5,45294)	1	Double	45294	WRAPCOLS の 2番目（何個で 折る）
