# ★JS層の 36個を 実Excel に 聞いた★（2026-09-08）
# ★JS層が 受ける 26個の うち 確かめたのは 2個だけ／死にコードだった 12個は 全部 0本★
# ★1列目＝式の 一番外側の 関数名★（他の 21枚と 同じ 形）
# ★土台★ A1:A5=1..5 / B1:B5=2,4,6,8,10 / C1=0 C2=3 C3=0.1 C4=0.2 C5=1 / F1:I3=台 / K1:K2=条件
# ★数★ 関数 36個 ／ 呼び方あり 32個 ／ なし 4個 ／ 式 103本
# 関数	式	実Excel の 答え	型
DSTDEVP	=DSTDEVP(F1:I3,3,K1:K2)	5	Double
DVAR	=DVAR(F1:I3,"数",K1:K2)	50	Double
DVAR	=DVAR(F1:I3,3,K1:K2)	50	Double
DVARP	=DVARP(F1:I3,"数",K1:K2)	25	Double
DVARP	=DVARP(F1:I3,3,K1:K2)	25	Double
MAKEARRAY	=MAKEARRAY(2,2,LAMBDA(r,c,r*c))	1	Double
MAP	=MAP(A1:A5,LAMBDA(x,x*2))	2	Double
MAP	=MAP(0,A1:A5,LAMBDA(a,b,a+b))	1	Double
REDUCE	=REDUCE(2,2,LAMBDA(r,c,r*c))	4	Double
REDUCE	=REDUCE(0,A1:A5,LAMBDA(a,b,a+b))	15	Double
SCAN	=SCAN(2,2,LAMBDA(r,c,r*c))	4	Double
SCAN	=SCAN(0,A1:A5,LAMBDA(a,b,a+b))	1	Double
MODE	=MODE(A1:A5,B1:B5)	2	Double
MODE	=MODE(A1:A5,2)	2	Double
MODE	=MODE(3,A1:A5,B1:B5)	3	Double
MODE	=MODE(3,A1:A5)	3	Double
MODE	=MODE(A1:B2)	2	Double
MODE	=MODE(A1,0,0)	0	Double
MODE	=MODE(A1,0,0,2,2)	0	Double
MODE	=MODE(A1:A5,B1:B5,0.1)	2	Double
MODE	=MODE(A1:A5,B1:B5,C1:C5)	1	Double
TRIMMEAN	=TRIMMEAN(A1:A5,0.2)	3	Double
PERCENTRANK	=PERCENTRANK(A1:A5,B1:B5)	0.25	Double
PERCENTRANK	=PERCENTRANK(A1:A5,2)	0.25	Double
KURT	=KURT(A1:A5)	-1.2	Double
KURT	=KURT(A1:A5,B1:B5)	0.0452522507219291	Double
KURT	=KURT(A1:A5,2)	-0.859171597633139	Double
KURT	=KURT(A1:A5,0.2)	-1.3239138917794	Double
KURT	=KURT(3,A1:A5,B1:B5)	0.415199286139203	Double
KURT	=KURT(3,A1:A5)	-0.300000000000002	Double
KURT	=KURT(F1:I3,3,K1:K2)	1.0645712215571	Double
KURT	=KURT(A1:B2)	2.22714681440443	Double
KURT	=KURT(A1,0,0,2,2)	-3	Double
KURT	=KURT(A1:A5,B1:B5,0.1)	0.00108113523716558	Double
KURT	=KURT(A1:A5,B1:B5,C1:C5)	0.441924422815084	Double
INTERCEPT	=INTERCEPT(A1:A5,B1:B5)	0	Double
FORECAST	=FORECAST(3,A1:A5,B1:B5)	1.5	Double
FORECAST	=FORECAST(A1:A5,B1:B5,C1:C5)	5.9647355163728	Double
GESTEP	=GESTEP(5,2)	1	Double
GESTEP	=GESTEP(2)	1	Double
GESTEP	=GESTEP(5)	1	Double
GESTEP	=GESTEP(A1)	1	Double
GESTEP	=GESTEP(C1)	1	Double
PERMUT	=PERMUT(A1:A5,0.2)	1	Double
PERMUT	=PERMUT(3,A1:A5)	3	Double
PERMUT	=PERMUT(5,2)	20	Double
PERMUTATIONA	=PERMUTATIONA(A1:A5,B1:B5)	1	Double
PERMUTATIONA	=PERMUTATIONA(A1:A5,2)	1	Double
PERMUTATIONA	=PERMUTATIONA(A1:A5,0.2)	1	Double
PERMUTATIONA	=PERMUTATIONA(3,A1:A5)	3	Double
PERMUTATIONA	=PERMUTATIONA(5,2)	25	Double
MDETERM	=MDETERM(2)	2	Double
MDETERM	=MDETERM(5)	5	Double
MDETERM	=MDETERM(A1)	1	Double
MDETERM	=MDETERM(C1)	0	Double
MDETERM	=MDETERM(A1:B2)	0	Double
