# ★実Excel に 打たせた 答え★（入 C:\Users\zeroa\exally-wt-46b\docs\measured\kansuu46\cases-yosoku.txt）
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★読み方★ … 数は .Value2 を 'R'（丸めない 書き方）で 出している
# 関数	式	実Excel の 答え	型
FORECAST.ETS	=FORECAST.ETS(45658,{10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627})	13	Double
FORECAST.ETS	=FORECAST.ETS(45658,{10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},4)	13	Double
FORECAST.ETS	=FORECAST.ETS(45658,{10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},1)	13	Double
FORECAST.ETS.SEASONALITY	=FORECAST.ETS.SEASONALITY({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627})	4	Double
FORECAST.ETS.CONFINT	=FORECAST.ETS.CONFINT(45658,{10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627})	0	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},1)	0.751	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},2)	0.001	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},3)	0.001	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},4)	0	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},5)	0	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},6)	0	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},7)	0	Double
FORECAST.ETS.STAT	=FORECAST.ETS.STAT({10;12;16;14;11;13;17;15;12;14;18;16},{45292;45323;45352;45383;45413;45444;45474;45505;45536;45566;45597;45627},8)	31	Double
AREAS	=AREAS(A1:B3)	1	Double
AREAS	=AREAS((A1:B3,D1:D2))	2	Double
AREAS	=AREAS((A1,B2,C3,D4))	4	Double
CELL	=CELL("row",B7)	7	Double
CELL	=CELL("col",C2)	3	Double
CELL	=CELL("address",B7)	$B$7	String
CELL	=CELL("width",B7)	8	Double
CELL	=CELL("type",B7)	b	String
CELL	=CELL("prefix",B7)		String
CELL	=CELL("protect",B7)	1	Double
CELL	=CELL("format",B7)	G	String
CONVERT	=CONVERT(1,"m","cm")	100	Double
CONVERT	=CONVERT(1,"lbm","kg")	0.45359237	Double
CONVERT	=CONVERT(100,"C","F")	212	Double
CONVERT	=CONVERT(1,"day","hr")	24	Double
CONVERT	=CONVERT(1,"kibyte","byte")	1024	Double
CONVERT	=CONVERT(1,"あ","cm")	#N/A	error値
FILTERXML	=FILTERXML("<a><b>1</b><b>2</b></a>","//b[1]")	1	Double
FILTERXML	=FILTERXML("<a><b>1</b><b>2</b></a>","//b[2]")	2	Double
FILTERXML	=COUNTA(FILTERXML("<a><b>1</b><b>2</b></a>","//b"))	1	Double
INFO	=INFO("numfile")	1	Double
INFO	=INFO("recalc")	自動	String
INFO	=INFO("release")	16.0	String
INFO	=INFO("system")	pcdos	String
INFO	=INFO("osversion")	Windows (64-bit) NT 10.00	String
RANDARRAY	=ROWS(RANDARRAY(3,2))	3	Double
RANDARRAY	=COLUMNS(RANDARRAY(3,2))	2	Double
RANDARRAY	=ROWS(RANDARRAY())	1	Double
RANDARRAY	=AND(RANDARRAY(1,1)>=0,RANDARRAY(1,1)<1)	True	Boolean
RANDARRAY	=AND(RANDARRAY(1,1,5,10,TRUE)>=5,RANDARRAY(1,1,5,10,TRUE)<=10)	True	Boolean
RANDARRAY	=AND(RANDARRAY(1,1,7,7,TRUE)=7)	True	Boolean
RANDARRAY	=AND(RANDARRAY(3,1,0,1)>=0)	True	Boolean
TRIMRANGE	=ROWS(TRIMRANGE(A1:A10))	1	Double
TRIMRANGE	=COLUMNS(TRIMRANGE(A1:D1))	1	Double
PERCENTOF	=PERCENTOF(2,{1;2;3;4})	0.2	Double
PERCENTOF	=PERCENTOF({1;2},{1;2;3;4})	0.3	Double
