# ★実Excel に 打たせた CELL の 答え（3回目・色／かっこ／円／うちの 表示形式）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★入れ方★ .NumberFormatLocal（日本語の 記号）／\¥ は 円の 記号
# 関数	式	実Excel の 答え	どんな 場面か
CELL	=CELL("format",A27)	D9	表示形式 hh時mm分（実際に 付いた 形 hh"時"mm"分"）
CELL	=CELL("color",A27)	0	表示形式 hh時mm分（実際に 付いた 形 hh"時"mm"分"）
CELL	=CELL("parentheses",A27)	0	表示形式 hh時mm分（実際に 付いた 形 hh"時"mm"分"）
CELL	=CELL("format",A28)	D7	表示形式 h:mm AM/PM（実際に 付いた 形 h:mm AM/PM）
CELL	=CELL("color",A28)	0	表示形式 h:mm AM/PM（実際に 付いた 形 h:mm AM/PM）
CELL	=CELL("parentheses",A28)	0	表示形式 h:mm AM/PM（実際に 付いた 形 h:mm AM/PM）
CELL	=CELL("format",A29)	D9	表示形式 a h:mm（実際に 付いた 形 !a h:mm）
CELL	=CELL("color",A29)	0	表示形式 a h:mm（実際に 付いた 形 !a h:mm）
CELL	=CELL("parentheses",A29)	0	表示形式 a h:mm（実際に 付いた 形 !a h:mm）
CELL	=CELL("format",A30)	P1	表示形式 0.0%（実際に 付いた 形 0.0%）
CELL	=CELL("color",A30)	0	表示形式 0.0%（実際に 付いた 形 0.0%）
CELL	=CELL("parentheses",A30)	0	表示形式 0.0%（実際に 付いた 形 0.0%）
CELL	=CELL("format",A31)	P3	表示形式 0.000%（実際に 付いた 形 0.000%）
CELL	=CELL("color",A31)	0	表示形式 0.000%（実際に 付いた 形 0.000%）
CELL	=CELL("parentheses",A31)	0	表示形式 0.000%（実際に 付いた 形 0.000%）
CELL	=CELL("format",A32)	,3	表示形式 #,##0.000（実際に 付いた 形 #,##0.000）
CELL	=CELL("color",A32)	0	表示形式 #,##0.000（実際に 付いた 形 #,##0.000）
CELL	=CELL("parentheses",A32)	0	表示形式 #,##0.000（実際に 付いた 形 #,##0.000）
CELL	=CELL("format",A33)	S2	表示形式 0.00E+00（実際に 付いた 形 0.00E+00）
CELL	=CELL("color",A33)	0	表示形式 0.00E+00（実際に 付いた 形 0.00E+00）
CELL	=CELL("parentheses",A33)	0	表示形式 0.00E+00（実際に 付いた 形 0.00E+00）
CELL	=CELL("format",A34)	G	表示形式 @（実際に 付いた 形 @）
CELL	=CELL("color",A34)	0	表示形式 @（実際に 付いた 形 @）
CELL	=CELL("parentheses",A34)	0	表示形式 @（実際に 付いた 形 @）
