# ★実Excel に 打たせた CELL の 答え（5回目・日付/時刻の 合図を 詰める）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★A列に 45293.5（2024/1/2 12:00）を 置いて 表示形式だけ 変えた★
# 関数	式	実Excel の 答え	どんな 場面か
CELL	=CELL("parentheses",A10)	0	表示形式 mm:ss（実際に 付いた 形 mm:ss）
CELL	=CELL("format",A11)	G	表示形式 h（実際に 付いた 形 h）
CELL	=CELL("color",A11)	0	表示形式 h（実際に 付いた 形 h）
CELL	=CELL("parentheses",A11)	0	表示形式 h（実際に 付いた 形 h）
CELL	=CELL("format",A12)	G	表示形式 [h]:mm（実際に 付いた 形 [h]:mm）
CELL	=CELL("color",A12)	0	表示形式 [h]:mm（実際に 付いた 形 [h]:mm）
CELL	=CELL("parentheses",A12)	0	表示形式 [h]:mm（実際に 付いた 形 [h]:mm）
CELL	=CELL("format",A13)	G	表示形式 [mm]:ss（実際に 付いた 形 [mm]:ss）
CELL	=CELL("color",A13)	0	表示形式 [mm]:ss（実際に 付いた 形 [mm]:ss）
CELL	=CELL("parentheses",A13)	0	表示形式 [mm]:ss（実際に 付いた 形 [mm]:ss）
CELL	=CELL("format",A14)	D2	表示形式 yyyy/m（実際に 付いた 形 yyyy/m）
CELL	=CELL("color",A14)	0	表示形式 yyyy/m（実際に 付いた 形 yyyy/m）
CELL	=CELL("parentheses",A14)	0	表示形式 yyyy/m（実際に 付いた 形 yyyy/m）
CELL	=CELL("format",A15)	D2	表示形式 yyyy"年"m"月"（実際に 付いた 形 yyyy"年"m"月"）
CELL	=CELL("color",A15)	0	表示形式 yyyy"年"m"月"（実際に 付いた 形 yyyy"年"m"月"）
CELL	=CELL("parentheses",A15)	0	表示形式 yyyy"年"m"月"（実際に 付いた 形 yyyy"年"m"月"）
CELL	=CELL("format",A16)	D1	表示形式 d-mmm-yyyy（実際に 付いた 形 d-mmm-yyyy）
CELL	=CELL("color",A16)	0	表示形式 d-mmm-yyyy（実際に 付いた 形 d-mmm-yyyy）
CELL	=CELL("parentheses",A16)	0	表示形式 d-mmm-yyyy（実際に 付いた 形 d-mmm-yyyy）
CELL	=CELL("format",A17)	D1	表示形式 yyyy/m/d h:mm:ss（実際に 付いた 形 yyyy/m/d h:mm:ss）
CELL	=CELL("color",A17)	0	表示形式 yyyy/m/d h:mm:ss（実際に 付いた 形 yyyy/m/d h:mm:ss）
CELL	=CELL("parentheses",A17)	0	表示形式 yyyy/m/d h:mm:ss（実際に 付いた 形 yyyy/m/d h:mm:ss）
CELL	=CELL("format",A18)	D1	表示形式 m/d/yy（実際に 付いた 形 m/d/yy）
CELL	=CELL("color",A18)	0	表示形式 m/d/yy（実際に 付いた 形 m/d/yy）
CELL	=CELL("parentheses",A18)	0	表示形式 m/d/yy（実際に 付いた 形 m/d/yy）
CELL	=CELL("format",A19)	D1	表示形式 mm/dd/yy（実際に 付いた 形 mm/dd/yy）
CELL	=CELL("color",A19)	0	表示形式 mm/dd/yy（実際に 付いた 形 mm/dd/yy）
CELL	=CELL("parentheses",A19)	0	表示形式 mm/dd/yy（実際に 付いた 形 mm/dd/yy）
CELL	=CELL("format",A20)	D1	表示形式 dd/mm/yy（実際に 付いた 形 dd/mm/yy）
CELL	=CELL("color",A20)	0	表示形式 dd/mm/yy（実際に 付いた 形 dd/mm/yy）
CELL	=CELL("parentheses",A20)	0	表示形式 dd/mm/yy（実際に 付いた 形 dd/mm/yy）
CELL	=CELL("format",A21)	D1	表示形式 yy/m/d（実際に 付いた 形 yy/m/d）
CELL	=CELL("color",A21)	0	表示形式 yy/m/d（実際に 付いた 形 yy/m/d）
CELL	=CELL("parentheses",A21)	0	表示形式 yy/m/d（実際に 付いた 形 yy/m/d）
CELL	=CELL("format",A22)	F2	表示形式 0.00_ （実際に 付いた 形 0.00_ ）
CELL	=CELL("color",A22)	0	表示形式 0.00_ （実際に 付いた 形 0.00_ ）
CELL	=CELL("parentheses",A22)	0	表示形式 0.00_ （実際に 付いた 形 0.00_ ）
CELL	=CELL("format",A23)	,0	表示形式 #,##0"円"（実際に 付いた 形 #,##0"円"）
CELL	=CELL("color",A23)	0	表示形式 #,##0"円"（実際に 付いた 形 #,##0"円"）
CELL	=CELL("parentheses",A23)	0	表示形式 #,##0"円"（実際に 付いた 形 #,##0"円"）
CELL	=CELL("format",A24)	,0	表示形式 "("#,##0")"（実際に 付いた 形 "("#,##0")"）
CELL	=CELL("color",A24)	0	表示形式 "("#,##0")"（実際に 付いた 形 "("#,##0")"）
CELL	=CELL("parentheses",A24)	0	表示形式 "("#,##0")"（実際に 付いた 形 "("#,##0")"）
CELL	=CELL("format",A25)	F0	表示形式 0"個"（実際に 付いた 形 0"個"）
CELL	=CELL("color",A25)	0	表示形式 0"個"（実際に 付いた 形 0"個"）
CELL	=CELL("parentheses",A25)	0	表示形式 0"個"（実際に 付いた 形 0"個"）
CELL	=CELL("format",A26)	F0	表示形式 [>100]0;[<=100]0.00（実際に 付いた 形 [>100]0;[<=100]0.00）
CELL	=CELL("color",A26)	0	表示形式 [>100]0;[<=100]0.00（実際に 付いた 形 [>100]0;[<=100]0.00）
CELL	=CELL("parentheses",A26)	0	表示形式 [>100]0;[<=100]0.00（実際に 付いた 形 [>100]0;[<=100]0.00）
CELL	=CELL("format",A27)	,0	表示形式 _-* #,##0_-;-* #,##0_-;_-* "-"_-;_-@_-（実際に 付いた 形 _-* #,##0_-;-* #,##0_-;_-* "-"_-;_-@_-）
CELL	=CELL("color",A27)	0	表示形式 _-* #,##0_-;-* #,##0_-;_-* "-"_-;_-@_-（実際に 付いた 形 _-* #,##0_-;-* #,##0_-;_-* "-"_-;_-@_-）
CELL	=CELL("parentheses",A27)	0	表示形式 _-* #,##0_-;-* #,##0_-;_-* "-"_-;_-@_-（実際に 付いた 形 _-* #,##0_-;-* #,##0_-;_-* "-"_-;_-@_-）
