# ★実Excel に 打たせた 答え★（入 C:\Users\zeroa\exally-wt-46b\docs\measured\kansuu46\cases-convert3.txt）
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★読み方★ … 数は .Value2 を 'R'（丸めない 書き方）で 出している
# 関数	式	実Excel の 答え	型
CONVERT	=CONVERT(1,"kin^3","in^3")	#N/A	error値
CONVERT	=CONVERT(1,"kkn","kn")	#N/A	error値
CONVERT	=CONVERT(1,"kl","l")	1000	Double
CONVERT	=CONVERT(1,"klbf","lbf")	#N/A	error値
CONVERT	=CONVERT(1,"klbm","lbm")	#N/A	error値
CONVERT	=CONVERT(1,"klcwt","lcwt")	#N/A	error値
CONVERT	=CONVERT(1,"klt","lt")	1000	Double
CONVERT	=CONVERT(1,"kly","ly")	1000	Double
CONVERT	=CONVERT(1,"kly2","ly2")	#N/A	error値
CONVERT	=CONVERT(1,"kly3","ly3")	#N/A	error値
CONVERT	=CONVERT(1,"kly^2","ly^2")	#N/A	error値
CONVERT	=CONVERT(1,"kly^3","ly^3")	#N/A	error値
CONVERT	=CONVERT(1,"km","m")	1000	Double
CONVERT	=CONVERT(1,"km/h","m/h")	1000	Double
CONVERT	=CONVERT(1,"km/hr","m/hr")	1000	Double
CONVERT	=CONVERT(1,"km/s","m/s")	1000	Double
CONVERT	=CONVERT(1,"km/sec","m/sec")	1000	Double
CONVERT	=CONVERT(1,"km2","m2")	1000000	Double
CONVERT	=CONVERT(1,"km3","m3")	1000000000	Double
CONVERT	=CONVERT(1,"km^2","m^2")	1000000	Double
CONVERT	=CONVERT(1,"km^3","m^3")	1000000000	Double
CONVERT	=CONVERT(1,"kmi","mi")	#N/A	error値
CONVERT	=CONVERT(1,"kmi2","mi2")	#N/A	error値
CONVERT	=CONVERT(1,"kmi3","mi3")	#N/A	error値
CONVERT	=CONVERT(1,"kmi^2","mi^2")	#N/A	error値
CONVERT	=CONVERT(1,"kmi^3","mi^3")	#N/A	error値
CONVERT	=CONVERT(1,"kmin","min")	#N/A	error値
CONVERT	=CONVERT(1,"kmmHg","mmHg")	1000	Double
CONVERT	=CONVERT(1,"kmn","mn")	#N/A	error値
CONVERT	=CONVERT(1,"kmph","mph")	1000	Double
CONVERT	=CONVERT(1,"koz","oz")	#N/A	error値
CONVERT	=CONVERT(1,"kozm","ozm")	#N/A	error値
CONVERT	=CONVERT(1,"kp","p")	1000	Double
CONVERT	=CONVERT(1,"kparsec","parsec")	1000	Double
CONVERT	=CONVERT(1,"kpc","pc")	1000	Double
CONVERT	=CONVERT(1,"kpica","pica")	#N/A	error値
CONVERT	=CONVERT(1,"kpond","pond")	1000	Double
CONVERT	=CONVERT(1,"kpsi","psi")	#N/A	error値
CONVERT	=CONVERT(1,"kpt","pt")	#N/A	error値
CONVERT	=CONVERT(1,"kqt","qt")	#N/A	error値
CONVERT	=CONVERT(1,"kregton","regton")	#N/A	error値
CONVERT	=CONVERT(1,"ks","s")	1000	Double
CONVERT	=CONVERT(1,"ksec","sec")	1000	Double
CONVERT	=CONVERT(1,"kshweight","shweight")	#N/A	error値
CONVERT	=CONVERT(1,"kstone","stone")	#N/A	error値
CONVERT	=CONVERT(1,"ksurvey_mi","survey_mi")	#N/A	error値
CONVERT	=CONVERT(1,"ktbs","tbs")	#N/A	error値
CONVERT	=CONVERT(1,"kton","ton")	#N/A	error値
CONVERT	=CONVERT(1,"ktsp","tsp")	#N/A	error値
CONVERT	=CONVERT(1,"ktspm","tspm")	#N/A	error値
CONVERT	=CONVERT(1,"ku","u")	1000	Double
CONVERT	=CONVERT(1,"kuk_acre","uk_acre")	#N/A	error値
CONVERT	=CONVERT(1,"kuk_cwt","uk_cwt")	#N/A	error値
CONVERT	=CONVERT(1,"kuk_pt","uk_pt")	1000	Double
CONVERT	=CONVERT(1,"kuk_qt","uk_qt")	#N/A	error値
CONVERT	=CONVERT(1,"kuk_ton","uk_ton")	#N/A	error値
CONVERT	=CONVERT(1,"kus_acre","us_acre")	#N/A	error値
CONVERT	=CONVERT(1,"kus_pt","us_pt")	#N/A	error値
CONVERT	=CONVERT(1,"kw","w")	1000	Double
CONVERT	=CONVERT(1,"kwh","wh")	1000	Double
CONVERT	=CONVERT(1,"kyd","yd")	#N/A	error値
CONVERT	=CONVERT(1,"kyd2","yd2")	#N/A	error値
CONVERT	=CONVERT(1,"kyd3","yd3")	#N/A	error値
CONVERT	=CONVERT(1,"kyd^2","yd^2")	#N/A	error値
CONVERT	=CONVERT(1,"kyd^3","yd^3")	#N/A	error値
CONVERT	=CONVERT(1,"kyr","yr")	#N/A	error値
CONVERT	=CONVERT(1,"kC","C")	#N/A	error値
CONVERT	=CONVERT(1,"kF","F")	#N/A	error値
CONVERT	=CONVERT(1,"kK","K")	1000	Double
CONVERT	=CONVERT(1,"kRank","Rank")	#N/A	error値
CONVERT	=CONVERT(1,"kReau","Reau")	#N/A	error値
CONVERT	=CONVERT(1,"kcel","cel")	#N/A	error値
CONVERT	=CONVERT(1,"kfah","fah")	#N/A	error値
CONVERT	=CONVERT(1,"kkel","kel")	1000	Double
