# ★IF／IFERROR／SUBTOTAL／TEXT の 決まりを 実Excel に 聞いた★（2026-09-15）
#   ★司さんの 実物 1冊に 出てくる 8個の うち 残り 4個★
#   （IFERROR 4,329回 ／ IF 2,884回 ／ TEXT 740回 ／ SUBTOTAL 496回）
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★★打った マスを 1本ずつ 書いて います★★（1列目）
#   ＝実Excel は ★四角を 1つの 値に 詰める 時、式の 行／列と 交わる 所★を 採ります
#   ⇒★★突き合わせる 側も 同じ マスに 打って ください★★
# ★前の 式の 跡を 消してから 打ち、CalculateFull してから 読んで います★
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型（型＝数／字／真偽／式／空）
#   ★A6 は 式★＝`=SUBTOTAL(9,A1:A5)`（★入れ子を 数えないか★を 見る 為に 置いて 在る）
# ★★2つ目の 窓★★ … 答えが 0 の 行だけ `=(式)=0` の 真偽も 取って 在ります（5列目）
#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	A6	=SUBTOTAL(9,A1:A5)	式
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	D1	apple	字
#材料	D2	Banana	字
#材料	D3	cherry	字
#材料	D4	date	字
#材料	D5	egg	字
#材料	E1	10	数
#材料	E2	30	数
#材料	E3	20	数
#材料	E4		空
#材料	E5	50	数
#材料	G1	TRUE	真偽
#材料	G2	FALSE	真偽
# 打ったマス	式	実Excel の 答え	型	窓②=0の真偽	何を 測って いるか
J1	=SUBTOTAL(1,A1:A5)	3	Double	-	SUBTOTAL 1 … AVERAGE
J1	=SUBTOTAL(2,A1:A5)	5	Double	-	2 … COUNT
J1	=SUBTOTAL(3,E1:E5)	4	Double	-	3 … COUNTA（E4 は 空）
J1	=SUBTOTAL(4,A1:A5)	5	Double	-	4 … MAX
J1	=SUBTOTAL(5,A1:A5)	1	Double	-	5 … MIN
J1	=SUBTOTAL(6,A1:A5)	120	Double	-	6 … PRODUCT
J1	=SUBTOTAL(7,A1:A5)	1.5811388300841898	Double	-	7 … STDEV
J1	=SUBTOTAL(8,A1:A5)	1.4142135623730951	Double	-	8 … STDEVP
J1	=SUBTOTAL(9,A1:A5)	15	Double	-	9 … SUM
J1	=SUBTOTAL(10,A1:A5)	2.5	Double	-	10 … VAR
J1	=SUBTOTAL(11,A1:A5)	2	Double	-	11 … VARP
J1	=SUBTOTAL(101,A1:A5)	3	Double	-	101 … AVERAGE（隠した 行を 抜く）
J1	=SUBTOTAL(103,E1:E5)	4	Double	-	103 … COUNTA
J1	=SUBTOTAL(109,A1:A5)	15	Double	-	109 … SUM
J1	=SUBTOTAL(111,A1:A5)	2	Double	-	111 … VARP
J1	=SUBTOTAL(9,A1:A6)	15	Double	-	★★入れ子を 数えないか★★（A6 は =SUBTOTAL(9,A1:A5)）
J1	=SUBTOTAL(2,A1:A6)	5	Double	-	★同上（個数）★
J1	=SUM(A1:A6)	30	Double	-	★SUM は 入れ子を 数えるか★（くらべる 相手）
J1	=SUBTOTAL(9,A1:A5,B1:B5)	45	Double	-	範囲 2つ
J1	=SUBTOTAL(9,E1:E5)	110	Double	-	空マスを 跨ぐ
J1	=SUBTOTAL(9,D1:D5)	0	Double	TRUE	★字ばかりの 列★
J1	=SUBTOTAL(0,A1:A5)	#VALUE!	error値	-	★番号 0★
J1	=SUBTOTAL(12,A1:A5)	#VALUE!	error値	-	★番号 12（外）★
J1	=SUBTOTAL(9.5,A1:A5)	15	Double	-	★番号が 小数★
J1	=SUBTOTAL(109.5,A1:A5)	15	Double	-	★同上（101番台）★
J1	=SUBTOTAL("9",A1:A5)	15	Double	-	★番号が 字★
J1	=SUBTOTAL(9,5)	★受け付けない★	-	-	★範囲で なく 数★
J1	=SUBTOTAL(9)	★受け付けない★	-	-	★引数 1つ★
J1	=TEXT(1234.5,"0")	1235	String	-	TEXT … 丸め（0）
J1	=TEXT(1234.5,"0.00")	1234.50	String	-	小数 2桁
J1	=TEXT(1234.5,"#,##0")	1,235	String	-	桁区切り
J1	=TEXT(1234.5,"#,##0.0")	1,234.5	String	-	桁区切り＋小数
J1	=TEXT(1234.5,"#,##0円")	1,235円	String	-	★字を 混ぜる★
J1	=TEXT(1234,"0000000")	0001234	String	-	0 で 埋める
J1	=TEXT(1234,"#")	1234	String	-	# だけ
J1	=TEXT(0,"#")		String	-	★0 を # で★
J1	=TEXT(0,"0")	0	String	-	0 を 0 で
J1	=TEXT(0.5,"0%")	50%	String	-	パーセント
J1	=TEXT(0.1234,"0.0%")	12.3%	String	-	パーセント＋小数
J1	=TEXT(-1234,"#,##0")	-1,234	String	-	負
J1	=TEXT(-1234,"#,##0;(#,##0)")	(1,234)	String	-	★負の 書き分け★
J1	=TEXT(0,"#,##0;(#,##0);-")	-	String	-	★0 の 書き分け★
J1	=TEXT(1234,"0;;")	1234	String	-	★0 を 消す 形★
J1	=TEXT(45292,"yyyy/m/d")	2024/1/1	String	-	日付
J1	=TEXT(45292,"yyyy-mm-dd")	2024-01-01	String	-	日付（0埋め）
J1	=TEXT(45292,"m/d")	1/1	String	-	月日
J1	=TEXT(45292,"yyyy年m月d日")	2024年1月1日	String	-	日付（字を 混ぜる）
J1	=TEXT(45292,"aaa")	月	String	-	★曜日（短）★
J1	=TEXT(45292,"aaaa")	月曜日	String	-	★曜日（長）★
J1	=TEXT(45292,"ggge年m月d日")	令和6年1月1日	String	-	★和暦★
J1	=TEXT(45292,"ge.m.d")	R6.1.1	String	-	★和暦（短）★
J1	=TEXT(0.520833333333333,"h:mm")	12:30	String	-	時刻
J1	=TEXT(0.520833333333333,"h:mm:ss")	12:30:00	String	-	時刻（秒）
J1	=TEXT(1.5,"[h]:mm")	36:00	String	-	★24時間を 超える★
J1	=TEXT("あ","0")	あ	String	-	★字を 渡す★
J1	=TEXT("123","0")	123	String	-	★数に 見える 字★
J1	=TEXT(TRUE,"0")	TRUE	String	-	真偽
J1	=TEXT(1,"@")	1	String	-	★@（字として）★
J1	=TEXT(1234.5,"")		String	-	★書式が 空★
J1	=TEXT(A9,"0")	0	String	-	★空の マス★
J1	=TEXT(1/0,"0")	#DIV/0!	error値	-	誤りを 渡す
J1	=TEXT(1234.5,"General")	#VALUE!	error値	-	★General★
J1	=TEXT(1.5,"# ?/?")	1 1/2	String	-	★分数★
